Iin,Iout,Iout,Iout Theoretical
-0.001,0.00067,-0.00067,-0.000666667
-0.00098,0.000659,-0.000659,-0.000653333
-0.00096,0.000645,-0.000645,-0.00064
-0.00094,0.000632,-0.000632,-0.000626667
-0.00092,0.000619,-0.000619,-0.000613333
-0.0009,0.000606,-0.000606,-0.0006
-0.00088,0.000592,-0.000592,-0.000586667
-0.00086,0.000579,-0.000579,-0.000573333
-0.00084,0.000565,-0.000565,-0.00056
-0.00082,0.000552,-0.000552,-0.000546667
-0.0008,0.000539,-0.000539,-0.000533333
-0.00078,0.000525,-0.000525,-0.00052
-0.00076,0.000511,-0.000511,-0.000506667
-0.00074,0.000499,-0.000499,-0.000493333
-0.00072,0.000484,-0.000484,-0.00048
-0.0007,0.000472,-0.000472,-0.000466667
-0.00068,0.000458,-0.000458,-0.000453333
-0.00066,0.000445,-0.000445,-0.00044
-0.00064,0.000432,-0.000432,-0.000426667
-0.00062,0.000418,-0.000418,-0.000413333
-0.0006,0.000405,-0.000405,-0.0004
-0.00058,0.000392,-0.000392,-0.000386667
-0.00056,0.000378,-0.000378,-0.000373333
-0.00054,0.000365,-0.000365,-0.00036
-0.00052,0.000351,-0.000351,-0.000346667
-0.0005,0.000338,-0.000338,-0.000333333
-0.00048,0.000325,-0.000325,-0.00032
-0.00046,0.000311,-0.000311,-0.000306667
-0.00044,0.000298,-0.000298,-0.000293333
-0.00042,0.000285,-0.000285,-0.00028
-0.0004,0.000272,-0.000272,-0.000266667
-0.00038,0.000259,-0.000259,-0.000253333
-0.00036,0.000245,-0.000245,-0.00024
-0.00034,0.000232,-0.000232,-0.000226667
-0.00032,0.000219,-0.000219,-0.000213333
-0.0003,0.000205,-0.000205,-0.0002
-0.00028,0.000192,-0.000192,-0.000186667
-0.00026,0.000179,-0.000179,-0.000173333
-0.00024,0.000165,-0.000165,-0.00016
-0.00022,0.000152,-0.000152,-0.000146667
-0.0002,0.000135,-0.000135,-0.000133333
-0.00018,0.000122,-0.000122,-0.00012
-0.00016,0.000108,-0.000108,-0.000106667
-0.00014,9.38E-05,-0.0000938,-9.33333E-05
-0.00012,8.05E-05,-0.0000805,-0.00008
-0.0001,6.72E-05,-0.0000672,-6.66667E-05
-8.00E-05,5.37E-05,-0.0000537,-5.33333E-05
-6.00E-05,4.04E-05,-0.0000404,-0.00004
-4.00E-05,2.70E-05,-0.000027,-2.66667E-05
-2.00E-05,1.34E-05,-0.0000134,-1.33333E-05
0,-8.98E-08,8.98E-08,0
2.00E-05,-1.30E-05,0.00001303,1.33333E-05
4.00E-05,-2.65E-05,0.0000265,2.66667E-05
6.00E-05,-3.99E-05,0.0000399,0.00004
8.00E-05,-5.32E-05,0.0000532,5.33333E-05
0.0001,-6.66E-05,0.0000666,6.66667E-05
0.00012,-7.99E-05,0.0000799,0.00008
0.00014,-9.33E-05,0.0000933,9.33333E-05
0.00016,-0.0001066,0.0001066,0.000106667
0.00018,-0.0001199,0.0001199,0.00012
0.0002,-0.0001311,0.0001311,0.000133333
0.00022,-0.0001445,0.0001445,0.000146667
0.00024,-0.0001579,0.0001579,0.00016
0.00026,-0.0001713,0.0001713,0.000173333
0.00028,-0.0001847,0.0001847,0.000186667
0.0003,-0.0001981,0.0001981,0.0002
0.00032,-0.000208,0.000208,0.000213333
0.00034,-0.00022,0.00022,0.000226667
0.00036,-0.000234,0.000234,0.00024
0.00038,-0.000247,0.000247,0.000253333
0.0004,-0.00026,0.00026,0.000266667
0.00042,-0.000274,0.000274,0.00028
0.00044,-0.000287,0.000287,0.000293333
0.00046,-0.0003,0.0003,0.000306667
0.00048,-0.000314,0.000314,0.00032
0.0005,-0.000327,0.000327,0.000333333
0.00052,-0.000341,0.000341,0.000346667
0.00054,-0.000354,0.000354,0.00036
0.00056,-0.000368,0.000368,0.000373333
0.00058,-0.000381,0.000381,0.000386667
0.0006,-0.000395,0.000395,0.0004
0.00062,-0.000408,0.000408,0.000413333
0.00064,-0.000421,0.000421,0.000426667
0.00066,-0.000435,0.000435,0.00044
0.00068,-0.000449,0.000449,0.000453333
0.0007,-0.000461,0.000461,0.000466667
0.00072,-0.000476,0.000476,0.00048
0.00074,-0.000488,0.000488,0.000493333
0.00076,-0.000502,0.000502,0.000506667
0.00078,-0.000515,0.000515,0.00052
0.0008,-0.000529,0.000529,0.000533333
0.00082,-0.000542,0.000542,0.000546667
0.00084,-0.000555,0.000555,0.00056
0.00086,-0.000568,0.000568,0.000573333
0.00088,-0.000582,0.000582,0.000586667
0.0009,-0.000595,0.000595,0.0006
0.00092,-0.000608,0.000608,0.000613333
0.00094,-0.000621,0.000621,0.000626667
0.00096,-0.000635,0.000635,0.00064
0.00098,-0.000648,0.000648,0.000653333
0.001,-0.000662,0.000662,0.000666667
