Vin,Iin,Vtransistor
0,-3.00E-10,-0.001
0.03,3.00E-09,0.029
0.06,3.90E-09,0.059
0.09,4.90E-09,0.089
0.12,5.50E-09,0.119
0.15,6.00E-09,0.149
0.18,6.60E-09,0.179
0.21,7.60E-09,0.209
0.24,8.20E-09,0.239
0.27,9.10E-09,0.269
0.3,9.70E-09,0.299
0.33,1.15E-08,0.328
0.36,1.68E-08,0.359
0.39,3.05E-08,0.39
0.42,7.25E-08,0.42
0.45,2.03E-07,0.449
0.48,6.34E-07,0.48
0.51,1.99E-06,0.511
0.54,6.06E-06,0.539
0.57,1.65E-05,0.565
0.6,3.99E-05,0.587
0.63,7.71E-05,0.604
0.66,0.0001256,0.617
0.69,0.0001813,0.627
0.72,0.000247,0.633
0.75,0.000314,0.639
0.78,0.000382,0.645
0.81,0.000452,0.649
0.84,0.000523,0.653
0.87,0.000596,0.657
0.9,0.000671,0.66
0.93,0.000745,0.663
0.96,0.000819,0.665
0.99,0.000897,0.668
1.02,0.000976,0.67
1.05,0.001054,0.672
1.08,0.001131,0.674
1.11,0.00121,0.676
1.14,0.001289,0.677
1.17,0.001368,0.679
1.2,0.001446,0.681
1.23,0.001524,0.682
1.26,0.001603,0.683
1.29,0.001683,0.685
1.32,0.001761,0.686
1.35,0.001839,0.687
1.38,0.001918,0.688
1.41,0.001998,0.69
1.44,0.00212,0.689
1.47,0.00219,0.69
1.5,0.00228,0.691
1.53,0.00236,0.692
1.56,0.00244,0.693
1.59,0.00252,0.694
1.62,0.0026,0.695
1.65,0.00268,0.696
1.68,0.00276,0.697
1.71,0.00284,0.698
1.74,0.00292,0.698
1.77,0.003,0.699
1.8,0.00308,0.7
1.83,0.00316,0.7
1.86,0.00324,0.701
1.89,0.00332,0.702
1.92,0.0034,0.703
1.95,0.00348,0.703
1.98,0.00356,0.704
2.01,0.00364,0.704
2.04,0.00371,0.705
2.07,0.0038,0.706
2.1,0.00388,0.706
2.13,0.00396,0.707
2.16,0.00404,0.707
2.19,0.00412,0.708
2.22,0.0042,0.708
2.25,0.00429,0.709
2.28,0.00437,0.709
2.31,0.00445,0.71
2.34,0.00453,0.711
2.37,0.00461,0.711
2.4,0.00469,0.712
2.43,0.00477,0.712
2.46,0.00485,0.712
2.49,0.00494,0.713
2.52,0.00502,0.714
2.55,0.0051,0.714
2.58,0.00518,0.714
2.61,0.00526,0.715
2.64,0.00534,0.715
2.67,0.00542,0.716
2.7,0.0055,0.716
2.73,0.00558,0.716
2.76,0.00566,0.717
2.79,0.00575,0.717
2.82,0.00583,0.718
2.85,0.00591,0.718
2.88,0.00599,0.719
2.91,0.00607,0.719
2.94,0.00615,0.719
2.97,0.00623,0.72
3,0.00632,0.72
