Vb,Ib,Ie,Ic
0.4,2.05E-07,-5.00E-10,-2.05E-07
0.4031,6.00E-08,-1.04E-07,-1.64E-07
0.4062,4.20E-08,-1.16E-07,-1.58E-07
0.4093,4.20E-08,-1.32E-07,-1.74E-07
0.4124,4.40E-08,-1.48E-07,-1.92E-07
0.4155,4.80E-08,-1.66E-07,-2.14E-07
0.4186,5.20E-08,-1.85E-07,-2.37E-07
0.4217,5.90E-08,-2.12E-07,-2.71E-07
0.4248,6.70E-08,-2.42E-07,-3.09E-07
0.4279,7.30E-08,-2.72E-07,-3.45E-07
0.431,8.20E-08,-3.05E-07,-3.87E-07
0.4341,9.00E-08,-3.42E-07,-4.32E-07
0.4372,1.01E-07,-3.84E-07,-4.85E-07
0.4403,1.15E-07,-4.39E-07,-5.54E-07
0.4434,1.27E-07,-4.93E-07,-6.20E-07
0.4465,1.42E-07,-5.52E-07,-6.94E-07
0.4496,1.59E-07,-6.21E-07,-7.80E-07
0.4527,1.78E-07,-6.96E-07,-8.74E-07
0.4558,2.03E-07,-7.97E-07,-1.00E-06
0.4589,2.26E-07,-8.94E-07,-1.12E-06
0.462,2.54E-07,-1.00E-06,-1.26E-06
0.4651,2.84E-07,-1.13E-06,-1.41E-06
0.4682,3.18E-07,-1.26E-06,-1.58E-06
0.4713,3.62E-07,-1.44E-06,-1.81E-06
0.4744,4.05E-07,-1.62E-06,-2.02E-06
0.4775,4.52E-07,-1.81E-06,-2.26E-06
0.4806,5.18E-07,-2.03E-06,-2.55E-06
0.4837,5.80E-07,-2.28E-06,-2.86E-06
0.4868,6.63E-07,-2.60E-06,-3.26E-06
0.4899,7.42E-07,-2.93E-06,-3.67E-06
0.493,8.29E-07,-3.28E-06,-4.11E-06
0.4961,9.30E-07,-3.69E-06,-4.62E-06
0.4992,1.04E-06,-4.13E-06,-5.17E-06
0.5023,1.18E-06,-4.71E-06,-5.89E-06
0.5054,1.32E-06,-5.28E-06,-6.60E-06
0.5085,1.48E-06,-5.91E-06,-7.39E-06
0.5116,1.65E-06,-6.63E-06,-8.28E-06
0.5147,1.84E-06,-7.44E-06,-9.28E-06
0.5178,2.17E-06,-8.70E-06,-1.09E-05
0.5209,2.41E-06,-9.75E-06,-1.22E-05
0.524,2.69E-06,-1.09E-05,-1.36E-05
0.5271,3.00E-06,-1.22E-05,-1.52E-05
0.5302,3.34E-06,-1.37E-05,-1.71E-05
0.5333,3.78E-06,-1.56E-05,-1.94E-05
0.5364,4.20E-06,-1.74E-05,-2.16E-05
0.5395,4.66E-06,-1.95E-05,-2.41E-05
0.5426,5.30E-06,-2.24E-05,-2.77E-05
0.5457,5.89E-06,-2.51E-05,-3.10E-05
0.5488,6.65E-06,-2.85E-05,-3.52E-05
0.5519,7.37E-06,-3.19E-05,-3.93E-05
0.555,8.15E-06,-3.56E-05,-4.38E-05
0.5581,9.02E-06,-3.98E-05,-4.88E-05
0.5612,9.98E-06,-4.44E-05,-5.44E-05
0.5643,1.12E-05,-5.04E-05,-6.16E-05
0.5674,1.23E-05,-5.61E-05,-6.84E-05
0.5705,1.36E-05,-6.24E-05,-7.60E-05
0.5736,1.49E-05,-6.94E-05,-8.43E-05
0.5767,1.63E-05,-7.71E-05,-9.34E-05
0.5798,1.81E-05,-8.68E-05,-1.05E-04
0.5829,1.98E-05,-9.61E-05,-1.16E-04
0.586,2.24E-05,-0.0001087,-1.31E-04
0.5891,2.43E-05,-0.0001203,-1.45E-04
0.5922,2.65E-05,-0.0001331,-1.60E-04
0.5953,2.93E-05,-0.0001497,-1.79E-04
0.5984,3.18E-05,-0.0001653,-1.97E-04
0.6015,3.45E-05,-0.0001826,-2.17E-04
0.6046,3.81E-05,-0.000201,-2.39E-04
0.6077,4.14E-05,-0.000222,-2.63E-04
0.6108,4.55E-05,-0.00025,-2.96E-04
0.6139,4.92E-05,-0.000276,-3.25E-04
0.617,5.33E-05,-0.000305,-3.58E-04
0.6201,5.76E-05,-0.000336,-3.94E-04
0.6232,6.21E-05,-0.00037,-4.32E-04
0.6263,6.80E-05,-0.000414,-4.82E-04
0.6294,7.33E-05,-0.000456,-5.29E-04
0.6325,7.89E-05,-0.0005,-5.79E-04
0.6356,8.49E-05,-0.00055,-6.35E-04
0.6387,9.15E-05,-0.000604,-6.96E-04
0.6418,9.97E-05,-0.000675,-7.75E-04
0.6449,0.0001073,-0.000741,-8.48E-04
0.648,0.0001154,-0.000813,-9.28E-04
0.6511,0.000124,-0.000891,-1.02E-03
0.6542,0.000133,-0.000975,-1.11E-03
0.6573,0.0001446,-0.001084,-1.23E-03
0.6604,0.000155,-0.001184,-1.34E-03
0.6635,0.0001661,-0.001293,-1.46E-03
0.6666,0.0001782,-0.001412,-1.59E-03
0.6697,0.0001908,-0.001541,-1.73E-03
0.6728,0.000212,-0.001736,-1.95E-03
0.6759,0.000226,-0.001892,-2.12E-03
0.679,0.000247,-0.00208,-2.33E-03
0.6821,0.000265,-0.00227,-2.54E-03
0.6852,0.000284,-0.00247,-2.75E-03
0.6883,0.000308,-0.00274,-3.05E-03
0.6914,0.00033,-0.00298,-3.31E-03
0.6945,0.000354,-0.00324,-3.59E-03
0.6976,0.000379,-0.00353,-3.91E-03
0.7007,0.000407,-0.00384,-4.25E-03
0.7038,0.000442,-0.00422,-4.66E-03
0.7069,0.000474,-0.00458,-5.05E-03
0.71,0.000508,-0.00496,-5.47E-03
