"Vb","Ib","Ie"
0.0,-9e-10,-7e-10
0.05,9.3e-09,-7e-10
0.1,1.11e-08,-9e-10
0.15,1.73e-08,-1e-09
0.2,2.18e-08,-5e-10
0.25,2.61e-08,-8e-10
0.3,3.04e-08,-2.1e-09
0.35,3.5e-08,-1.09e-08
0.4,5.42e-08,-7.21e-08
0.45,1.375e-07,-4.91e-07
0.5,8.48e-07,-3.3e-06
0.55,2.06e-06,-1.778e-05
0.6,1.409e-05,-6.46e-05
0.65,2.83e-05,-0.0001418
0.7,4.41e-05,-0.000236
0.75,5.96e-05,-0.000341
0.8,7.54e-05,-0.000454
0.85,9.1e-05,-0.000572
0.9,0.0001064,-0.000692
0.95,0.0001217,-0.000815
1.0,0.0001373,-0.000941
1.05,0.0001529,-0.001069
1.1,0.0001684,-0.001197
1.15,0.0001838,-0.001326
1.2,0.0001991,-0.001454
1.25,0.000217,-0.001586
1.3,0.000232,-0.001717
1.35,0.000247,-0.001845
1.4,0.000263,-0.001976
1.45,0.000281,-0.00209
1.5,0.000296,-0.00222
1.55,0.000313,-0.00236
1.6,0.000329,-0.00249
1.65,0.000345,-0.00262
1.7,0.000361,-0.00275
1.75,0.000377,-0.00288
1.8,0.000394,-0.00302
1.85,0.00041,-0.00315
1.9,0.000426,-0.00328
1.95,0.000442,-0.00341
2.0,0.000459,-0.00354
2.05,0.000475,-0.00368
2.1,0.000492,-0.00381
2.15,0.000509,-0.00395
2.2,0.000526,-0.00408
2.25,0.000543,-0.00422
2.3,0.00056,-0.00436
2.35,0.000577,-0.00449
2.4,0.000594,-0.00462
2.45,0.000611,-0.00476
2.5,0.000628,-0.00489
2.55,0.000646,-0.00502
2.6,0.000663,-0.00516
2.65,0.00068,-0.00529
2.7,0.000698,-0.00543
2.75,0.000715,-0.00557
2.8,0.000733,-0.0057
2.85,0.000751,-0.00584
2.9,0.000768,-0.00597
2.95,0.000786,-0.0061
3.0,0.000804,-0.00624
3.05,0.000822,-0.00638
3.1,0.000841,-0.00652
3.15,0.000858,-0.00665
3.2,0.000876,-0.00679
3.25,0.000895,-0.00693
3.3,0.000913,-0.00706
3.35,0.000932,-0.0072
3.4,0.00095,-0.00733
3.45,0.000967,-0.00746
3.5,0.000986,-0.0076
3.55,0.001005,-0.00773
3.6,0.001024,-0.00787
3.65,0.001042,-0.008
3.7,0.001061,-0.00814
3.75,0.00108,-0.00827
3.8,0.001099,-0.00841
3.85,0.001118,-0.00854
3.9,0.001137,-0.00867
3.95,0.001156,-0.0088
4.0,0.001175,-0.00894
4.05,0.001195,-0.00908
4.1,0.001215,-0.00921
4.15,0.001235,-0.00935
4.2,0.001255,-0.00949
4.25,0.001275,-0.00962
4.3,0.001295,-0.00976
4.35,0.001315,-0.00989
4.4,0.001335,-0.01003
4.45,0.001356,-0.01016
4.5,0.001376,-0.0103
4.55,0.001397,-0.01043
4.6,0.001418,-0.01057
4.65,0.001439,-0.0107
4.7,0.001461,-0.01084
4.75,0.001482,-0.01097
4.8,0.001503,-0.01111
4.85,0.001525,-0.01125
4.9,0.001548,-0.01139
4.95,0.00157,-0.01153
5.0,0.001593,-0.01166
