Vb,Ve,,,,
0,5.025,dVin,Dvout,Vin,Gain
0.05,4.116,0.05,-0.909,0.05,-18.18
0.1,5.025,0.05,0.909,0.1,18.18
0.15,4.116,0.05,-0.909,0.15,-18.18
0.2,5.025,0.05,0.909,0.2,18.18
0.25,4.116,0.05,-0.909,0.25,-18.18
0.3,5.025,0.05,0.909,0.3,18.18
0.35,5.025,0.05,0,0.35,0
0.4,4.116,0.05,-0.909,0.4,-18.18
0.45,5.03,0.05,0.914,0.45,18.28
0.5,4.116,0.05,-0.914,0.5,-18.28
0.55,5,0.05,0.884,0.55,17.68
0.6,4.116,0.05,-0.884,0.6,-17.68
0.65,4.94,0.05,0.824,0.65,16.48
0.7,4.116,0.05,-0.824,0.7,-16.48
0.75,4.875,0.05,0.759,0.75,15.18
0.8,4.116,0.05,-0.759,0.8,-15.18
0.85,4.81,0.05,0.694,0.85,13.88
0.9,4.116,0.05,-0.694,0.9,-13.88
0.95,4.74,0.05,0.624,0.95,12.48
1,4.116,0.05,-0.624,1,-12.48
1.05,4.67,0.05,0.554,1.05,11.08
1.1,4.116,0.05,-0.554,1.1,-11.08
1.15,4.6,0.05,0.484,1.15,9.68
1.2,4.116,0.05,-0.484,1.2,-9.68
1.25,4.525,0.05,0.409,1.25,8.18
1.3,4.116,0.05,-0.409,1.3,-8.18
1.35,4.455,0.05,0.339,1.35,6.78
1.4,4.116,0.05,-0.339,1.4,-6.78
1.45,4.116,0.05,0,1.45,0
1.5,4.116,0.05,0,1.5,0
1.55,4.116,0.05,0,1.55,0
1.6,4.116,0.05,0,1.6,0
1.65,4.116,0.05,0,1.65,0
1.7,4.116,0.05,0,1.7,0
1.75,4.116,0.05,0,1.75,0
1.8,4.102,0.05,-0.014,1.8,-0.28
1.85,4.064,0.05,-0.038,1.85,-0.76
1.9,4.028,0.05,-0.036,1.9,-0.72
1.95,3.992,0.05,-0.036,1.95,-0.72
2,3.958,0.05,-0.034,2,-0.68
2.05,3.92,0.05,-0.038,2.05,-0.76
2.1,3.884,0.05,-0.036,2.1,-0.72
2.15,3.846,0.05,-0.038,2.15,-0.76
2.2,3.808,0.05,-0.038,2.2,-0.76
2.25,3.77,0.05,-0.038,2.25,-0.76
2.3,3.732,0.05,-0.038,2.3,-0.76
2.35,3.696,0.05,-0.036,2.35,-0.72
2.4,3.658,0.05,-0.038,2.4,-0.76
2.45,3.622,0.05,-0.036,2.45,-0.72
2.5,3.584,0.05,-0.038,2.5,-0.76
2.55,3.546,0.05,-0.038,2.55,-0.76
2.6,3.508,0.05,-0.038,2.6,-0.76
2.65,3.472,0.05,-0.036,2.65,-0.72
2.7,3.436,0.05,-0.036,2.7,-0.72
2.75,3.398,0.05,-0.038,2.75,-0.76
2.8,3.36,0.05,-0.038,2.8,-0.76
2.85,3.322,0.05,-0.038,2.85,-0.76
2.9,3.286,0.05,-0.036,2.9,-0.72
2.95,3.25,0.05,-0.036,2.95,-0.72
3,3.212,0.05,-0.038,3,-0.76
3.05,3.172,0.05,-0.04,3.05,-0.8
3.1,3.136,0.05,-0.036,3.1,-0.72
3.15,3.1,0.05,-0.036,3.15,-0.72
3.2,3.064,0.05,-0.036,3.2,-0.72
3.25,3.026,0.05,-0.038,3.25,-0.76
3.3,2.99,0.05,-0.036,3.3,-0.72
3.35,2.954,0.05,-0.036,3.35,-0.72
3.4,2.922,0.05,-0.032,3.4,-0.64
3.45,2.906,0.05,-0.016,3.45,-0.32
3.5,2.922,0.05,0.016,3.5,0.32
3.55,2.954,0.05,0.032,3.55,0.64
3.6,2.994,0.05,0.04,3.6,0.8
3.65,3.034,0.05,0.04,3.65,0.8
3.7,3.076,0.05,0.042,3.7,0.84
3.75,3.12,0.05,0.044,3.75,0.88
3.8,3.164,0.05,0.044,3.8,0.88
3.85,3.21,0.05,0.046,3.85,0.92
3.9,3.254,0.05,0.044,3.9,0.88
3.95,3.3,0.05,0.046,3.95,0.92
4,3.346,0.05,0.046,4,0.92
4.05,3.394,0.05,0.048,4.05,0.96
4.1,3.44,0.05,0.046,4.1,0.92
4.15,3.488,0.05,0.048,4.15,0.96
4.2,3.536,0.05,0.048,4.2,0.96
4.25,3.582,0.05,0.046,4.25,0.92
4.3,3.63,0.05,0.048,4.3,0.96
4.35,3.676,0.05,0.046,4.35,0.92
4.4,3.724,0.05,0.048,4.4,0.96
4.45,3.772,0.05,0.048,4.45,0.96
4.5,3.818,0.05,0.046,4.5,0.92
4.55,3.868,0.05,0.05,4.55,1
4.6,3.914,0.05,0.046,4.6,0.92
4.65,3.962,0.05,0.048,4.65,0.96
4.7,4.01,0.05,0.048,4.7,0.96
4.75,4.056,0.05,0.046,4.75,0.92
4.8,4.104,0.05,0.048,4.8,0.96
4.85,4.116,0.05,0.012,4.85,0.24
4.9,4.116,0.05,0,4.9,0
4.95,4.116,0.05,0,4.95,0
5,4.116,0.05,0,5,0
