"Vb","Ve"
0.0,5.025
0.05,4.116
0.1,5.025
0.15,4.116
0.2,5.025
0.25,5.025
0.3,4.116
0.35,5.025
0.4,4.116
0.45,5.025
0.5,4.116
0.55,4.965
0.6,4.116
0.65,4.85
0.7,4.116
0.75,4.725
0.8,4.116
0.85,4.595
0.9,4.116
0.95,4.116
1.0,4.116
1.05,4.116
1.1,4.116
1.15,4.116
1.2,4.088
1.25,4.018
1.3,3.95
1.35,3.88
1.4,3.802
1.45,3.732
1.5,3.66
1.55,3.586
1.6,3.514
1.65,3.44
1.7,3.368
1.75,3.296
1.8,3.222
1.85,3.15
1.9,3.078
1.95,3.006
2.0,2.934
2.05,2.862
2.1,2.788
2.15,2.716
2.2,2.644
2.25,2.572
2.3,2.5
2.35,2.428
2.4,2.358
2.45,2.286
2.5,2.216
2.55,2.146
2.6,2.09
2.65,2.09
2.7,2.118
2.75,2.156
2.8,2.198
2.85,2.24
2.9,2.284
2.95,2.328
3.0,2.376
3.05,2.422
3.1,2.47
3.15,2.518
3.2,2.564
3.25,2.61
3.3,2.658
3.35,2.706
3.4,2.752
3.45,2.798
3.5,2.848
3.55,2.896
3.6,2.944
3.65,2.992
3.7,3.038
3.75,3.086
3.8,3.134
3.85,3.182
3.9,3.23
3.95,3.276
4.0,3.324
4.05,3.374
4.1,3.424
4.15,3.472
4.2,3.522
4.25,3.57
4.3,3.618
4.35,3.666
4.4,3.714
4.45,3.762
4.5,3.81
4.55,3.858
4.6,3.908
4.65,3.956
4.7,4.004
4.75,4.052
4.8,4.1
4.85,4.116
4.9,4.116
4.95,4.116
5.0,4.116
