Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,
Vb, Ib, Ie, Ic,Vb, Ib, Ie, Ic,Vb, Ib, Ie, Ic,Vb, Ib, Ie, Ic
0,-1.90E-09,-1.00E-10,1.80E-09,0,-8.00E-10,-3.00E-10,5.00E-10,0,-7.00E-10,-4.00E-10,3.00E-10,0,-1.10E-09,-1.00E-09,1.00E-10
0.05,8.80E-09,-2.00E-10,-9.00E-09,0.05,8.90E-09,-5.00E-10,-9.40E-09,0.05,1.02E-08,-7.00E-10,-1.09E-08,0.05,8.90E-09,-4.00E-10,-9.30E-09
0.1,1.11E-08,1.00E-10,-1.10E-08,0.1,1.11E-08,-5.00E-10,-1.16E-08,0.1,1.38E-08,-4.00E-10,-1.42E-08,0.1,1.11E-08,-7.00E-10,-1.18E-08
0.15,1.28E-08,-3.00E-10,-1.31E-08,0.15,1.41E-08,-4.00E-10,-1.45E-08,0.15,1.62E-08,-6.00E-10,-1.68E-08,0.15,1.50E-08,-7.00E-10,-1.57E-08
0.2,1.53E-08,-5.00E-10,-1.58E-08,0.2,1.56E-08,-7.00E-10,-1.63E-08,0.2,1.87E-08,-5.00E-10,-1.92E-08,0.2,1.91E-08,-1.00E-09,-2.01E-08
0.25,1.93E-08,-2.30E-09,-2.16E-08,0.25,1.96E-08,-2.60E-09,-2.22E-08,0.25,2.18E-08,-2.50E-09,-2.43E-08,0.25,2.09E-08,-2.70E-09,-2.36E-08
0.3,2.53E-08,-1.56E-08,-4.09E-08,0.3,2.38E-08,-1.56E-08,-3.94E-08,0.3,2.51E-08,-1.54E-08,-4.05E-08,0.3,2.38E-08,-1.54E-08,-3.92E-08
0.35,2.64E-08,-1.06E-07,-1.32E-07,0.35,2.72E-08,-1.04E-07,-1.31E-07,0.35,2.72E-08,-1.02E-07,-1.29E-07,0.35,2.65E-08,-1.03E-07,-1.30E-07
0.4,1.32E-08,-7.38E-07,-7.51E-07,0.4,1.36E-08,-7.20E-07,-7.34E-07,0.4,1.39E-08,-7.07E-07,-7.21E-07,0.4,1.41E-08,-7.18E-07,-7.32E-07
0.45,2.08E-08,-5.02E-06,-5.04E-06,0.45,2.12E-08,-4.90E-06,-4.92E-06,0.45,2.10E-08,-4.82E-06,-4.84E-06,0.45,2.13E-08,-4.89E-06,-4.91E-06
0.5,9.49E-08,-2.04E-05,-2.05E-05,0.5,9.18E-08,-2.04E-05,-2.05E-05,0.5,9.07E-08,-2.04E-05,-2.05E-05,0.5,9.18E-08,-2.04E-05,-2.05E-05
0.55,2.05E-07,-0.000235,-0.000235205,0.55,2.05E-07,-0.00023,-0.000230205,0.55,2.05E-07,-0.000227,-0.000227205,0.55,2.05E-07,-0.00023,-0.000230205
0.6,3.02E-06,-0.001697,-0.00170002,0.6,2.97E-06,-0.001667,-0.00166997,0.6,2.94E-06,-0.001649,-0.00165194,0.6,2.97E-06,-0.001666,-0.00166897
0.65,1.88E-05,-0.01054,-0.01055878,0.65,1.85E-05,-0.01038,-0.01039851,0.65,1.84E-05,-0.0103,-0.01031841,0.65,1.86E-05,-0.01041,-0.01042858
0.7,5.20E-05,-0.02036,-0.020412,0.7,5.22E-05,-0.02036,-0.0204122,0.7,5.24E-05,-0.02036,-0.0204124,0.7,5.23E-05,-0.02036,-0.0204123
0.75,5.22E-05,-0.02036,-0.0204122,0.75,5.24E-05,-0.02036,-0.0204124,0.75,5.26E-05,-0.02036,-0.0204126,0.75,5.26E-05,-0.02036,-0.0204126
0.8,5.24E-05,-0.02036,-0.0204124,0.8,5.26E-05,-0.02036,-0.0204126,0.8,5.28E-05,-0.02036,-0.0204128,0.8,5.28E-05,-0.02036,-0.0204128
0.85,5.27E-05,-0.02036,-0.0204127,0.85,5.29E-05,-0.02036,-0.0204129,0.85,5.31E-05,-0.02036,-0.0204131,0.85,5.31E-05,-0.02036,-0.0204131
0.9,5.30E-05,-0.02036,-0.020413,0.9,5.32E-05,-0.02036,-0.0204132,0.9,5.34E-05,-0.02036,-0.0204134,0.9,5.33E-05,-0.02036,-0.0204133
0.95,5.32E-05,-0.02036,-0.0204132,0.95,5.34E-05,-0.02036,-0.0204134,0.95,5.37E-05,-0.02036,-0.0204137,0.95,5.36E-05,-0.02036,-0.0204136
1,5.35E-05,-0.02036,-0.0204135,1,5.37E-05,-0.02036,-0.0204137,1,5.39E-05,-0.02036,-0.0204139,1,5.39E-05,-0.02036,-0.0204139
1.05,5.38E-05,-0.02036,-0.0204138,1.05,5.40E-05,-0.02036,-0.020414,1.05,5.42E-05,-0.02036,-0.0204142,1.05,5.42E-05,-0.02036,-0.0204142
1.1,5.41E-05,-0.02036,-0.0204141,1.1,5.43E-05,-0.02036,-0.0204143,1.1,5.45E-05,-0.02036,-0.0204145,1.1,5.45E-05,-0.02036,-0.0204145
1.15,5.44E-05,-0.02036,-0.0204144,1.15,5.46E-05,-0.02036,-0.0204146,1.15,5.48E-05,-0.02036,-0.0204148,1.15,5.48E-05,-0.02036,-0.0204148
1.2,5.47E-05,-0.02036,-0.0204147,1.2,5.49E-05,-0.02036,-0.0204149,1.2,5.51E-05,-0.02036,-0.0204151,1.2,5.51E-05,-0.02036,-0.0204151
1.25,5.50E-05,-0.02036,-0.020415,1.25,5.52E-05,-0.02036,-0.0204152,1.25,5.54E-05,-0.02036,-0.0204154,1.25,5.54E-05,-0.02036,-0.0204154
1.3,5.53E-05,-0.02036,-0.0204153,1.3,5.55E-05,-0.02036,-0.0204155,1.3,5.57E-05,-0.02036,-0.0204157,1.3,5.57E-05,-0.02036,-0.0204157
1.35,5.56E-05,-0.02036,-0.0204156,1.35,5.58E-05,-0.02036,-0.0204158,1.35,5.60E-05,-0.02036,-0.020416,1.35,5.60E-05,-0.02036,-0.020416
1.4,5.60E-05,-0.02036,-0.020416,1.4,5.61E-05,-0.02036,-0.0204161,1.4,5.64E-05,-0.02036,-0.0204164,1.4,5.63E-05,-0.02036,-0.0204163
1.45,5.63E-05,-0.02036,-0.0204163,1.45,5.65E-05,-0.02036,-0.0204165,1.45,5.67E-05,-0.02036,-0.0204167,1.45,5.66E-05,-0.02036,-0.0204166
1.5,5.66E-05,-0.02036,-0.0204166,1.5,5.68E-05,-0.02036,-0.0204168,1.5,5.70E-05,-0.02036,-0.020417,1.5,5.70E-05,-0.02036,-0.020417
1.55,5.69E-05,-0.02036,-0.0204169,1.55,5.71E-05,-0.02036,-0.0204171,1.55,5.73E-05,-0.02036,-0.0204173,1.55,5.73E-05,-0.02036,-0.0204173
1.6,5.72E-05,-0.02036,-0.0204172,1.6,5.74E-05,-0.02036,-0.0204174,1.6,5.76E-05,-0.02036,-0.0204176,1.6,5.76E-05,-0.02036,-0.0204176
1.65,5.76E-05,-0.02036,-0.0204176,1.65,5.77E-05,-0.02036,-0.0204177,1.65,5.80E-05,-0.02036,-0.020418,1.65,5.79E-05,-0.02036,-0.0204179
1.7,5.79E-05,-0.02036,-0.0204179,1.7,5.81E-05,-0.02036,-0.0204181,1.7,5.83E-05,-0.02036,-0.0204183,1.7,5.82E-05,-0.02036,-0.0204182
1.75,5.82E-05,-0.02036,-0.0204182,1.75,5.84E-05,-0.02036,-0.0204184,1.75,5.86E-05,-0.02036,-0.0204186,1.75,5.85E-05,-0.02036,-0.0204185
1.8,5.85E-05,-0.02036,-0.0204185,1.8,5.87E-05,-0.02036,-0.0204187,1.8,5.89E-05,-0.02036,-0.0204189,1.8,5.89E-05,-0.02036,-0.0204189
1.85,5.88E-05,-0.02036,-0.0204188,1.85,5.90E-05,-0.02036,-0.020419,1.85,5.92E-05,-0.02036,-0.0204192,1.85,5.92E-05,-0.02036,-0.0204192
1.9,5.91E-05,-0.02036,-0.0204191,1.9,5.93E-05,-0.02036,-0.0204193,1.9,5.95E-05,-0.02036,-0.0204195,1.9,5.95E-05,-0.02036,-0.0204195
1.95,5.95E-05,-0.02036,-0.0204195,1.95,5.96E-05,-0.02036,-0.0204196,1.95,5.98E-05,-0.02036,-0.0204198,1.95,5.98E-05,-0.02036,-0.0204198
2,5.98E-05,-0.02036,-0.0204198,2,6.00E-05,-0.02036,-0.02042,2,6.01E-05,-0.02036,-0.0204201,2,6.01E-05,-0.02036,-0.0204201
2.05,6.01E-05,-0.02036,-0.0204201,2.05,6.03E-05,-0.02036,-0.0204203,2.05,6.04E-05,-0.02036,-0.0204204,2.05,6.04E-05,-0.02036,-0.0204204
2.1,6.04E-05,-0.02036,-0.0204204,2.1,6.06E-05,-0.02036,-0.0204206,2.1,6.08E-05,-0.02036,-0.0204208,2.1,6.08E-05,-0.02036,-0.0204208
2.15,6.07E-05,-0.02036,-0.0204207,2.15,6.09E-05,-0.02036,-0.0204209,2.15,6.11E-05,-0.02036,-0.0204211,2.15,6.11E-05,-0.02036,-0.0204211
2.2,6.11E-05,-0.02036,-0.0204211,2.2,6.13E-05,-0.02036,-0.0204213,2.2,6.14E-05,-0.02036,-0.0204214,2.2,6.14E-05,-0.02036,-0.0204214
2.25,6.14E-05,-0.02036,-0.0204214,2.25,6.16E-05,-0.02036,-0.0204216,2.25,6.18E-05,-0.02036,-0.0204218,2.25,6.17E-05,-0.02036,-0.0204217
2.3,6.17E-05,-0.02036,-0.0204217,2.3,6.19E-05,-0.02036,-0.0204219,2.3,6.21E-05,-0.02036,-0.0204221,2.3,6.21E-05,-0.02036,-0.0204221
2.35,6.21E-05,-0.02036,-0.0204221,2.35,6.22E-05,-0.02036,-0.0204222,2.35,6.24E-05,-0.02036,-0.0204224,2.35,6.24E-05,-0.02036,-0.0204224
2.4,6.24E-05,-0.02036,-0.0204224,2.4,6.26E-05,-0.02036,-0.0204226,2.4,6.28E-05,-0.02036,-0.0204228,2.4,6.27E-05,-0.02036,-0.0204227
