"Ix","Iz"
-1e-08,-6.94e-07
-1.07189131921e-08,-7.03e-07
-1.14895100019e-08,-7.14e-07
-1.23155060329e-08,-7.24e-07
-1.32008840083e-08,-7.35e-07
-1.41499129743e-08,-7.46e-07
-1.51671688847e-08,-7.58e-07
-1.62575566644e-08,-7.7e-07
-1.74263338601e-08,-7.84e-07
-1.86791359902e-08,-7.98e-07
-2.00220037182e-08,-8.12e-07
-2.14614119786e-08,-8.28e-07
-2.30043011977e-08,-8.45e-07
-2.46581107582e-08,-8.62e-07
-2.64308148697e-08,-8.8e-07
-2.83309610184e-08,-8.99e-07
-3.03677111804e-08,-9.18e-07
-3.25508859984e-08,-9.39e-07
-3.48910121341e-08,-9.61e-07
-3.73993730248e-08,-9.84e-07
-4.0088063289e-08,-1.008e-06
-4.29700470432e-08,-1.033e-06
-4.60592204115e-08,-1.059e-06
-4.93704785284e-08,-1.086e-06
-5.29197873596e-08,-1.115e-06
-5.67242606849e-08,-1.144e-06
-6.08022426165e-08,-1.176e-06
-6.51733960488e-08,-1.208e-06
-6.98587974679e-08,-1.241e-06
-7.48810385759e-08,-1.277e-06
-8.02643352226e-08,-1.314e-06
-8.60346441668e-08,-1.351e-06
-9.22197882333e-08,-1.391e-06
-9.88495904663e-08,-1.431e-06
-1.05956017928e-07,-1.474e-06
-1.13573335834e-07,-1.518e-06
-1.21738272774e-07,-1.565e-06
-1.30490197801e-07,-1.613e-06
-1.39871310265e-07,-1.662e-06
-1.49926843279e-07,-1.713e-06
-1.60705281826e-07,-1.768e-06
-1.7225859654e-07,-1.824e-06
-1.8464249429e-07,-1.881e-06
-1.97916686785e-07,-1.939e-06
-2.12145178491e-07,-2.03e-06
-2.27396575236e-07,-2.09e-06
-2.43744415012e-07,-2.16e-06
-2.61267522556e-07,-2.23e-06
-2.80050389418e-07,-2.3e-06
-3.00183581358e-07,-2.38e-06
-3.21764175025e-07,-2.46e-06
-3.44896226041e-07,-2.54e-06
-3.6969127072e-07,-2.62e-06
-3.9626886387e-07,-2.71e-06
-4.24757155254e-07,-2.81e-06
-4.55293507487e-07,-2.9e-06
-4.88025158365e-07,-3e-06
-5.23109930806e-07,-3.1e-06
-5.60716993821e-07,-3.21e-06
-6.01027678207e-07,-3.32e-06
-6.44236350872e-07,-3.43e-06
-6.90551352016e-07,-3.55e-06
-7.40195999692e-07,-3.67e-06
-7.9340966658e-07,-3.8e-06
-8.5044893418e-07,-3.93e-06
-9.11588829975e-07,-4.07e-06
-9.77124153535e-07,-4.21e-06
-1.04737089796e-06,-4.36e-06
-1.12266777351e-06,-4.5e-06
-1.20337784078e-06,-4.66e-06
-1.28989026125e-06,-4.82e-06
-1.38262217376e-06,-4.99e-06
-1.4820207058e-06,-5.16e-06
-1.58856512943e-06,-5.34e-06
-1.70276917223e-06,-5.53e-06
-1.82518349432e-06,-5.72e-06
-1.95639834352e-06,-5.92e-06
-2.09704640132e-06,-6.16e-06
-2.24780583355e-06,-6.38e-06
-2.40940356024e-06,-6.59e-06
-2.58261876068e-06,-6.83e-06
-2.76828663039e-06,-7.07e-06
-2.96730240819e-06,-7.3e-06
-3.18062569279e-06,-7.55e-06
-3.40928506975e-06,-7.81e-06
-3.65438307096e-06,-8.08e-06
-3.91710149081e-06,-8.36e-06
-4.19870708444e-06,-8.65e-06
-4.5005576757e-06,-8.95e-06
-4.82410870417e-06,-9.27e-06
-5.1709202429e-06,-9.59e-06
-5.54266452066e-06,-9.93e-06
-5.94113398497e-06,-1.027e-05
-6.36824994472e-06,-1.063e-05
-6.82607183427e-06,-1.1e-05
-7.31680714343e-06,-1.138e-05
-7.84282206134e-06,-1.178e-05
-8.40665288562e-06,-1.22e-05
-9.01101825167e-06,-1.263e-05
-9.65883224116e-06,-1.307e-05
-1.0353218433e-05,-1.354e-05
-1.10975249641e-05,-1.401e-05
-1.18953406737e-05,-1.45e-05
-1.27505124071e-05,-1.5e-05
-1.36671635646e-05,-1.55e-05
-1.46497139831e-05,-1.604e-05
-1.57029012473e-05,-1.66e-05
-1.68318035333e-05,-1.718e-05
-1.80418640939e-05,-1.778e-05
-1.93389175046e-05,-1.839e-05
-2.0729217796e-05,-1.912e-05
-2.22194686094e-05,-1.976e-05
-2.38168555198e-05,-2.08e-05
-2.55290806824e-05,-2.15e-05
-2.73643999707e-05,-2.22e-05
-2.93316627839e-05,-2.29e-05
-3.14403547159e-05,-2.37e-05
-3.37006432927e-05,-2.45e-05
-3.61234269971e-05,-2.54e-05
-3.87203878181e-05,-2.63e-05
-4.15040475785e-05,-2.72e-05
-4.44878283113e-05,-2.82e-05
-4.76861169771e-05,-2.92e-05
-5.11143348344e-05,-3.02e-05
-5.47890117959e-05,-3.13e-05
-5.87278661319e-05,-3.24e-05
-6.29498899022e-05,-3.35e-05
-6.74754405311e-05,-3.47e-05
-7.23263389648e-05,-3.59e-05
-7.75259748863e-05,-3.71e-05
-8.30994194935e-05,-3.84e-05
-8.90735463861e-05,-3.98e-05
-9.54771611421e-05,-4.12e-05
-0.000102341140211,-4.26e-05
-0.000109698579789,-4.41e-05
-0.000117584955405,-4.57e-05
-0.000126038292968,-4.73e-05
-0.00013509935212,-4.89e-05
-0.000144811822767,-5.06e-05
-0.000155222535743,-5.24e-05
-0.000166381688608,-5.42e-05
-0.000178343087693,-5.61e-05
-0.000191164407539,-5.8e-05
-0.000204907468982,-6.05e-05
-0.000219638537242,-6.25e-05
-0.000235428641432,-6.46e-05
-0.000252353917043,-6.68e-05
-0.000270495973046,-6.91e-05
-0.000289942285388,-7.14e-05
-0.000310786618778,-7.38e-05
-0.000333129478793,-7.63e-05
-0.00035707859649,-7.9e-05
-0.000382749447852,-8.17e-05
-0.000410265810583,-8.45e-05
-0.00043976036093,-8.73e-05
-0.000471375313412,-9.02e-05
-0.000505263106534,-9.33e-05
-0.000541587137808,-9.64e-05
-0.000580522551609,-9.96e-05
-0.000622257083673,-0.000103
-0.000666991966303,-0.0001064
-0.00071494289866,-0.0001099
-0.000766341086801,-0.0001135
-0.000821434358492,-0.0001172
-0.000880488358164,-0.0001212
-0.000943787827778,-0.0001251
-0.00101163797977,-0.0001292
-0.00108436596869,-0.0001334
-0.00116232246868,-0.0001377
-0.0012458833643,-0.000142
-0.00133545156293,-0.0001464
-0.00143145893752,-0.000151
-0.00153436840893,-0.0001556
-0.00164467617799,-0.0001603
-0.0017629141181,-0.0001652
-0.00188965233969,-0.00017
-0.00202550193923,-0.0001761
-0.00217111794569,-0.0001811
-0.00232720247896,-0.0001861
-0.00249450813523,-0.0001912
-0.00267384161584,-0.0001962
-0.00286606761695,-0.000203
-0.00307211299886,-0.000207
-0.0032929712551,-0.000212
