30.1k,Ix1, Iz,Iz with 30.1k,Iz with 301k,Iz with 47k,Iz with 1.5M,,,301k,Iy2, Iz2,Iz2,,47k?,Ix3, Iz3,Iz3,,1.5M?,Iy4, Iz,Iz4
,1.00E-09,-0.0024,2.40E-03,2.41E-04,1.54E-03,1.18E-02,,,,1.00E-09,-0.000241,2.41E-04,,,1.00E-09,-0.001537,0.001537,,,1.00E-09,-0.01175,0.01175
,1.15E-09,-0.00239,2.39E-03,2.40E-04,1.54E-03,1.18E-02,,,,1.15E-09,-0.00024,2.40E-04,,,1.15E-09,-0.001537,0.001537,,,1.15E-09,-0.01176,0.01176
,1.40E-09,-0.00239,2.39E-03,2.40E-04,1.54E-03,1.18E-02,,,,1.40E-09,-0.00024,2.40E-04,,,1.40E-09,-0.001536,0.001536,,,1.40E-09,-0.01175,0.01175
,1.60E-09,-0.00239,2.39E-03,2.40E-04,1.54E-03,1.18E-02,,,,1.60E-09,-0.00024,2.40E-04,,,1.60E-09,-0.001537,0.001537,,,1.60E-09,-0.01175,0.01175
,1.90E-09,-0.00238,2.38E-03,2.41E-04,1.54E-03,1.18E-02,,,,1.90E-09,-0.000241,2.41E-04,,,1.90E-09,-0.001537,0.001537,,,1.90E-09,-0.01176,0.01176
,2.25E-09,-0.00238,2.38E-03,2.41E-04,1.54E-03,1.18E-02,,,,2.25E-09,-0.000241,2.41E-04,,,2.25E-09,-0.001537,0.001537,,,2.25E-09,-0.01176,0.01176
,2.65E-09,-0.00238,2.38E-03,2.41E-04,1.54E-03,1.18E-02,,,,2.65E-09,-0.000241,2.41E-04,,,2.65E-09,-0.001537,0.001537,,,2.65E-09,-0.01176,0.01176
,3.10E-09,-0.00238,2.38E-03,2.41E-04,1.54E-03,1.18E-02,,,,3.10E-09,-0.000241,2.41E-04,,,3.10E-09,-0.001536,0.001536,,,3.10E-09,-0.01176,0.01176
,3.65E-09,-0.00238,2.38E-03,2.41E-04,1.54E-03,1.18E-02,,,,3.65E-09,-0.000241,2.41E-04,,,3.65E-09,-0.001536,0.001536,,,3.65E-09,-0.01176,0.01176
,4.25E-09,-0.00238,2.38E-03,2.41E-04,1.54E-03,1.18E-02,,,,4.25E-09,-0.000241,2.41E-04,,,4.25E-09,-0.001537,0.001537,,,4.25E-09,-0.01176,0.01176
,5.00E-09,-0.00238,2.38E-03,2.42E-04,1.54E-03,1.18E-02,,,,5.00E-09,-0.000242,2.42E-04,,,5.00E-09,-0.001537,0.001537,,,5.00E-09,-0.01177,0.01177
,5.90E-09,-0.00238,2.38E-03,2.42E-04,1.54E-03,1.18E-02,,,,5.90E-09,-0.000242,2.42E-04,,,5.90E-09,-0.001537,0.001537,,,5.90E-09,-0.01177,0.01177
,6.90E-09,-0.00238,2.38E-03,2.43E-04,1.54E-03,1.18E-02,,,,6.90E-09,-0.000243,2.43E-04,,,6.90E-09,-0.001537,0.001537,,,6.90E-09,-0.01177,0.01177
,8.15E-09,-0.00238,2.38E-03,2.43E-04,1.54E-03,1.18E-02,,,,8.15E-09,-0.000243,2.43E-04,,,8.15E-09,-0.001538,0.001538,,,8.15E-09,-0.01177,0.01177
,9.55E-09,-0.00238,2.38E-03,2.44E-04,1.54E-03,1.18E-02,,,,9.55E-09,-0.000244,2.44E-04,,,9.55E-09,-0.001538,0.001538,,,9.55E-09,-0.01177,0.01177
