Ix_large,Iz_large
-1.00E-08,-0.000552
-1.07E-08,-0.000551
-1.15E-08,-0.000551
-1.23E-08,-0.00055
-1.32E-08,-0.00055
-1.41E-08,-0.000549
-1.52E-08,-0.000548
-1.63E-08,-0.000548
-1.74E-08,-0.000547
-1.87E-08,-0.000546
-2.00E-08,-0.000546
-2.15E-08,-0.000545
-2.30E-08,-0.000544
-2.47E-08,-0.000543
-2.64E-08,-0.000542
-2.83E-08,-0.000541
-3.04E-08,-0.00054
-3.26E-08,-0.000539
-3.49E-08,-0.000538
-3.74E-08,-0.000537
-4.01E-08,-0.000536
-4.30E-08,-0.000535
-4.61E-08,-0.000533
-4.94E-08,-0.000531
-5.29E-08,-0.00053
-5.67E-08,-0.000528
-6.08E-08,-0.000526
-6.52E-08,-0.000524
-6.99E-08,-0.000522
-7.49E-08,-0.00052
-8.03E-08,-0.000518
-8.60E-08,-0.000515
-9.22E-08,-0.000512
-9.88E-08,-0.000509
-1.06E-07,-0.000506
-1.14E-07,-0.000503
-1.22E-07,-0.000499
-1.30E-07,-0.000496
-1.40E-07,-0.000492
-1.50E-07,-0.000488
-1.61E-07,-0.000483
-1.72E-07,-0.000478
-1.85E-07,-0.000474
-1.98E-07,-0.000468
-2.12E-07,-0.000462
-2.27E-07,-0.000456
-2.44E-07,-0.00045
-2.61E-07,-0.000443
-2.80E-07,-0.000436
-3.00E-07,-0.000429
-3.22E-07,-0.000422
-3.45E-07,-0.000414
-3.70E-07,-0.000406
-3.96E-07,-0.000397
-4.25E-07,-0.000388
-4.55E-07,-0.000379
-4.88E-07,-0.000369
-5.23E-07,-0.000359
-5.61E-07,-0.000349
-6.01E-07,-0.000338
-6.44E-07,-0.000327
-6.91E-07,-0.000316
-7.40E-07,-0.000305
-7.93E-07,-0.000294
-8.50E-07,-0.000282
-9.12E-07,-0.000271
-9.77E-07,-0.000259
-1.05E-06,-0.000248
-1.12E-06,-0.000236
-1.20E-06,-0.000225
-1.29E-06,-0.000214
-1.38E-06,-0.000203
-1.48E-06,-0.000193
-1.59E-06,-0.000182
-1.70E-06,-0.000172
-1.83E-06,-0.000162
-1.96E-06,-0.000153
-2.10E-06,-0.000143
-2.25E-06,-0.000134
-2.41E-06,-0.000126
-2.58E-06,-0.000118
-2.77E-06,-0.000111
-2.97E-06,-0.000105
-3.18E-06,-9.87E-05
-3.41E-06,-9.25E-05
-3.65E-06,-8.67E-05
-3.92E-06,-8.12E-05
-4.20E-06,-7.60E-05
-4.50E-06,-7.13E-05
-4.82E-06,-6.66E-05
-5.17E-06,-6.23E-05
-5.54E-06,-5.82E-05
-5.94E-06,-5.45E-05
-6.37E-06,-5.09E-05
-6.83E-06,-4.77E-05
-7.32E-06,-4.45E-05
-7.84E-06,-4.16E-05
-8.41E-06,-3.89E-05
-9.01E-06,-3.63E-05
-9.66E-06,-3.39E-05
-1.04E-05,-3.16E-05
-1.11E-05,-2.95E-05
-1.19E-05,-2.76E-05
-1.28E-05,-2.57E-05
-1.37E-05,-2.40E-05
-1.46E-05,-2.25E-05
-1.57E-05,-2.10E-05
-1.68E-05,-1.96E-05
-1.80E-05,-1.83E-05
-1.93E-05,-1.71E-05
-2.07E-05,-1.58E-05
-2.22E-05,-1.48E-05
-2.38E-05,-1.38E-05
-2.55E-05,-1.29E-05
-2.74E-05,-1.20E-05
-2.93E-05,-1.12E-05
-3.14E-05,-1.05E-05
-3.37E-05,-9.66E-06
-3.61E-05,-9.03E-06
-3.87E-05,-8.42E-06
-4.15E-05,-7.86E-06
-4.45E-05,-7.34E-06
-4.77E-05,-6.84E-06
-5.11E-05,-6.38E-06
-5.48E-05,-5.95E-06
-5.87E-05,-5.55E-06
-6.29E-05,-5.18E-06
-6.75E-05,-4.84E-06
-7.23E-05,-4.51E-06
-7.75E-05,-4.20E-06
-8.31E-05,-3.92E-06
-8.91E-05,-3.66E-06
-9.55E-05,-3.41E-06
-0.000102341,-3.18E-06
-0.000109699,-2.96E-06
-0.000117585,-2.76E-06
-0.000126038,-2.57E-06
-0.000135099,-2.39E-06
-0.000144812,-2.23E-06
-0.000155223,-2.08E-06
-0.000166382,-1.93E-06
-0.000178343,-1.80E-06
-0.000191164,-1.68E-06
-0.000204907,-1.54E-06
-0.000219639,-1.43E-06
-0.000235429,-1.33E-06
-0.000252354,-1.24E-06
-0.000270496,-1.15E-06
-0.000289942,-1.07E-06
-0.000310787,-1.00E-06
-0.000333129,-9.33E-07
-0.000357079,-8.68E-07
-0.000382749,-8.08E-07
-0.000410266,-7.51E-07
-0.00043976,-6.98E-07
-0.000471375,-6.49E-07
-0.000505263,-6.01E-07
-0.000541587,-5.59E-07
-0.000580523,-5.19E-07
-0.000622257,-4.80E-07
-0.000666992,-4.46E-07
-0.000714943,-4.13E-07
-0.000766341,-3.82E-07
-0.000821434,-3.53E-07
-0.000880488,-3.27E-07
-0.000943788,-3.02E-07
-0.001011638,-2.79E-07
-0.001084366,-2.57E-07
-0.001162322,-2.37E-07
-0.001245883,-2.18E-07
-0.001335452,-2.00E-07
-0.001431459,-1.84E-07
-0.001534368,-1.69E-07
-0.001644676,-1.55E-07
-0.001762914,-1.42E-07
-0.001889652,-1.30E-07
-0.002025502,-1.16E-07
-0.002171118,-1.06E-07
-0.002327202,-9.57E-08
-0.002494508,-8.66E-08
-0.002673842,-7.87E-08
-0.002866068,-7.12E-08
-0.003072113,-6.42E-08
-0.003292971,-5.73E-08
-0.003529707,-5.16E-08
-0.003783463,-4.56E-08
-0.004055461,-4.02E-08
-0.004347013,-3.54E-08
-0.004659526,-3.07E-08
-0.004994505,-2.67E-08
-0.005353567,-2.28E-08
-0.005738442,-1.96E-08
-0.006150986,-1.63E-08
-0.006593188,-1.34E-08
-0.007067181,-1.13E-08
-0.00757525,-9.30E-09
-0.008119845,-7.30E-09
-0.008703591,-5.50E-09
-0.009329304,-4.20E-09
-0.01,-3.10E-09
