V_S, I_channel
0.0,0.00678
0.0305,0.00668
0.0605,0.00658
0.091,0.00649
0.121,0.00639
0.1515,0.0063
0.182,0.0062
0.212,0.00611
0.2425,0.00602
0.2725,0.00593
0.303,0.00584
0.3335,0.00575
0.3635,0.00566
0.394,0.00557
0.424,0.00548
0.4545,0.00539
0.485,0.0053
0.515,0.00521
0.5455,0.00513
0.576,0.00504
0.606,0.00496
0.6365,0.00487
0.6665,0.00479
0.697,0.0047
0.7275,0.00462
0.7575,0.00453
0.788,0.00445
0.818,0.00437
0.8485,0.00429
0.879,0.0042
0.909,0.00413
0.9395,0.00405
0.9695,0.00397
1.0,0.00389
1.0305,0.00381
1.0605,0.00373
1.091,0.00365
1.121,0.00357
1.1515,0.0035
1.182,0.00342
1.212,0.00335
1.2425,0.00327
1.2725,0.0032
1.303,0.00312
1.3335,0.00305
1.3635,0.00298
1.394,0.0029
1.424,0.00283
1.4545,0.00276
1.485,0.00269
1.515,0.00262
1.5455,0.00255
1.576,0.00248
1.606,0.00241
1.6365,0.00235
1.6665,0.00228
1.697,0.00222
1.7275,0.00215
1.7575,0.00209
1.788,0.00202
1.818,0.00196
1.8485,0.0019
1.879,0.00184
1.909,0.00178
1.9395,0.00172
1.9695,0.00166
2.0,0.0016
2.03,0.00155
2.061,0.00149
2.091,0.00144
2.121,0.00138
2.152,0.00133
2.182,0.00127
2.212,0.00122
2.242,0.00117
2.273,0.00112
2.303,0.00107
2.333,0.00102
2.364,0.001005
2.394,0.000959
2.424,0.000913
2.455,0.000867
2.485,0.000823
2.515,0.00078
2.545,0.000738
2.576,0.000696
2.606,0.000656
2.636,0.000617
2.667,0.000577
2.697,0.000541
2.727,0.000505
2.758,0.000469
2.788,0.000436
2.818,0.000403
2.848,0.000371
2.879,0.00034
2.909,0.000311
2.939,0.000282
2.97,0.000255
3.0,0.000229
3.02,0.000212
3.032,0.000202
3.045,0.000192
3.057,0.000183
3.069,0.000174
3.082,0.000164
3.094,0.000156
3.106,0.000148
3.118,0.00014
3.131,0.000131
3.143,0.000124
3.155,0.000116
3.168,0.000108
3.18,0.000101
3.192,9.94e-05
3.205,9.23e-05
3.217,8.61e-05
3.229,8.01e-05
3.242,7.38e-05
3.254,6.82e-05
3.266,6.29e-05
3.278,5.78e-05
3.291,5.24e-05
3.303,4.78e-05
3.315,4.33e-05
3.328,3.87e-05
3.34,3.47e-05
3.352,3.1e-05
3.365,2.72e-05
3.377,2.39e-05
3.389,2.09e-05
3.402,1.79e-05
3.414,1.53e-05
3.426,1.29e-05
3.438,1.08e-05
3.451,8.95e-06
3.463,7.31e-06
3.475,5.9e-06
3.488,4.61e-06
3.5,3.58e-06
3.501,3.5e-06
3.503,3.36e-06
3.506,3.13e-06
3.509,2.92e-06
3.512,2.73e-06
3.514,2.61e-06
3.517,2.43e-06
3.52,2.26e-06
3.522,2.15e-06
3.525,1.99e-06
3.528,1.85e-06
3.53,1.75e-06
3.533,1.62e-06
3.536,1.49e-06
3.538,1.41e-06
3.541,1.3e-06
3.544,1.2e-06
3.547,1.1e-06
3.549,1.064e-06
3.552,9.8e-07
3.555,8.95e-07
3.557,8.42e-07
3.56,7.73e-07
3.563,7.07e-07
3.565,6.69e-07
3.568,6.08e-07
3.571,5.53e-07
3.573,5.2e-07
3.576,4.75e-07
3.579,4.35e-07
3.582,3.9e-07
3.584,3.68e-07
3.587,3.34e-07
3.59,2.96e-07
3.592,2.83e-07
3.595,2.55e-07
3.598,2.28e-07
3.6,2.15e-07
3.603,1.877e-07
3.606,1.715e-07
3.608,1.604e-07
3.611,1.451e-07
3.614,1.298e-07
3.617,1.148e-07
3.619,1.081e-07
3.622,9.6e-08
3.625,9.14e-08
3.627,8.02e-08
3.63,7.59e-08
3.633,6.77e-08
3.635,6.32e-08
3.638,5.33e-08
3.641,4.88e-08
3.643,4.79e-08
3.646,4.27e-08
3.649,3.58e-08
3.652,3.23e-08
3.654,2.3e-08
3.657,2.42e-08
3.66,2.57e-08
3.662,2.19e-08
3.665,1.73e-08
3.668,1.4e-08
3.67,1.64e-08
3.673,1.14e-08
3.676,1.22e-08
3.678,1.3e-08
3.681,7.6e-09
3.684,9.8e-09
3.687,7.6e-09
3.689,5.3e-09
3.692,7.9e-09
3.695,4.1e-09
3.697,6.6e-09
3.7,3.2e-09
