V_S, I_channel0.0
0.0335,0.00553
0.0665,0.00543
0.1,0.00534
0.1335,0.00525
0.1665,0.00516
0.2,0.00507
0.2335,0.00499
0.2665,0.0049
0.3,0.00482
0.3335,0.00473
0.3665,0.00464
0.4,0.00456
0.4335,0.00447
0.4665,0.00439
0.5,0.00431
0.5335,0.00422
0.5665,0.00414
0.6,0.00406
0.6335,0.00398
0.6665,0.0039
0.7,0.00382
0.7335,0.00374
0.7665,0.00366
0.8,0.00358
0.8335,0.00351
0.8665,0.00343
0.9,0.00336
0.9335,0.00328
0.9665,0.00321
1,0.00313
1.0335,0.00306
1.0665,0.00299
1.1,0.00292
1.1335,0.00284
1.1665,0.00277
1.2,0.0027
1.2335,0.00264
1.2665,0.00257
1.3,0.0025
1.3335,0.00244
1.3665,0.00237
1.4,0.0023
1.4335,0.00224
1.4665,0.00218
1.5,0.00212
1.5335,0.00205
1.5665,0.00199
1.6,0.00193
1.6335,0.00187
1.6665,0.00181
1.7,0.00175
1.7335,0.00169
1.7665,0.00164
1.8,0.00158
1.8335,0.00153
1.8665,0.00147
1.9,0.00142
1.9335,0.00137
1.9665,0.00132
2,0.00126
2.033,0.00121
2.067,0.00116
2.1,0.00111
2.133,0.00106
2.167,0.00101
2.2,0.00096
2.233,0.00092
2.267,0.00087
2.3,0.00083
2.333,0.00079
2.367,0.00075
2.4,0.00071
2.433,0.00067
2.467,0.00063
2.5,0.0006
2.533,0.00056
2.567,0.00052
2.6,0.00049
2.633,0.00046
2.667,0.00042
2.7,0.00039
2.733,0.00037
2.767,0.00034
2.8,0.00031
2.833,0.00028
2.867,0.00026
2.9,0.00023
2.933,0.00021
2.967,0.00019
3,0.00017
3.033,0.00015
3.067,0.00013
3.1,0.00011
3.133,9.00E-05
3.167,8.00E-05
3.2,7.00E-05
3.233,6.00E-05
3.267,5.00E-05
3.3,4.00E-05
3.333,3.00E-05
3.367,3.00E-05
3.4,2.00E-05
3.433,1.00E-05
3.467,2.00E-05
3.5,1.00E-05
3.533,-1.00E-05
3.567,1.00E-05
3.6,2.00E-05
3.633,2.00E-05
3.667,2.00E-05
3.7,2.00E-05
3.733,2.00E-05
3.767,2.00E-05
3.8,2.00E-05
3.833,2.00E-05
3.867,2.00E-05
3.9,2.00E-05
3.933,2.00E-05
3.967,2.00E-05
4,2.00E-05
4.0325,3.00E-05
4.0675,1.00E-05
4.1,1.00E-05
4.1325,1.00E-05
4.1675,1.00E-05
4.2,1.00E-05
4.2325,1.00E-05
4.2675,1.00E-05
4.3,1.00E-05
4.3325,1.00E-05
4.3675,1.00E-05
4.4,1.00E-05
4.4325,1.00E-05
4.4675,1.00E-05
4.5,1.00E-05
4.5325,1.00E-05
4.5675,1.00E-05
4.6,1.00E-05
4.6325,1.00E-05
4.6675,1.00E-05
4.7,1.00E-05
4.7325,1.00E-05
4.7675,1.00E-05
4.8,1.00E-05
4.8325,1.00E-05
4.8675,1.00E-05
4.9,1.00E-05
4.9325,1.00E-05
4.9675,1.00E-05
5,1.00E-05
