V_DS, I_channel
0.0,-2.042e-07
0.0335,2.053e-07
0.0665,0.000206
0.1,0.000315
0.1335,0.000423
0.1665,0.000527
0.2,0.000632
0.2335,0.000738
0.2665,0.00084
0.3,0.000942
0.3335,0.001043
0.3665,0.001143
0.4,0.001244
0.4335,0.001343
0.4665,0.00144
0.5,0.001539
0.5335,0.001637
0.5665,0.001731
0.6,0.001825
0.6335,0.001919
0.6665,0.00207
0.7,0.00216
0.7335,0.00225
0.7665,0.00234
0.8,0.00243
0.8335,0.00252
0.8665,0.0026
0.9,0.00269
0.9335,0.00277
0.9665,0.00286
1.0,0.00294
1.0335,0.00303
1.0665,0.00311
1.1,0.00319
1.1335,0.00327
1.1665,0.00335
1.2,0.00343
1.2335,0.0035
1.2665,0.00358
1.3,0.00365
1.3335,0.00373
1.3665,0.0038
1.4,0.00387
1.4335,0.00394
1.4665,0.00401
1.5,0.00408
1.5335,0.00415
1.5665,0.00422
1.6,0.00429
1.6335,0.00435
1.6665,0.00441
1.7,0.00448
1.7335,0.00454
1.7665,0.0046
1.8,0.00466
1.8335,0.00472
1.8665,0.00478
1.9,0.00483
1.9335,0.00489
1.9665,0.00494
2.0,0.005
2.033,0.00504
2.067,0.0051
2.1,0.00515
2.133,0.0052
2.167,0.00525
2.2,0.0053
2.233,0.00535
2.267,0.0054
2.3,0.00544
2.333,0.00549
2.367,0.00553
2.4,0.00557
2.433,0.00561
2.467,0.00566
2.5,0.0057
2.533,0.00574
2.567,0.00577
2.6,0.00581
2.633,0.00585
2.667,0.00588
2.7,0.00592
2.733,0.00595
2.767,0.00599
2.8,0.00602
2.833,0.00605
2.867,0.00608
2.9,0.00611
2.933,0.00614
2.967,0.00616
3.0,0.00619
3.033,0.00622
3.067,0.00624
3.1,0.00627
3.133,0.00629
3.167,0.00631
3.2,0.00633
3.233,0.00635
3.267,0.00637
3.3,0.00639
3.333,0.00641
3.367,0.00643
3.4,0.00645
3.433,0.00646
3.467,0.00648
3.5,0.00649
3.533,0.00651
3.567,0.00652
3.6,0.00653
3.633,0.00655
3.667,0.00656
3.7,0.00657
3.733,0.00658
3.767,0.00659
3.8,0.0066
3.833,0.00661
3.867,0.00662
3.9,0.00663
3.933,0.00664
3.967,0.00664
4.0,0.00665
4.0325,0.00665
4.0675,0.00666
4.1,0.00667
4.1325,0.00667
4.1675,0.00668
4.2,0.00668
4.2325,0.00669
4.2675,0.00669
4.3,0.0067
4.3325,0.0067
4.3675,0.00671
4.4,0.00671
4.4325,0.00671
4.4675,0.00671
4.5,0.00672
4.5325,0.00672
4.5675,0.00672
4.6,0.00672
4.6325,0.00673
4.6675,0.00673
4.7,0.00673
4.7325,0.00673
4.7675,0.00673
4.8,0.00673
4.8325,0.00673
4.8675,0.00674
4.9,0.00674
4.9325,0.00674
4.9675,0.00674
5.0,0.00674
