V_DS, I_channel
-5.0,-3.18e-05
-4.9675,-3.07e-05
-4.9325,-2.99e-05
-4.9,-2.91e-05
-4.8675,-2.84e-05
-4.8325,-2.76e-05
-4.8,-2.7e-05
-4.7675,-2.64e-05
-4.7325,-2.57e-05
-4.7,-2.5e-05
-4.6675,-2.45e-05
-4.6325,-2.39e-05
-4.6,-2.33e-05
-4.5675,-2.28e-05
-4.5325,-2.22e-05
-4.5,-2.17e-05
-4.4675,-2.12e-05
-4.4325,-2.08e-05
-4.4,-2.03e-05
-4.3675,-1.98e-05
-4.3325,-1.94e-05
-4.3,-1.89e-05
-4.2675,-1.85e-05
-4.2325,-1.81e-05
-4.2,-1.77e-05
-4.1675,-1.73e-05
-4.1325,-1.69e-05
-4.1,-1.66e-05
-4.0675,-1.62e-05
-4.0325,-1.58e-05
-4.0,-1.53e-05
-3.967,-1.49e-05
-3.933,-1.46e-05
-3.9,-1.43e-05
-3.867,-1.4e-05
-3.833,-1.37e-05
-3.8,-1.34e-05
-3.767,-1.31e-05
-3.733,-1.28e-05
-3.7,-1.26e-05
-3.667,-1.23e-05
-3.633,-1.2e-05
-3.6,-1.17e-05
-3.567,-1.15e-05
-3.533,-1.12e-05
-3.5,-1.114e-05
-3.467,-1.091e-05
-3.433,-1.066e-05
-3.4,-1.042e-05
-3.367,-1.018e-05
-3.333,-9.95e-06
-3.3,-9.73e-06
-3.267,-9.51e-06
-3.233,-9.29e-06
-3.2,-9.08e-06
-3.167,-8.87e-06
-3.133,-8.66e-06
-3.1,-8.46e-06
-3.067,-8.28e-06
-3.033,-8.07e-06
-3.0,-7.87e-06
-2.967,-7.7e-06
-2.933,-7.51e-06
-2.9,-7.34e-06
-2.867,-7.16e-06
-2.833,-6.99e-06
-2.8,-6.81e-06
-2.767,-6.65e-06
-2.733,-6.49e-06
-2.7,-6.33e-06
-2.667,-6.17e-06
-2.633,-6.02e-06
-2.6,-5.86e-06
-2.567,-5.72e-06
-2.533,-5.57e-06
-2.5,-5.43e-06
-2.467,-5.28e-06
-2.433,-5.14e-06
-2.4,-5e-06
-2.367,-4.87e-06
-2.333,-4.74e-06
-2.3,-4.61e-06
-2.267,-4.48e-06
-2.233,-4.35e-06
-2.2,-4.23e-06
-2.167,-4.11e-06
-2.133,-3.98e-06
-2.1,-3.87e-06
-2.067,-3.75e-06
-2.033,-3.63e-06
-2.0,-3.52e-06
-1.9665,-3.41e-06
-1.9335,-3.31e-06
-1.9,-3.2e-06
-1.8665,-3.09e-06
-1.8335,-2.99e-06
-1.8,-2.89e-06
-1.7665,-2.79e-06
-1.7335,-2.69e-06
-1.7,-2.59e-06
-1.6665,-2.49e-06
-1.6335,-2.4e-06
-1.6,-2.3e-06
-1.5665,-2.21e-06
-1.5335,-2.11e-06
-1.5,-2.02e-06
-1.4665,-1.93e-06
-1.4335,-1.84e-06
-1.4,-1.76e-06
-1.3665,-1.67e-06
-1.3335,-1.58e-06
-1.3,-1.547e-06
-1.2665,-1.455e-06
-1.2335,-1.373e-06
-1.2,-1.287e-06
-1.1665,-1.203e-06
-1.1335,-1.121e-06
-1.1,-1.041e-06
-1.0665,-9.59e-07
-1.0335,-8.78e-07
-1.0,-7.97e-07
-0.9665,-7.2e-07
-0.9335,-2.042e-07
-0.9,-2.042e-07
-0.8665,-2.042e-07
-0.8335,-2.042e-07
-0.8,-2.042e-07
-0.7665,-2.042e-07
-0.7335,-1.626e-07
-0.7,-7.94e-08
-0.6665,9.6e-09
-0.6335,1.105e-07
-0.6,1.924e-07
-0.5665,2.35e-07
-0.5335,3.19e-07
-0.5,4.1e-07
-0.4665,5.04e-07
-0.4335,6.03e-07
-0.4,7.16e-07
-0.3665,8.41e-07
-0.3335,9.89e-07
-0.3,1.174e-06
-0.2665,1.418e-06
-0.2335,1.746e-06
-0.2,2.24e-06
-0.1665,2.88e-06
-0.1335,3.75e-06
-0.1,4.97e-06
-0.0665,6.59e-06
-0.0335,8.7e-06
0.0,1.142e-05
