V_DS, I_channel
-5.0,-3.8e-06
-4.9675,-3.42e-06
-4.9325,-3.36e-06
-4.9,-3.33e-06
-4.8675,-3.3e-06
-4.8325,-3.29e-06
-4.8,-3.28e-06
-4.7675,-3.27e-06
-4.7325,-3.26e-06
-4.7,-3.26e-06
-4.6675,-3.25e-06
-4.6325,-3.24e-06
-4.6,-3.24e-06
-4.5675,-3.24e-06
-4.5325,-3.23e-06
-4.5,-3.22e-06
-4.4675,-3.22e-06
-4.4325,-3.22e-06
-4.4,-3.21e-06
-4.3675,-3.21e-06
-4.3325,-3.2e-06
-4.3,-3.2e-06
-4.2675,-3.2e-06
-4.2325,-3.2e-06
-4.2,-3.19e-06
-4.1675,-3.19e-06
-4.1325,-3.18e-06
-4.1,-3.18e-06
-4.0675,-3.17e-06
-4.0325,-3.18e-06
-4.0,-3.16e-06
-3.967,-3.17e-06
-3.933,-3.16e-06
-3.9,-3.16e-06
-3.867,-3.16e-06
-3.833,-3.15e-06
-3.8,-3.14e-06
-3.767,-3.14e-06
-3.733,-3.13e-06
-3.7,-3.14e-06
-3.667,-3.14e-06
-3.633,-3.13e-06
-3.6,-3.13e-06
-3.567,-3.12e-06
-3.533,-3.12e-06
-3.5,-3.12e-06
-3.467,-3.11e-06
-3.433,-3.11e-06
-3.4,-3.11e-06
-3.367,-3.1e-06
-3.333,-3.1e-06
-3.3,-3.1e-06
-3.267,-3.09e-06
-3.233,-3.08e-06
-3.2,-3.08e-06
-3.167,-3.08e-06
-3.133,-3.07e-06
-3.1,-3.07e-06
-3.067,-3.07e-06
-3.033,-3.06e-06
-3.0,-3.06e-06
-2.967,-3.05e-06
-2.933,-3.05e-06
-2.9,-3.05e-06
-2.867,-3.04e-06
-2.833,-3.04e-06
-2.8,-3.04e-06
-2.767,-3.03e-06
-2.733,-3.03e-06
-2.7,-3.02e-06
-2.667,-3.02e-06
-2.633,-3.02e-06
-2.6,-3.01e-06
-2.567,-3.01e-06
-2.533,-3e-06
-2.5,-3e-06
-2.467,-2.99e-06
-2.433,-2.99e-06
-2.4,-2.99e-06
-2.367,-2.98e-06
-2.333,-2.98e-06
-2.3,-2.97e-06
-2.267,-2.97e-06
-2.233,-2.96e-06
-2.2,-2.96e-06
-2.167,-2.95e-06
-2.133,-2.95e-06
-2.1,-2.94e-06
-2.067,-2.94e-06
-2.033,-2.94e-06
-2.0,-2.93e-06
-1.9665,-2.92e-06
-1.9335,-2.92e-06
-1.9,-2.91e-06
-1.8665,-2.91e-06
-1.8335,-2.91e-06
-1.8,-2.9e-06
-1.7665,-2.89e-06
-1.7335,-2.89e-06
-1.7,-2.88e-06
-1.6665,-2.88e-06
-1.6335,-2.88e-06
-1.6,-2.87e-06
-1.5665,-2.87e-06
-1.5335,-2.86e-06
-1.5,-2.85e-06
-1.4665,-2.85e-06
-1.4335,-2.84e-06
-1.4,-2.83e-06
-1.3665,-2.83e-06
-1.3335,-2.82e-06
-1.3,-2.82e-06
-1.2665,-2.81e-06
-1.2335,-2.81e-06
-1.2,-2.8e-06
-1.1665,-2.79e-06
-1.1335,-2.79e-06
-1.1,-2.78e-06
-1.0665,-2.77e-06
-1.0335,-2.76e-06
-1.0,-2.76e-06
-0.9665,-2.75e-06
-0.9335,-2.74e-06
-0.9,-2.74e-06
-0.8665,-2.73e-06
-0.8335,-2.72e-06
-0.8,-2.71e-06
-0.7665,-2.7e-06
-0.7335,-2.7e-06
-0.7,-2.69e-06
-0.6665,-2.68e-06
-0.6335,-2.67e-06
-0.6,-2.66e-06
-0.5665,-2.65e-06
-0.5335,-2.64e-06
-0.5,-2.63e-06
-0.4665,-2.62e-06
-0.4335,-2.61e-06
-0.4,-2.59e-06
-0.3665,-2.58e-06
-0.3335,-2.56e-06
-0.3,-2.55e-06
-0.2665,-2.53e-06
-0.2335,-2.51e-06
-0.2,-2.48e-06
-0.1665,-2.43e-06
-0.1335,-2.33e-06
-0.1,-2.12e-06
-0.0665,-1.74e-06
-0.0335,-1.123e-06
0.0,-1.64e-07
