V_G, I_channel0.0,Odd,,,
0.0165,9.10E-08,Even,0.0335,5.87E-08,Odd
0.0335,5.87E-08,Odd,,,
0.05,4.98E-08,Even,0.1,2.91E-08,Odd
0.0665,3.70E-08,Odd,,,
0.0835,3.28E-08,Even,0.1665,1.73E-08,Odd
0.1,2.91E-08,Odd,,,
0.1165,2.42E-08,Even,0.2335,1.29E-08,Odd
0.1335,2.40E-08,Odd,,,
0.15,1.96E-08,Even,0.3,1.04E-08,Odd
0.1665,1.73E-08,Odd,,,
0.1835,1.69E-08,Even,0.3665,1.43E-08,Odd
0.2,1.23E-08,Odd,,,
0.2165,1.30E-08,Even,0.4335,3.38E-08,Odd
0.2335,1.29E-08,Odd,,,
0.25,8.30E-09,Even,0.5,1.51E-07,Odd
0.2665,9.40E-09,Odd,,,
0.2835,1.19E-08,Even,0.5665,6.75E-07,Odd
0.3,1.04E-08,Odd,,,
0.3165,1.08E-08,Even,0.6335,2.37E-06,Odd
0.3335,1.00E-08,Odd,,,
0.35,1.47E-08,Even,0.7,6.23E-06,Odd
0.3665,1.43E-08,Odd,,,
0.3835,1.90E-08,Even,0.7665,1.29E-05,Odd
0.4,1.87E-08,Odd,,,
0.4165,2.68E-08,Even,0.8335,2.28E-05,Odd
0.4335,3.38E-08,Odd,,,
0.45,5.24E-08,Even,0.9,3.60E-05,Odd
0.4665,6.94E-08,Odd,,,
0.4835,1.03E-07,Even,0.9665,5.31E-05,Odd
0.5,1.51E-07,Odd,,,
0.5165,2.04E-07,Even,1.0335,7.35E-05,Odd
0.5335,3.26E-07,Odd,,,
0.55,4.74E-07,Even,1.1,9.75E-05,Odd
0.5665,6.75E-07,Odd,,,
0.5835,9.57E-07,Even,1.1665,0.0001244,Odd
0.6,1.31E-06,Odd,,,
0.6165,1.77E-06,Even,1.2335,0.0001553,Odd
0.6335,2.37E-06,Odd,,,
0.65,3.08E-06,Even,1.3,0.000189,Odd
0.6665,3.96E-06,Odd,,,
0.6835,5.02E-06,Even,1.3665,0.000227,Odd
0.7,6.23E-06,Odd,,,
0.7165,7.60E-06,Even,1.4335,0.000267,Odd
0.7335,9.20E-06,Odd,,,
0.75,1.09E-05,Even,1.5,0.00031,Odd
0.7665,1.29E-05,Odd,,,
0.7835,1.51E-05,Even,1.5665,0.000357,Odd
0.8,1.75E-05,Odd,,,
0.8165,1.99E-05,Even,1.6335,0.000406,Odd
0.8335,2.28E-05,Odd,,,
0.85,2.57E-05,Even,1.7,0.000458,Odd
0.8665,2.89E-05,Odd,,,
0.8835,3.23E-05,Even,1.7665,0.000513,Odd
0.9,3.60E-05,Odd,,,
0.9165,3.99E-05,Even,1.8335,0.00057,Odd
0.9335,4.42E-05,Odd,,,
0.95,4.85E-05,Even,1.9,0.00063,Odd
0.9665,5.31E-05,Odd,,,
0.9835,5.79E-05,Even,1.9665,0.000693,Odd
1,6.28E-05,Odd,,,
1.0165,6.79E-05,Even,2.033,0.00076,Odd
1.0335,7.35E-05,Odd,,,
1.05,7.91E-05,Even,2.1,0.000829,Odd
1.0665,8.50E-05,Odd,,,
1.0835,9.13E-05,Even,2.167,0.000901,Odd
1.1,9.75E-05,Odd,,,
1.1165,0.0001038,Even,2.233,0.000973,Odd
1.1335,0.0001105,Odd,,,
1.15,0.0001173,Even,2.3,0.001048,Odd
1.1665,0.0001244,Odd,,,
1.1835,0.000132,Even,2.367,0.001126,Odd
1.2,0.0001395,Odd,,,
1.2165,0.0001472,Even,2.433,0.001206,Odd
1.2335,0.0001553,Odd,,,
1.25,0.0001633,Even,2.5,0.001289,Odd
1.2665,0.0001716,Odd,,,
1.2835,0.0001803,Even,2.567,0.001373,Odd
1.3,0.000189,Odd,,,
1.3165,0.0001978,Even,2.633,0.001459,Odd
1.3335,0.000209,Odd,,,
1.35,0.000218,Even,2.7,0.001548,Odd
1.3665,0.000227,Odd,,,
1.3835,0.000237,Even,2.767,0.001638,Odd
1.4,0.000247,Odd,,,
1.4165,0.000257,Even,2.833,0.001729,Odd
1.4335,0.000267,Odd,,,
1.45,0.000278,Even,2.9,0.001823,Odd
1.4665,0.000288,Odd,,,
1.4835,0.000299,Even,2.967,0.00192,Odd
1.5,0.00031,Odd,,,
1.5165,0.000322,Even,3.033,0.00203,Odd
