V_G, I_sat
0.0,1.22e-07
0.0165,7.37e-08
0.0335,5.89e-08
0.05,4.3e-08
0.0665,3.82e-08
0.0835,3.19e-08
0.1,2.82e-08
0.1165,2.15e-08
0.1335,2.12e-08
0.15,1.93e-08
0.1665,1.75e-08
0.1835,1.64e-08
0.2,1.57e-08
0.2165,1.21e-08
0.2335,1.41e-08
0.25,1.41e-08
0.2665,9e-09
0.2835,1.13e-08
0.3,1.25e-08
0.3165,9.3e-09
0.3335,1.2e-08
0.35,1.04e-08
0.3665,1.35e-08
0.3835,1.73e-08
0.4,1.89e-08
0.4165,2.46e-08
0.4335,3.3e-08
0.45,4.71e-08
0.4665,7.1e-08
0.4835,9.88e-08
0.5,1.449e-07
0.5165,2.041e-07
0.5335,3.18e-07
0.55,4.51e-07
0.5665,6.61e-07
0.5835,9.38e-07
0.6,1.284e-06
0.6165,1.735e-06
0.6335,2.32e-06
0.65,3.03e-06
0.6665,3.89e-06
0.6835,4.96e-06
0.7,6.17e-06
0.7165,7.53e-06
0.7335,9.12e-06
0.75,1.087e-05
0.7665,1.281e-05
0.7835,1.504e-05
0.8,1.741e-05
0.8165,1.996e-05
0.8335,2.28e-05
0.85,2.57e-05
0.8665,2.88e-05
0.8835,3.23e-05
0.9,3.59e-05
0.9165,3.98e-05
0.9335,4.41e-05
0.95,4.85e-05
0.9665,5.31e-05
0.9835,5.79e-05
1.0,6.28e-05
1.0165,6.8e-05
1.0335,7.36e-05
1.05,7.92e-05
1.0665,8.51e-05
1.0835,9.14e-05
1.1,9.76e-05
1.1165,0.000104
1.1335,0.0001107
1.15,0.0001176
1.1665,0.0001247
1.1835,0.0001323
1.2,0.0001399
1.2165,0.0001476
1.2335,0.0001557
1.25,0.0001638
1.2665,0.0001721
1.2835,0.0001808
1.3,0.0001895
1.3165,0.0001984
1.3335,0.00021
1.35,0.000219
1.3665,0.000228
1.3835,0.000238
1.4,0.000248
1.4165,0.000258
1.4335,0.000268
1.45,0.000279
1.4665,0.000289
1.4835,0.000301
1.5,0.000311
1.5165,0.000323
1.5335,0.000335
1.55,0.000346
1.5665,0.000358
1.5835,0.000371
1.6,0.000383
1.6165,0.000395
1.6335,0.000408
