V_NMOS12,I_NMOS12
0,3.27E-07
0.0165,1.35E-07
0.0335,1.05E-07
0.05,8.10E-08
0.0665,7.09E-08
0.0835,6.44E-08
0.1,5.60E-08
0.1165,4.94E-08
0.1335,4.75E-08
0.15,4.04E-08
0.1665,3.58E-08
0.1835,3.20E-08
0.2,3.57E-08
0.2165,3.05E-08
0.2335,2.84E-08
0.25,2.52E-08
0.2665,2.47E-08
0.2835,2.47E-08
0.3,2.24E-08
0.3165,2.34E-08
0.3335,2.22E-08
0.35,2.18E-08
0.3665,2.50E-08
0.3835,2.56E-08
0.4,2.76E-08
0.4165,3.66E-08
0.4335,4.47E-08
0.45,5.34E-08
0.4665,8.01E-08
0.4835,1.12E-07
0.5,1.60E-07
0.5165,2.36E-07
0.5335,3.44E-07
0.55,4.97E-07
0.5665,7.02E-07
0.5835,9.97E-07
0.6,1.36E-06
0.6165,1.82E-06
0.6335,2.44E-06
0.65,3.16E-06
0.6665,4.06E-06
0.6835,5.14E-06
0.7,6.37E-06
0.7165,7.76E-06
0.7335,9.38E-06
0.75,1.12E-05
0.7665,1.31E-05
0.7835,1.54E-05
0.8,1.78E-05
0.8165,2.02E-05
0.8335,2.31E-05
0.85,2.61E-05
0.8665,2.93E-05
0.8835,3.28E-05
0.9,3.64E-05
0.9165,4.04E-05
0.9335,4.47E-05
0.95,4.91E-05
0.9665,5.37E-05
0.9835,5.86E-05
1,6.35E-05
1.0165,6.87E-05
1.0335,7.43E-05
1.05,8.00E-05
1.0665,8.59E-05
1.0835,9.22E-05
1.1,9.85E-05
1.1165,0.0001049
1.1335,0.0001117
1.15,0.0001185
1.1665,0.0001257
1.1835,0.0001332
1.2,0.0001408
1.2165,0.0001486
1.2335,0.0001568
1.25,0.0001649
1.2665,0.0001732
1.2835,0.000182
1.3,0.0001907
1.3165,0.0001996
1.3335,0.000211
1.35,0.00022
1.3665,0.00023
1.3835,0.000239
1.4,0.000249
1.4165,0.000259
1.4335,0.00027
1.45,0.00028
1.4665,0.000291
1.4835,0.000302
1.5,0.000313
1.5165,0.000324
1.5335,0.000336
1.55,0.000348
1.5665,0.00036
1.5835,0.000372
1.6,0.000385
1.6165,0.000397
1.6335,0.00041
1.65,0.000422
1.6665,0.000435
1.6835,0.000449
1.7,0.000462
1.7165,0.000475
1.7335,0.000489
1.75,0.000503
1.7665,0.000517
1.7835,0.000531
1.8,0.000546
1.8165,0.00056
1.8335,0.000575
1.85,0.00059
1.8665,0.000605
1.8835,0.00062
1.9,0.000635
1.9165,0.00065
1.9335,0.000666
1.95,0.000682
1.9665,0.000698
1.9835,0.000714
2,0.00073
2.017,0.00075
2.033,0.000766
2.05,0.000783
2.067,0.000801
2.083,0.000818
2.1,0.000835
2.117,0.000853
2.133,0.000871
2.15,0.000889
2.167,0.000908
2.183,0.000925
2.2,0.000944
2.217,0.000962
2.233,0.00098
2.25,0.000999
2.267,0.001018
2.283,0.001036
2.3,0.001055
2.317,0.001075
2.333,0.001094
2.35,0.001114
2.367,0.001134
2.383,0.001154
2.4,0.001174
2.417,0.001195
2.433,0.001215
2.45,0.001236
2.467,0.001257
2.483,0.001276
2.5,0.001298
2.517,0.001319
2.533,0.001339
2.55,0.001361
2.567,0.001383
2.583,0.001403
2.6,0.001426
2.617,0.001448
2.633,0.001469
2.65,0.001492
2.667,0.001514
2.683,0.001536
2.7,0.001558
2.717,0.001581
2.733,0.001603
2.75,0.001626
2.767,0.001649
2.783,0.001671
2.8,0.001694
2.817,0.001718
2.833,0.00174
2.85,0.001764
2.867,0.001789
2.883,0.001811
2.9,0.001835
2.917,0.00186
2.933,0.001883
2.95,0.001908
2.967,0.001932
2.983,0.001956
3,0.001981
3.017,0.00202
3.033,0.00204
3.05,0.00207
3.067,0.00209
3.083,0.00212
3.1,0.00214
3.117,0.00217
3.133,0.0022
3.15,0.00222
3.167,0.00225
3.183,0.00227
3.2,0.0023
3.217,0.00233
3.233,0.00235
3.25,0.00238
3.267,0.0024
3.283,0.00243
3.3,0.00246
3.317,0.00248
3.333,0.00251
3.35,0.00254
3.367,0.00256
3.383,0.00259
3.4,0.00262
3.417,0.00264
3.433,0.00267
3.45,0.0027
3.467,0.00273
3.483,0.00275
3.5,0.00278
3.517,0.00281
3.533,0.00284
3.55,0.00286
3.567,0.00289
3.583,0.00292
3.6,0.00295
3.617,0.00298
3.633,0.00301
3.65,0.00303
3.667,0.00306
3.683,0.00309
3.7,0.00312
3.717,0.00315
3.733,0.00318
3.75,0.00321
3.767,0.00324
3.783,0.00327
3.8,0.00329
3.817,0.00333
3.833,0.00335
3.85,0.00338
3.867,0.00341
3.883,0.00344
3.9,0.00347
3.917,0.0035
3.933,0.00353
3.95,0.00357
3.967,0.00359
3.983,0.00362
4,0.00366
4.0175,0.0037
4.0325,0.00373
4.05,0.00376
4.0675,0.0038
4.0825,0.00382
4.1,0.00386
4.1175,0.00389
4.1325,0.00392
4.15,0.00395
4.1675,0.00399
4.1825,0.00401
4.2,0.00405
4.2175,0.00408
4.2325,0.00411
4.25,0.00414
4.2675,0.00418
4.2825,0.0042
4.3,0.00424
4.3175,0.00427
4.3325,0.0043
4.35,0.00433
4.3675,0.00437
4.3825,0.0044
4.4,0.00443
4.4175,0.00446
4.4325,0.00449
4.45,0.00453
4.4675,0.00456
4.4825,0.00459
4.5,0.00463
4.5175,0.00466
4.5325,0.00469
4.55,0.00473
4.5675,0.00477
4.5825,0.0048
4.6,0.00483
4.6175,0.00487
4.6325,0.0049
4.65,0.00494
4.6675,0.00497
4.6825,0.005
4.7,0.00504
4.7175,0.00508
4.7325,0.00511
4.75,0.00514
4.7675,0.00518
4.7825,0.00521
4.8,0.00525
4.8175,0.00529
4.8325,0.00532
4.85,0.00535
4.8675,0.00539
4.8825,0.00542
4.9,0.00546
4.9175,0.00549
4.9325,0.00552
4.95,0.00556
4.9675,0.0056
4.9825,0.00563
5,0.00566
