V_NMOS21_10mV, I_NMOS21_10mV
0,-1.10E-09
0.025,-5.00E-10
0.05,-9.00E-10
0.075,-1.00E-09
0.1,-1.20E-09
0.125,-1.10E-09
0.15,-1.00E-09
0.175,-1.40E-09
0.2,-1.40E-09
0.225,-1.30E-09
0.25,-9.00E-10
0.275,-1.20E-09
0.3,-6.00E-10
0.325,0
0.35,4.00E-10
0.375,1.00E-09
0.4,2.70E-09
0.425,7.60E-09
0.45,1.32E-08
0.475,2.10E-08
0.5,3.94E-08
0.525,6.88E-08
0.55,1.15E-07
0.575,1.80E-07
0.6,2.85E-07
0.625,4.02E-07
0.65,5.42E-07
0.675,7.01E-07
0.7,8.73E-07
0.725,1.05E-06
0.75,1.24E-06
0.775,1.42E-06
0.8,1.62E-06
0.825,1.81E-06
0.85,1.99E-06
0.875,2.35E-06
0.9,2.57E-06
0.925,2.79E-06
0.95,3.01E-06
0.975,3.23E-06
1,3.44E-06
1.025,3.66E-06
1.05,3.88E-06
1.075,4.09E-06
1.1,4.30E-06
1.125,4.52E-06
1.15,4.72E-06
1.175,4.93E-06
1.2,5.14E-06
1.225,5.34E-06
1.25,5.54E-06
1.275,5.74E-06
1.3,5.95E-06
1.325,6.15E-06
1.35,6.35E-06
1.375,6.54E-06
1.4,6.73E-06
1.425,6.93E-06
1.45,7.13E-06
1.475,7.32E-06
1.5,7.51E-06
1.525,7.70E-06
1.55,7.89E-06
1.575,8.08E-06
1.6,8.27E-06
1.625,8.45E-06
1.65,8.64E-06
1.675,8.82E-06
1.7,9.01E-06
1.725,9.19E-06
1.75,9.36E-06
1.775,9.53E-06
1.8,9.72E-06
1.825,9.89E-06
1.85,1.01E-05
1.875,1.02E-05
1.9,1.04E-05
1.925,1.06E-05
1.95,1.07E-05
1.975,1.09E-05
2,1.11E-05
2.025,1.13E-05
2.05,1.14E-05
2.075,1.16E-05
2.1,1.18E-05
2.125,1.19E-05
2.15,1.21E-05
2.175,1.23E-05
2.2,1.24E-05
2.225,1.26E-05
2.25,1.27E-05
2.275,1.29E-05
2.3,1.30E-05
2.325,1.32E-05
2.35,1.34E-05
2.375,1.35E-05
2.4,1.37E-05
2.425,1.38E-05
2.45,1.40E-05
2.475,1.41E-05
2.5,1.43E-05
2.525,1.45E-05
2.55,1.46E-05
2.575,1.47E-05
2.6,1.49E-05
2.625,1.50E-05
2.65,1.52E-05
2.675,1.53E-05
2.7,1.55E-05
2.725,1.56E-05
2.75,1.58E-05
2.775,1.59E-05
2.8,1.61E-05
2.825,1.62E-05
2.85,1.64E-05
2.875,1.65E-05
2.9,1.66E-05
2.925,1.68E-05
2.95,1.69E-05
2.975,1.71E-05
3,1.72E-05
3.025,1.73E-05
3.05,1.75E-05
3.075,1.76E-05
3.1,1.77E-05
3.125,1.79E-05
3.15,1.80E-05
3.175,1.82E-05
3.2,1.83E-05
3.225,1.84E-05
3.25,1.86E-05
3.275,1.87E-05
3.3,1.89E-05
3.325,1.90E-05
3.35,1.91E-05
3.375,1.92E-05
3.4,1.94E-05
3.425,1.95E-05
3.45,1.96E-05
3.475,1.97E-05
3.5,1.99E-05
3.525,2.00E-05
3.55,2.14E-05
3.575,2.15E-05
3.6,2.17E-05
3.625,2.18E-05
3.65,2.20E-05
3.675,2.21E-05
3.7,2.23E-05
3.725,2.24E-05
3.75,2.26E-05
3.775,2.27E-05
3.8,2.28E-05
3.825,2.30E-05
3.85,2.31E-05
3.875,2.33E-05
3.9,2.34E-05
3.925,2.36E-05
3.95,2.37E-05
3.975,2.38E-05
4,2.40E-05
4.025,2.42E-05
4.05,2.43E-05
4.075,2.44E-05
4.1,2.46E-05
4.125,2.47E-05
4.15,2.49E-05
4.175,2.50E-05
4.2,2.52E-05
4.225,2.53E-05
4.25,2.54E-05
4.275,2.56E-05
4.3,2.57E-05
4.325,2.58E-05
4.35,2.60E-05
4.375,2.61E-05
4.4,2.62E-05
4.425,2.63E-05
4.45,2.65E-05
4.475,2.66E-05
4.5,2.67E-05
4.525,2.69E-05
4.55,2.70E-05
4.575,2.72E-05
4.6,2.73E-05
4.625,2.74E-05
4.65,2.75E-05
4.675,2.77E-05
4.7,2.78E-05
4.725,2.80E-05
4.75,2.81E-05
4.775,2.82E-05
4.8,2.84E-05
4.825,2.85E-05
4.85,2.86E-05
4.875,2.88E-05
4.9,2.89E-05
4.925,2.90E-05
4.95,2.91E-05
4.975,2.93E-05
5,2.94E-05
