V_NMOS21_5V, I_NMOS21_5V
0,-5.90E-09
0.0335,-5.50E-09
0.0665,-4.20E-09
0.1,-2.60E-09
0.1335,-2.50E-09
0.1665,-9.00E-10
0.2,-1.20E-09
0.2335,-4.20E-09
0.2665,-4.00E-10
0.3,1.00E-09
0.3335,3.00E-10
0.3665,6.10E-09
0.4,1.11E-08
0.4335,2.65E-08
0.4665,6.52E-08
0.5,1.49E-07
0.5335,3.39E-07
0.5665,7.12E-07
0.6,1.37E-06
0.6335,2.45E-06
0.6665,4.08E-06
0.7,6.39E-06
0.7335,9.40E-06
0.7665,1.31E-05
0.8,1.78E-05
0.8335,2.31E-05
0.8665,2.92E-05
0.9,3.63E-05
0.9335,4.45E-05
0.9665,5.34E-05
1,6.31E-05
1.0335,7.38E-05
1.0665,8.53E-05
1.1,9.77E-05
1.1335,0.0001107
1.1665,0.0001246
1.2,0.0001396
1.2335,0.0001554
1.2665,0.0001716
1.3,0.0001889
1.3335,0.000209
1.3665,0.000227
1.4,0.000247
1.4335,0.000267
1.4665,0.000288
1.5,0.00031
1.5335,0.000333
1.5665,0.000356
1.6,0.000381
1.6335,0.000405
1.6665,0.00043
1.7,0.000457
1.7335,0.000484
1.7665,0.000511
1.8,0.00054
1.8335,0.000569
1.8665,0.000597
1.9,0.000628
1.9335,0.000659
1.9665,0.00069
2,0.000722
2.033,0.000757
2.067,0.000792
2.1,0.000826
2.133,0.000861
2.167,0.000898
2.2,0.000933
2.233,0.000969
2.267,0.001006
2.3,0.001043
2.333,0.001082
2.367,0.001122
2.4,0.001161
2.433,0.001201
2.467,0.001242
2.5,0.001283
2.533,0.001324
2.567,0.001367
2.6,0.001409
2.633,0.001452
2.667,0.001497
2.7,0.001541
2.733,0.001584
2.767,0.00163
2.8,0.001675
2.833,0.001721
2.867,0.001768
2.9,0.001814
2.933,0.001861
2.967,0.00191
3,0.001958
3.033,0.002007
3.067,0.00207
3.1,0.00212
3.133,0.00217
3.167,0.00222
3.2,0.00228
3.233,0.00233
3.267,0.00238
3.3,0.00243
3.333,0.00248
3.367,0.00254
3.4,0.00259
3.433,0.00264
3.467,0.0027
3.5,0.00275
3.533,0.00281
3.567,0.00286
3.6,0.00292
3.633,0.00297
3.667,0.00303
3.7,0.00309
3.733,0.00314
3.767,0.0032
3.8,0.00326
3.833,0.00332
3.867,0.00338
3.9,0.00343
3.933,0.0035
3.967,0.00356
4,0.00361
4.0325,0.00369
4.0675,0.00376
4.1,0.00382
4.1325,0.00388
4.1675,0.00394
4.2,0.004
4.2325,0.00406
4.2675,0.00413
4.3,0.00419
4.3325,0.00425
4.3675,0.00432
4.4,0.00438
4.4325,0.00445
4.4675,0.00451
4.5,0.00458
4.5325,0.00464
4.5675,0.00471
4.6,0.00478
4.6325,0.00485
4.6675,0.00492
4.7,0.00499
4.7325,0.00505
4.7675,0.00513
4.8,0.00519
4.8325,0.00526
4.8675,0.00533
4.9,0.0054
4.9325,0.00546
4.9675,0.00554
5,0.0056
