V_NMOS2p_10mV, I_NMOS2p_10mV
0,-1.00E-09
0.025,-9.00E-10
0.05,-1.20E-09
0.075,-1.20E-09
0.1,-9.00E-10
0.125,-1.10E-09
0.15,-6.00E-10
0.175,-9.00E-10
0.2,-1.10E-09
0.225,-1.00E-09
0.25,-1.00E-09
0.275,-4.00E-10
0.3,0
0.325,2.00E-10
0.35,9.00E-10
0.375,2.90E-09
0.4,6.70E-09
0.425,1.26E-08
0.45,2.43E-08
0.475,4.43E-08
0.5,7.93E-08
0.525,1.36E-07
0.55,2.39E-07
0.575,3.80E-07
0.6,5.64E-07
0.625,7.93E-07
0.65,1.06E-06
0.675,1.37E-06
0.7,1.70E-06
0.725,2.17E-06
0.75,2.56E-06
0.775,2.96E-06
0.8,3.38E-06
0.825,3.81E-06
0.85,4.23E-06
0.875,4.65E-06
0.9,5.08E-06
0.925,5.52E-06
0.95,5.95E-06
0.975,6.38E-06
1,6.80E-06
1.025,7.22E-06
1.05,7.64E-06
1.075,8.06E-06
1.1,8.48E-06
1.125,8.87E-06
1.15,9.28E-06
1.175,9.69E-06
1.2,1.01E-05
1.225,1.05E-05
1.25,1.09E-05
1.275,1.13E-05
1.3,1.17E-05
1.325,1.20E-05
1.35,1.24E-05
1.375,1.28E-05
1.4,1.32E-05
1.425,1.35E-05
1.45,1.39E-05
1.475,1.43E-05
1.5,1.46E-05
1.525,1.50E-05
1.55,1.54E-05
1.575,1.57E-05
1.6,1.61E-05
1.625,1.64E-05
1.65,1.67E-05
1.675,1.71E-05
1.7,1.74E-05
1.725,1.78E-05
1.75,1.81E-05
1.775,1.84E-05
1.8,1.88E-05
1.825,1.91E-05
1.85,1.94E-05
1.875,1.97E-05
1.9,2.13E-05
1.925,2.16E-05
1.95,2.20E-05
1.975,2.24E-05
2,2.28E-05
2.025,2.31E-05
2.05,2.35E-05
2.075,2.38E-05
2.1,2.42E-05
2.125,2.45E-05
2.15,2.49E-05
2.175,2.52E-05
2.2,2.56E-05
2.225,2.59E-05
2.25,2.62E-05
2.275,2.66E-05
2.3,2.69E-05
2.325,2.72E-05
2.35,2.76E-05
2.375,2.79E-05
2.4,2.83E-05
2.425,2.86E-05
2.45,2.89E-05
2.475,2.92E-05
2.5,2.96E-05
2.525,2.99E-05
2.55,3.02E-05
2.575,3.06E-05
2.6,3.09E-05
2.625,3.12E-05
2.65,3.15E-05
2.675,3.19E-05
2.7,3.22E-05
2.725,3.25E-05
2.75,3.28E-05
2.775,3.31E-05
2.8,3.34E-05
2.825,3.38E-05
2.85,3.40E-05
2.875,3.43E-05
2.9,3.47E-05
2.925,3.50E-05
2.95,3.53E-05
2.975,3.56E-05
3,3.59E-05
3.025,3.62E-05
3.05,3.66E-05
3.075,3.68E-05
3.1,3.71E-05
3.125,3.74E-05
3.15,3.78E-05
3.175,3.80E-05
3.2,3.83E-05
3.225,3.87E-05
3.25,3.89E-05
3.275,3.93E-05
3.3,3.95E-05
3.325,3.98E-05
3.35,4.01E-05
3.375,4.04E-05
3.4,4.07E-05
3.425,4.10E-05
3.45,4.12E-05
3.475,4.16E-05
3.5,4.19E-05
3.525,4.21E-05
3.55,4.24E-05
3.575,4.26E-05
3.6,4.29E-05
3.625,4.32E-05
3.65,4.35E-05
3.675,4.38E-05
3.7,4.41E-05
3.725,4.44E-05
3.75,4.47E-05
3.775,4.49E-05
3.8,4.52E-05
3.825,4.54E-05
3.85,4.58E-05
3.875,4.60E-05
3.9,4.63E-05
3.925,4.66E-05
3.95,4.68E-05
3.975,4.71E-05
4,4.74E-05
4.025,4.78E-05
4.05,4.81E-05
4.075,4.84E-05
4.1,4.86E-05
4.125,4.89E-05
4.15,4.91E-05
4.175,4.94E-05
4.2,4.97E-05
4.225,5.00E-05
4.25,5.02E-05
4.275,5.05E-05
4.3,5.08E-05
4.325,5.10E-05
4.35,5.13E-05
4.375,5.15E-05
4.4,5.18E-05
4.425,5.21E-05
4.45,5.23E-05
4.475,5.26E-05
4.5,5.28E-05
4.525,5.31E-05
4.55,5.34E-05
4.575,5.36E-05
4.6,5.39E-05
4.625,5.42E-05
4.65,5.44E-05
4.675,5.47E-05
4.7,5.50E-05
4.725,5.53E-05
4.75,5.55E-05
4.775,5.58E-05
4.8,5.60E-05
4.825,5.63E-05
4.85,5.66E-05
4.875,5.68E-05
4.9,5.70E-05
4.925,5.73E-05
4.95,5.76E-05
4.975,5.78E-05
5,5.81E-05
