V_NMOS2p_5V,I_NMOS2p_5V
0,2.24E-07
0.0335,1.25E-07
0.0665,7.30E-08
0.1,5.81E-08
0.1335,4.89E-08
0.1665,3.97E-08
0.2,2.90E-08
0.2335,2.92E-08
0.2665,2.60E-08
0.3,2.48E-08
0.3335,2.30E-08
0.3665,3.13E-08
0.4,5.04E-08
0.4335,8.44E-08
0.4665,1.72E-07
0.5,3.66E-07
0.5335,7.82E-07
0.5665,1.58E-06
0.6,3.00E-06
0.6335,5.26E-06
0.6665,8.63E-06
0.7,1.34E-05
0.7335,1.95E-05
0.7665,2.69E-05
0.8,3.61E-05
0.8335,4.71E-05
0.8665,5.93E-05
0.9,7.35E-05
0.9335,8.98E-05
0.9665,0.0001076
1,0.0001269
1.0335,0.0001481
1.0665,0.0001709
1.1,0.0001953
1.1335,0.000223
1.1665,0.00025
1.2,0.00028
1.2335,0.000311
1.2665,0.000343
1.3,0.000377
1.3335,0.000413
1.3665,0.00045
1.4,0.000489
1.4335,0.000529
1.4665,0.00057
1.5,0.000614
1.5335,0.000659
1.5665,0.000705
1.6,0.000754
1.6335,0.000802
1.6665,0.000852
1.7,0.000904
1.7335,0.000958
1.7665,0.001011
1.8,0.001067
1.8335,0.001125
1.8665,0.001182
1.9,0.001242
1.9335,0.001303
1.9665,0.001364
2,0.001428
2.033,0.001497
2.067,0.001565
2.1,0.001633
2.133,0.001701
2.167,0.001773
2.2,0.001843
2.233,0.001913
2.267,0.001986
2.3,0.00207
2.333,0.00215
2.367,0.00222
2.4,0.0023
2.433,0.00238
2.467,0.00246
2.5,0.00254
2.533,0.00262
2.567,0.00271
2.6,0.00279
2.633,0.00287
2.667,0.00296
2.7,0.00305
2.733,0.00313
2.767,0.00322
2.8,0.00331
2.833,0.0034
2.867,0.0035
2.9,0.00359
2.933,0.00368
2.967,0.00378
3,0.00387
3.033,0.00397
3.067,0.00407
3.1,0.00417
3.133,0.00427
3.167,0.00437
3.2,0.00447
3.233,0.00457
3.267,0.00468
3.3,0.00478
3.333,0.00488
3.367,0.00499
3.4,0.00509
3.433,0.0052
3.467,0.00531
3.5,0.00541
3.533,0.00552
3.567,0.00563
3.6,0.00574
3.633,0.00585
3.667,0.00596
3.7,0.00607
3.733,0.00619
3.767,0.0063
3.8,0.00641
3.833,0.00653
3.867,0.00665
3.9,0.00676
3.933,0.00688
3.967,0.007
4,0.00711
4.0325,0.00726
4.0675,0.00739
4.1,0.00751
4.1325,0.00763
4.1675,0.00775
4.2,0.00787
4.2325,0.00799
4.2675,0.00812
4.3,0.00824
4.3325,0.00836
4.3675,0.0085
4.4,0.00862
4.4325,0.00874
4.4675,0.00887
4.5,0.009
4.5325,0.00913
4.5675,0.00927
4.6,0.0094
4.6325,0.00953
4.6675,0.00967
4.7,0.0098
4.7325,0.00994
4.7675,0.01008
4.8,0.01021
4.8325,0.01034
4.8675,0.01048
4.9,0.01061
4.9325,0.01074
4.9675,0.01089
5,0.01102
