V_NMOS2s_10mV,I_NMOS2s_10mV
0,-8.00E-10
0.025,-9.00E-10
0.05,-8.00E-10
0.075,-1.30E-09
0.1,-9.00E-10
0.125,-1.20E-09
0.15,-1.10E-09
0.175,-8.00E-10
0.2,-1.10E-09
0.225,-1.10E-09
0.25,-6.00E-10
0.275,-1.40E-09
0.3,-5.00E-10
0.325,-8.00E-10
0.35,-9.00E-10
0.375,0
0.4,1.00E-09
0.425,2.50E-09
0.45,5.40E-09
0.475,1.04E-08
0.5,2.02E-08
0.525,3.49E-08
0.55,5.86E-08
0.575,9.33E-08
0.6,1.37E-07
0.625,1.91E-07
0.65,2.74E-07
0.675,3.55E-07
0.7,4.43E-07
0.725,5.34E-07
0.75,6.31E-07
0.775,7.29E-07
0.8,8.28E-07
0.825,9.31E-07
0.85,1.03E-06
0.875,1.13E-06
0.9,1.23E-06
0.925,1.34E-06
0.95,1.44E-06
0.975,1.54E-06
1,1.64E-06
1.025,1.73E-06
1.05,1.83E-06
1.075,1.93E-06
1.1,2.17E-06
1.125,2.27E-06
1.15,2.38E-06
1.175,2.48E-06
1.2,2.59E-06
1.225,2.69E-06
1.25,2.79E-06
1.275,2.90E-06
1.3,3.00E-06
1.325,3.10E-06
1.35,3.20E-06
1.375,3.30E-06
1.4,3.40E-06
1.425,3.50E-06
1.45,3.60E-06
1.475,3.70E-06
1.5,3.80E-06
1.525,3.90E-06
1.55,3.99E-06
1.575,4.09E-06
1.6,4.18E-06
1.625,4.28E-06
1.65,4.37E-06
1.675,4.47E-06
1.7,4.56E-06
1.725,4.66E-06
1.75,4.74E-06
1.775,4.83E-06
1.8,4.92E-06
1.825,5.01E-06
1.85,5.10E-06
1.875,5.19E-06
1.9,5.28E-06
1.925,5.37E-06
1.95,5.46E-06
1.975,5.54E-06
2,5.63E-06
2.025,5.72E-06
2.05,5.81E-06
2.075,5.89E-06
2.1,5.97E-06
2.125,6.07E-06
2.15,6.15E-06
2.175,6.24E-06
2.2,6.32E-06
2.225,6.41E-06
2.25,6.49E-06
2.275,6.57E-06
2.3,6.65E-06
2.325,6.73E-06
2.35,6.82E-06
2.375,6.90E-06
2.4,6.97E-06
2.425,7.06E-06
2.45,7.15E-06
2.475,7.23E-06
2.5,7.29E-06
2.525,7.38E-06
2.55,7.46E-06
2.575,7.54E-06
2.6,7.61E-06
2.625,7.69E-06
2.65,7.77E-06
2.675,7.85E-06
2.7,7.92E-06
2.725,8.00E-06
2.75,8.08E-06
2.775,8.16E-06
2.8,8.23E-06
2.825,8.31E-06
2.85,8.38E-06
2.875,8.45E-06
2.9,8.53E-06
2.925,8.60E-06
2.95,8.68E-06
2.975,8.75E-06
3,8.82E-06
3.025,8.89E-06
3.05,8.97E-06
3.075,9.05E-06
3.1,9.13E-06
3.125,9.20E-06
3.15,9.28E-06
3.175,9.35E-06
3.2,9.42E-06
3.225,9.50E-06
3.25,9.56E-06
3.275,9.63E-06
3.3,9.70E-06
3.325,9.78E-06
3.35,9.84E-06
3.375,9.92E-06
3.4,9.99E-06
3.425,1.01E-05
3.45,1.01E-05
3.475,1.02E-05
3.5,1.03E-05
3.525,1.03E-05
3.55,1.04E-05
3.575,1.05E-05
3.6,1.05E-05
3.625,1.06E-05
3.65,1.07E-05
3.675,1.07E-05
3.7,1.08E-05
3.725,1.09E-05
3.75,1.09E-05
3.775,1.10E-05
3.8,1.11E-05
3.825,1.11E-05
3.85,1.12E-05
3.875,1.13E-05
3.9,1.13E-05
3.925,1.14E-05
3.95,1.15E-05
3.975,1.15E-05
4,1.16E-05
4.025,1.17E-05
4.05,1.18E-05
4.075,1.18E-05
4.1,1.19E-05
4.125,1.19E-05
4.15,1.20E-05
4.175,1.21E-05
4.2,1.21E-05
4.225,1.22E-05
4.25,1.23E-05
4.275,1.23E-05
4.3,1.24E-05
4.325,1.25E-05
4.35,1.25E-05
4.375,1.26E-05
4.4,1.26E-05
4.425,1.27E-05
4.45,1.28E-05
4.475,1.28E-05
4.5,1.29E-05
4.525,1.29E-05
4.55,1.30E-05
4.575,1.31E-05
4.6,1.32E-05
4.625,1.32E-05
4.65,1.33E-05
4.675,1.33E-05
4.7,1.34E-05
4.725,1.35E-05
4.75,1.35E-05
4.775,1.36E-05
4.8,1.36E-05
4.825,1.37E-05
4.85,1.38E-05
4.875,1.38E-05
4.9,1.39E-05
4.925,1.39E-05
4.95,1.40E-05
4.975,1.41E-05
5,1.41E-05
