V_G, I_sat
0.0,-1.1e-09
0.025,-5e-10
0.05,-9e-10
0.075,-1e-09
0.1,-1.2e-09
0.125,-1.1e-09
0.15,-1e-09
0.175,-1.4e-09
0.2,-1.4e-09
0.225,-1.3e-09
0.25,-9e-10
0.275,-1.2e-09
0.3,-6e-10
0.325,0.0
0.35,4e-10
0.375,1e-09
0.4,2.7e-09
0.425,7.6e-09
0.45,1.32e-08
0.475,2.1e-08
0.5,3.94e-08
0.525,6.88e-08
0.55,1.151e-07
0.575,1.803e-07
0.6,2.85e-07
0.625,4.02e-07
0.65,5.42e-07
0.675,7.01e-07
0.7,8.73e-07
0.725,1.051e-06
0.75,1.235e-06
0.775,1.423e-06
0.8,1.615e-06
0.825,1.806e-06
0.85,1.994e-06
0.875,2.35e-06
0.9,2.57e-06
0.925,2.79e-06
0.95,3.01e-06
0.975,3.23e-06
1.0,3.44e-06
1.025,3.66e-06
1.05,3.88e-06
1.075,4.09e-06
1.1,4.3e-06
1.125,4.52e-06
1.15,4.72e-06
1.175,4.93e-06
1.2,5.14e-06
1.225,5.34e-06
1.25,5.54e-06
1.275,5.74e-06
1.3,5.95e-06
1.325,6.15e-06
1.35,6.35e-06
1.375,6.54e-06
1.4,6.73e-06
1.425,6.93e-06
1.45,7.13e-06
1.475,7.32e-06
1.5,7.51e-06
1.525,7.7e-06
1.55,7.89e-06
1.575,8.08e-06
1.6,8.27e-06
1.625,8.45e-06
1.65,8.64e-06
1.675,8.82e-06
1.7,9.01e-06
1.725,9.19e-06
1.75,9.36e-06
1.775,9.53e-06
1.8,9.72e-06
1.825,9.89e-06
1.85,1.006e-05
1.875,1.023e-05
1.9,1.041e-05
1.925,1.057e-05
1.95,1.074e-05
1.975,1.091e-05
2.0,1.108e-05
2.025,1.126e-05
2.05,1.144e-05
2.075,1.16e-05
2.1,1.176e-05
2.125,1.193e-05
2.15,1.209e-05
2.175,1.225e-05
2.2,1.242e-05
2.225,1.258e-05
2.25,1.274e-05
2.275,1.289e-05
2.3,1.304e-05
2.325,1.321e-05
2.35,1.337e-05
2.375,1.352e-05
2.4,1.369e-05
2.425,1.383e-05
2.45,1.398e-05
2.475,1.414e-05
2.5,1.429e-05
2.525,1.445e-05
2.55,1.459e-05
2.575,1.474e-05
2.6,1.49e-05
2.625,1.504e-05
2.65,1.52e-05
2.675,1.534e-05
2.7,1.548e-05
2.725,1.563e-05
2.75,1.578e-05
2.775,1.593e-05
2.8,1.606e-05
2.825,1.62e-05
2.85,1.635e-05
2.875,1.65e-05
2.9,1.663e-05
2.925,1.677e-05
2.95,1.692e-05
2.975,1.706e-05
3.0,1.721e-05
3.025,1.734e-05
3.05,1.748e-05
3.075,1.759e-05
3.1,1.773e-05
3.125,1.789e-05
3.15,1.803e-05
3.175,1.816e-05
3.2,1.83e-05
3.225,1.843e-05
3.25,1.857e-05
3.275,1.869e-05
3.3,1.885e-05
3.325,1.895e-05
3.35,1.909e-05
3.375,1.923e-05
3.4,1.936e-05
3.425,1.948e-05
3.45,1.96e-05
3.475,1.974e-05
3.5,1.987e-05
3.525,1.999e-05
3.55,2.14e-05
3.575,2.15e-05
3.6,2.17e-05
3.625,2.18e-05
3.65,2.2e-05
3.675,2.21e-05
3.7,2.23e-05
3.725,2.24e-05
3.75,2.26e-05
3.775,2.27e-05
3.8,2.28e-05
3.825,2.3e-05
3.85,2.31e-05
3.875,2.33e-05
3.9,2.34e-05
3.925,2.36e-05
3.95,2.37e-05
3.975,2.38e-05
4.0,2.4e-05
4.025,2.42e-05
4.05,2.43e-05
4.075,2.44e-05
4.1,2.46e-05
4.125,2.47e-05
4.15,2.49e-05
4.175,2.5e-05
4.2,2.52e-05
4.225,2.53e-05
4.25,2.54e-05
4.275,2.56e-05
4.3,2.57e-05
4.325,2.58e-05
4.35,2.6e-05
4.375,2.61e-05
4.4,2.62e-05
4.425,2.63e-05
4.45,2.65e-05
4.475,2.66e-05
4.5,2.67e-05
4.525,2.69e-05
4.55,2.7e-05
4.575,2.72e-05
4.6,2.73e-05
4.625,2.74e-05
4.65,2.75e-05
4.675,2.77e-05
4.7,2.78e-05
4.725,2.8e-05
4.75,2.81e-05
4.775,2.82e-05
4.8,2.84e-05
4.825,2.85e-05
4.85,2.86e-05
4.875,2.88e-05
4.9,2.89e-05
4.925,2.9e-05
4.95,2.91e-05
4.975,2.93e-05
5.0,2.94e-05
