V_G, I_sat
0.0,-1e-09
0.025,-9e-10
0.05,-1.2e-09
0.075,-1.2e-09
0.1,-9e-10
0.125,-1.1e-09
0.15,-6e-10
0.175,-9e-10
0.2,-1.1e-09
0.225,-1e-09
0.25,-1e-09
0.275,-4e-10
0.3,0.0
0.325,2e-10
0.35,9e-10
0.375,2.9e-09
0.4,6.7e-09
0.425,1.26e-08
0.45,2.43e-08
0.475,4.43e-08
0.5,7.93e-08
0.525,1.364e-07
0.55,2.39e-07
0.575,3.8e-07
0.6,5.64e-07
0.625,7.93e-07
0.65,1.063e-06
0.675,1.368e-06
0.7,1.695e-06
0.725,2.17e-06
0.75,2.56e-06
0.775,2.96e-06
0.8,3.38e-06
0.825,3.81e-06
0.85,4.23e-06
0.875,4.65e-06
0.9,5.08e-06
0.925,5.52e-06
0.95,5.95e-06
0.975,6.38e-06
1.0,6.8e-06
1.025,7.22e-06
1.05,7.64e-06
1.075,8.06e-06
1.1,8.48e-06
1.125,8.87e-06
1.15,9.28e-06
1.175,9.69e-06
1.2,1.01e-05
1.225,1.05e-05
1.25,1.088e-05
1.275,1.127e-05
1.3,1.165e-05
1.325,1.204e-05
1.35,1.242e-05
1.375,1.279e-05
1.4,1.316e-05
1.425,1.353e-05
1.45,1.391e-05
1.475,1.427e-05
1.5,1.463e-05
1.525,1.501e-05
1.55,1.536e-05
1.575,1.572e-05
1.6,1.606e-05
1.625,1.64e-05
1.65,1.674e-05
1.675,1.708e-05
1.7,1.742e-05
1.725,1.777e-05
1.75,1.81e-05
1.775,1.841e-05
1.8,1.875e-05
1.825,1.907e-05
1.85,1.941e-05
1.875,1.972e-05
1.9,2.13e-05
1.925,2.16e-05
1.95,2.2e-05
1.975,2.24e-05
2.0,2.28e-05
2.025,2.31e-05
2.05,2.35e-05
2.075,2.38e-05
2.1,2.42e-05
2.125,2.45e-05
2.15,2.49e-05
2.175,2.52e-05
2.2,2.56e-05
2.225,2.59e-05
2.25,2.62e-05
2.275,2.66e-05
2.3,2.69e-05
2.325,2.72e-05
2.35,2.76e-05
2.375,2.79e-05
2.4,2.83e-05
2.425,2.86e-05
2.45,2.89e-05
2.475,2.92e-05
2.5,2.96e-05
2.525,2.99e-05
2.55,3.02e-05
2.575,3.06e-05
2.6,3.09e-05
2.625,3.12e-05
2.65,3.15e-05
2.675,3.19e-05
2.7,3.22e-05
2.725,3.25e-05
2.75,3.28e-05
2.775,3.31e-05
2.8,3.34e-05
2.825,3.38e-05
2.85,3.4e-05
2.875,3.43e-05
2.9,3.47e-05
2.925,3.5e-05
2.95,3.53e-05
2.975,3.56e-05
3.0,3.59e-05
3.025,3.62e-05
3.05,3.66e-05
3.075,3.68e-05
3.1,3.71e-05
3.125,3.74e-05
3.15,3.78e-05
3.175,3.8e-05
3.2,3.83e-05
3.225,3.87e-05
3.25,3.89e-05
3.275,3.93e-05
3.3,3.95e-05
3.325,3.98e-05
3.35,4.01e-05
3.375,4.04e-05
3.4,4.07e-05
3.425,4.1e-05
3.45,4.12e-05
3.475,4.16e-05
3.5,4.19e-05
3.525,4.21e-05
3.55,4.24e-05
3.575,4.26e-05
3.6,4.29e-05
3.625,4.32e-05
3.65,4.35e-05
3.675,4.38e-05
3.7,4.41e-05
3.725,4.44e-05
3.75,4.47e-05
3.775,4.49e-05
3.8,4.52e-05
3.825,4.54e-05
3.85,4.58e-05
3.875,4.6e-05
3.9,4.63e-05
3.925,4.66e-05
3.95,4.68e-05
3.975,4.71e-05
4.0,4.74e-05
4.025,4.78e-05
4.05,4.81e-05
4.075,4.84e-05
4.1,4.86e-05
4.125,4.89e-05
4.15,4.91e-05
4.175,4.94e-05
4.2,4.97e-05
4.225,5e-05
4.25,5.02e-05
4.275,5.05e-05
4.3,5.08e-05
4.325,5.1e-05
4.35,5.13e-05
4.375,5.15e-05
4.4,5.18e-05
4.425,5.21e-05
4.45,5.23e-05
4.475,5.26e-05
4.5,5.28e-05
4.525,5.31e-05
4.55,5.34e-05
4.575,5.36e-05
4.6,5.39e-05
4.625,5.42e-05
4.65,5.44e-05
4.675,5.47e-05
4.7,5.5e-05
4.725,5.53e-05
4.75,5.55e-05
4.775,5.58e-05
4.8,5.6e-05
4.825,5.63e-05
4.85,5.66e-05
4.875,5.68e-05
4.9,5.7e-05
4.925,5.73e-05
4.95,5.76e-05
4.975,5.78e-05
5.0,5.81e-05
