V_G, I_sat
0.0,-8e-10
0.025,-9e-10
0.05,-8e-10
0.075,-1.3e-09
0.1,-9e-10
0.125,-1.2e-09
0.15,-1.1e-09
0.175,-8e-10
0.2,-1.1e-09
0.225,-1.1e-09
0.25,-6e-10
0.275,-1.4e-09
0.3,-5e-10
0.325,-8e-10
0.35,-9e-10
0.375,0.0
0.4,1e-09
0.425,2.5e-09
0.45,5.4e-09
0.475,1.04e-08
0.5,2.02e-08
0.525,3.49e-08
0.55,5.86e-08
0.575,9.33e-08
0.6,1.366e-07
0.625,1.906e-07
0.65,2.74e-07
0.675,3.55e-07
0.7,4.43e-07
0.725,5.34e-07
0.75,6.31e-07
0.775,7.29e-07
0.8,8.28e-07
0.825,9.31e-07
0.85,1.031e-06
0.875,1.132e-06
0.9,1.233e-06
0.925,1.337e-06
0.95,1.438e-06
0.975,1.539e-06
1.0,1.635e-06
1.025,1.733e-06
1.05,1.829e-06
1.075,1.925e-06
1.1,2.17e-06
1.125,2.27e-06
1.15,2.38e-06
1.175,2.48e-06
1.2,2.59e-06
1.225,2.69e-06
1.25,2.79e-06
1.275,2.9e-06
1.3,3e-06
1.325,3.1e-06
1.35,3.2e-06
1.375,3.3e-06
1.4,3.4e-06
1.425,3.5e-06
1.45,3.6e-06
1.475,3.7e-06
1.5,3.8e-06
1.525,3.9e-06
1.55,3.99e-06
1.575,4.09e-06
1.6,4.18e-06
1.625,4.28e-06
1.65,4.37e-06
1.675,4.47e-06
1.7,4.56e-06
1.725,4.66e-06
1.75,4.74e-06
1.775,4.83e-06
1.8,4.92e-06
1.825,5.01e-06
1.85,5.1e-06
1.875,5.19e-06
1.9,5.28e-06
1.925,5.37e-06
1.95,5.46e-06
1.975,5.54e-06
2.0,5.63e-06
2.025,5.72e-06
2.05,5.81e-06
2.075,5.89e-06
2.1,5.97e-06
2.125,6.07e-06
2.15,6.15e-06
2.175,6.24e-06
2.2,6.32e-06
2.225,6.41e-06
2.25,6.49e-06
2.275,6.57e-06
2.3,6.65e-06
2.325,6.73e-06
2.35,6.82e-06
2.375,6.9e-06
2.4,6.97e-06
2.425,7.06e-06
2.45,7.15e-06
2.475,7.23e-06
2.5,7.29e-06
2.525,7.38e-06
2.55,7.46e-06
2.575,7.54e-06
2.6,7.61e-06
2.625,7.69e-06
2.65,7.77e-06
2.675,7.85e-06
2.7,7.92e-06
2.725,8e-06
2.75,8.08e-06
2.775,8.16e-06
2.8,8.23e-06
2.825,8.31e-06
2.85,8.38e-06
2.875,8.45e-06
2.9,8.53e-06
2.925,8.6e-06
2.95,8.68e-06
2.975,8.75e-06
3.0,8.82e-06
3.025,8.89e-06
3.05,8.97e-06
3.075,9.05e-06
3.1,9.13e-06
3.125,9.2e-06
3.15,9.28e-06
3.175,9.35e-06
3.2,9.42e-06
3.225,9.5e-06
3.25,9.56e-06
3.275,9.63e-06
3.3,9.7e-06
3.325,9.78e-06
3.35,9.84e-06
3.375,9.92e-06
3.4,9.99e-06
3.425,1.006e-05
3.45,1.012e-05
3.475,1.02e-05
3.5,1.026e-05
3.525,1.033e-05
3.55,1.04e-05
3.575,1.047e-05
3.6,1.054e-05
3.625,1.061e-05
3.65,1.067e-05
3.675,1.074e-05
3.7,1.081e-05
3.725,1.088e-05
3.75,1.093e-05
3.775,1.101e-05
3.8,1.107e-05
3.825,1.114e-05
3.85,1.12e-05
3.875,1.126e-05
3.9,1.133e-05
3.925,1.14e-05
3.95,1.147e-05
3.975,1.154e-05
4.0,1.159e-05
4.025,1.169e-05
4.05,1.175e-05
4.075,1.182e-05
4.1,1.188e-05
4.125,1.194e-05
4.15,1.201e-05
4.175,1.207e-05
4.2,1.214e-05
4.225,1.22e-05
4.25,1.227e-05
4.275,1.233e-05
4.3,1.239e-05
4.325,1.245e-05
4.35,1.251e-05
4.375,1.257e-05
4.4,1.262e-05
4.425,1.269e-05
4.45,1.275e-05
4.475,1.281e-05
4.5,1.288e-05
4.525,1.294e-05
4.55,1.301e-05
4.575,1.308e-05
4.6,1.315e-05
4.625,1.321e-05
4.65,1.326e-05
4.675,1.332e-05
4.7,1.338e-05
4.725,1.345e-05
4.75,1.352e-05
4.775,1.357e-05
4.8,1.363e-05
4.825,1.37e-05
4.85,1.375e-05
4.875,1.382e-05
4.9,1.388e-05
4.925,1.394e-05
4.95,1.4e-05
4.975,1.406e-05
5.0,1.412e-05
