V_G, I_sat
0.0,4e-07
0.0335,1.29e-07
0.0665,7.76e-08
0.1,5.92e-08
0.1335,4.47e-08
0.1665,4.04e-08
0.2,3.23e-08
0.2335,2.8e-08
0.2665,2.64e-08
0.3,2.3e-08
0.3335,2.14e-08
0.3665,2.17e-08
0.4,2.46e-08
0.4335,2.95e-08
0.4665,5.36e-08
0.5,9.16e-08
0.5335,1.888e-07
0.5665,3.82e-07
0.6,7.15e-07
0.6335,1.242e-06
0.6665,2.027e-06
0.7,3.13e-06
0.7335,4.54e-06
0.7665,6.27e-06
0.8,8.42e-06
0.8335,1.094e-05
0.8665,1.376e-05
0.9,1.702e-05
0.9335,2.07e-05
0.9665,2.47e-05
1.0,2.91e-05
1.0335,3.4e-05
1.0665,3.93e-05
1.1,4.49e-05
1.1335,5.09e-05
1.1665,5.72e-05
1.2,6.41e-05
1.2335,7.13e-05
1.2665,7.88e-05
1.3,8.68e-05
1.3335,9.52e-05
1.3665,0.0001037
1.4,0.0001127
1.4335,0.0001222
1.4665,0.0001318
1.5,0.0001421
1.5335,0.0001527
1.5665,0.0001636
1.6,0.000175
1.6335,0.0001864
1.6665,0.000198
1.7,0.000212
1.7335,0.000225
1.7665,0.000237
1.8,0.000251
1.8335,0.000264
1.8665,0.000278
1.9,0.000292
1.9335,0.000307
1.9665,0.000322
2.0,0.000337
2.033,0.000353
2.067,0.00037
2.1,0.000386
2.133,0.000403
2.167,0.00042
2.2,0.000437
2.233,0.000454
2.267,0.000472
2.3,0.00049
2.333,0.000509
2.367,0.000528
2.4,0.000547
2.433,0.000566
2.467,0.000586
2.5,0.000606
2.533,0.000626
2.567,0.000647
2.6,0.000668
2.633,0.000689
2.667,0.000711
2.7,0.000732
2.733,0.000754
2.767,0.000776
2.8,0.000798
2.833,0.000821
2.867,0.000845
2.9,0.000868
2.933,0.000892
2.967,0.000916
3.0,0.00094
3.033,0.000965
3.067,0.00099
3.1,0.001015
3.133,0.001041
3.167,0.001067
3.2,0.001093
3.233,0.001118
3.267,0.001145
3.3,0.001171
3.333,0.001198
3.367,0.001225
3.4,0.001253
3.433,0.00128
3.467,0.001309
3.5,0.001336
3.533,0.001364
3.567,0.001393
3.6,0.001422
3.633,0.001451
3.667,0.001481
3.7,0.00151
3.733,0.001539
3.767,0.00157
3.8,0.001599
3.833,0.001629
3.867,0.00166
3.9,0.001691
3.933,0.001722
3.967,0.001754
4.0,0.001785
4.0325,0.001822
4.0675,0.001856
4.1,0.001888
4.1325,0.00192
4.1675,0.001955
4.2,0.001987
4.2325,0.00204
4.2675,0.00207
4.3,0.0021
4.3325,0.00213
4.3675,0.00217
4.4,0.00221
4.4325,0.00224
4.4675,0.00228
4.5,0.00231
4.5325,0.00234
4.5675,0.00238
4.6,0.00242
4.6325,0.00246
4.6675,0.00249
4.7,0.00253
4.7325,0.00257
4.7675,0.00261
4.8,0.00264
4.8325,0.00268
4.8675,0.00272
4.9,0.00276
4.9325,0.00279
4.9675,0.00283
5.0,0.00287
