I_in, I_out1,,Flipped, I_out1
0,9.40E-08,,0,9.40E-08
-2.36E-05,7.56E-06,,0.00002355,7.56E-06
-4.72E-05,1.49E-05,,0.00004715,1.49E-05
-7.07E-05,2.27E-05,,0.0000707,2.27E-05
-9.43E-05,3.01E-05,,0.0000943,3.01E-05
-0.00011785,3.76E-05,,0.00011785,3.76E-05
-0.00014145,4.51E-05,,0.00014145,4.51E-05
-0.000165,5.26E-05,,0.000165,5.26E-05
-0.00018855,6.00E-05,,0.00018855,6.00E-05
-0.000212,6.92E-05,,0.000212,6.92E-05
-0.0002355,7.67E-05,,0.0002355,7.67E-05
-0.0002595,8.44E-05,,0.0002595,8.44E-05
-0.000283,9.20E-05,,0.000283,9.20E-05
-0.0003065,9.96E-05,,0.0003065,9.96E-05
-0.00033,0.0001071,,0.00033,0.0001071
-0.0003535,0.0001146,,0.0003535,0.0001146
-0.000377,0.0001221,,0.000377,0.0001221
-0.0004005,0.0001297,,0.0004005,0.0001297
-0.0004245,0.0001374,,0.0004245,0.0001374
-0.000448,0.000145,,0.000448,0.000145
-0.0004715,0.0001526,,0.0004715,0.0001526
-0.000495,0.0001602,,0.000495,0.0001602
-0.0005185,0.0001679,,0.0005185,0.0001679
-0.000542,0.0001756,,0.000542,0.0001756
-0.0005655,0.0001832,,0.0005655,0.0001832
-0.0005895,0.000191,,0.0005895,0.000191
-0.000613,0.0001986,,0.000613,0.0001986
-0.0006365,0.00021,,0.0006365,0.00021
-0.00066,0.000218,,0.00066,0.000218
-0.0006835,0.000225,,0.0006835,0.000225
-0.000707,0.000233,,0.000707,0.000233
-0.0007305,0.00024,,0.0007305,0.00024
-0.0007545,0.000248,,0.0007545,0.000248
-0.000778,0.000256,,0.000778,0.000256
-0.0008015,0.000263,,0.0008015,0.000263
-0.000825,0.000271,,0.000825,0.000271
-0.0008485,0.000279,,0.0008485,0.000279
-0.000872,0.000286,,0.000872,0.000286
-0.0008955,0.000294,,0.0008955,0.000294
-0.0009195,0.000302,,0.0009195,0.000302
-0.000943,0.00031,,0.000943,0.00031
-0.0009665,0.000317,,0.0009665,0.000317
-0.00099,0.000325,,0.00099,0.000325
-0.0010135,0.000332,,0.0010135,0.000332
-0.001037,0.00034,,0.001037,0.00034
-0.0010605,0.000348,,0.0010605,0.000348
-0.0010845,0.000356,,0.0010845,0.000356
-0.001108,0.000363,,0.001108,0.000363
-0.0011315,0.000371,,0.0011315,0.000371
-0.001155,0.000379,,0.001155,0.000379
-0.0011785,0.000387,,0.0011785,0.000387
-0.001202,0.000394,,0.001202,0.000394
-0.0012255,0.000402,,0.0012255,0.000402
-0.0012495,0.00041,,0.0012495,0.00041
-0.001273,0.000418,,0.001273,0.000418
-0.0012965,0.000426,,0.0012965,0.000426
-0.00132,0.000433,,0.00132,0.000433
-0.0013435,0.000441,,0.0013435,0.000441
-0.001367,0.000449,,0.001367,0.000449
-0.0013905,0.000456,,0.0013905,0.000456
-0.0014145,0.000464,,0.0014145,0.000464
-0.001438,0.000472,,0.001438,0.000472
-0.0014615,0.000479,,0.0014615,0.000479
-0.001485,0.000487,,0.001485,0.000487
-0.0015085,0.000495,,0.0015085,0.000495
-0.001532,0.000503,,0.001532,0.000503
-0.0015555,0.000511,,0.0015555,0.000511
-0.0015795,0.000519,,0.0015795,0.000519
-0.001603,0.000527,,0.001603,0.000527
-0.0016265,0.000534,,0.0016265,0.000534
-0.00165,0.000542,,0.00165,0.000542
-0.0016735,0.00055,,0.0016735,0.00055
-0.001697,0.000558,,0.001697,0.000558
-0.0017205,0.000566,,0.0017205,0.000566
-0.0017445,0.000574,,0.0017445,0.000574
-0.001768,0.000581,,0.001768,0.000581
-0.0017915,0.000589,,0.0017915,0.000589
-0.001815,0.000597,,0.001815,0.000597
-0.0018385,0.000605,,0.0018385,0.000605
-0.001862,0.000612,,0.001862,0.000612
-0.0018855,0.00062,,0.0018855,0.00062
-0.0019095,0.000628,,0.0019095,0.000628
-0.001933,0.000635,,0.001933,0.000635
-0.0019565,0.000643,,0.0019565,0.000643
-0.00198,0.000651,,0.00198,0.000651
-0.002005,0.00067,,0.002005,0.00067
-0.002025,0.000677,,0.002025,0.000677
-0.00205,0.000685,,0.00205,0.000685
-0.002075,0.000693,,0.002075,0.000693
-0.0021,0.000701,,0.0021,0.000701
-0.00212,0.000708,,0.00212,0.000708
-0.002145,0.000716,,0.002145,0.000716
-0.00217,0.000725,,0.00217,0.000725
-0.00219,0.000731,,0.00219,0.000731
-0.002215,0.000739,,0.002215,0.000739
-0.00224,0.000748,,0.00224,0.000748
-0.002265,0.000756,,0.002265,0.000756
-0.002285,0.000763,,0.002285,0.000763
-0.00231,0.000771,,0.00231,0.000771
-0.002335,0.000779,,0.002335,0.000779
-0.002355,0.000786,,0.002355,0.000786
-0.00238,0.000794,,0.00238,0.000794
-0.002405,0.000802,,0.002405,0.000802
-0.00243,0.000811,,0.00243,0.000811
-0.00245,0.000818,,0.00245,0.000818
-0.002475,0.000826,,0.002475,0.000826
-0.0025,0.000834,,0.0025,0.000834
-0.00252,0.000841,,0.00252,0.000841
-0.002545,0.000849,,0.002545,0.000849
