I_in, I_out1,,Input Current,Output Current,Output Current
0,-2.00E-10,,0,2.00E-10,2.00E-10
2.36E-05,-2.30E-05,,2.36E-05,2.30E-05,2.30E-05
4.72E-05,-4.66E-05,,4.72E-05,4.66E-05,4.66E-05
7.07E-05,-7.02E-05,,7.07E-05,7.02E-05,7.02E-05
9.43E-05,-9.38E-05,,9.43E-05,9.38E-05,9.38E-05
0.00011785,-0.0001175,,0.00011785,1.18E-04,1.18E-04
0.00014145,-0.0001411,,0.00014145,1.41E-04,1.41E-04
0.000165,-0.0001647,,0.000165,1.65E-04,1.65E-04
0.00018855,-0.0001878,,0.00018855,1.88E-04,1.88E-04
0.000212,-0.000206,,0.000212,2.06E-04,2.06E-04
0.0002355,-0.000229,,0.0002355,2.29E-04,2.29E-04
0.0002595,-0.000253,,0.0002595,2.53E-04,2.53E-04
0.000283,-0.000277,,0.000283,2.77E-04,2.77E-04
0.0003065,-0.0003,,0.0003065,3.00E-04,3.00E-04
0.00033,-0.000323,,0.00033,3.23E-04,3.23E-04
0.0003535,-0.000347,,0.0003535,3.47E-04,3.47E-04
0.000377,-0.000371,,0.000377,3.71E-04,3.71E-04
0.0004005,-0.000394,,0.0004005,3.94E-04,3.94E-04
0.0004245,-0.000418,,0.0004245,4.18E-04,4.18E-04
0.000448,-0.000441,,0.000448,4.41E-04,4.41E-04
0.0004715,-0.000465,,0.0004715,4.65E-04,4.65E-04
0.000495,-0.000489,,0.000495,4.89E-04,4.89E-04
0.0005185,-0.000513,,0.0005185,5.13E-04,5.13E-04
0.000542,-0.000537,,0.000542,5.37E-04,5.37E-04
0.0005655,-0.00056,,0.0005655,5.60E-04,5.60E-04
0.0005895,-0.000584,,0.0005895,5.84E-04,5.84E-04
0.000613,-0.000608,,0.000613,6.08E-04,6.08E-04
0.0006365,-0.000632,,0.0006365,6.32E-04,6.32E-04
0.00066,-0.000655,,0.00066,6.55E-04,6.55E-04
0.0006835,-0.000678,,0.0006835,6.78E-04,6.78E-04
0.000707,-0.000702,,0.000707,7.02E-04,7.02E-04
0.0007305,-0.000725,,0.0007305,7.25E-04,7.25E-04
0.0007545,-0.00075,,0.0007545,7.50E-04,7.50E-04
0.000778,-0.000773,,0.000778,7.73E-04,7.73E-04
