V_1, I_1
-0.5,8.8e-08
-0.495,6.59e-08
-0.49,4.99e-08
-0.485,4.2e-08
-0.48,3.58e-08
-0.475,2.98e-08
-0.47,2.65e-08
-0.465,2.73e-08
-0.46,2.31e-08
-0.455,1.81e-08
-0.45,1.99e-08
-0.445,1.84e-08
-0.44,1.46e-08
-0.435,1.39e-08
-0.43,1.65e-08
-0.425,1.47e-08
-0.42,8.8e-09
-0.415,1.14e-08
-0.41,1.28e-08
-0.405,9.7e-09
-0.4,1.21e-08
-0.395,8.9e-09
-0.39,8.1e-09
-0.385,8.6e-09
-0.38,4.9e-09
-0.375,7.1e-09
-0.37,9.3e-09
-0.365,6.2e-09
-0.36,6.2e-09
-0.355,3.7e-09
-0.35,6.4e-09
-0.345,9.6e-09
-0.34,7.1e-09
-0.335,4.9e-09
-0.33,5.2e-09
-0.325,5.8e-09
-0.32,1.5e-09
-0.315,4.8e-09
-0.31,5.4e-09
-0.305,5.3e-09
-0.3,6.4e-09
-0.295,2.7e-09
-0.29,2.9e-09
-0.285,8.6e-09
-0.28,4.9e-09
-0.275,4e-09
-0.27,4.1e-09
-0.265,4.6e-09
-0.26,5.2e-09
-0.255,6.7e-09
-0.25,4.7e-09
-0.245,5.1e-09
-0.24,5e-09
-0.235,2.3e-09
-0.23,3.7e-09
-0.225,6.5e-09
-0.22,5.9e-09
-0.215,5.9e-09
-0.21,7.6e-09
-0.205,3.8e-09
-0.2,5.5e-09
-0.195,7.6e-09
-0.19,8.7e-09
-0.185,5.2e-09
-0.18,1.19e-08
-0.175,1.21e-08
-0.17,1.47e-08
-0.165,1.37e-08
-0.16,1.6e-08
-0.155,2.09e-08
-0.15,2.17e-08
-0.145,2.38e-08
-0.14,2.55e-08
-0.135,3.22e-08
-0.13,3.5e-08
-0.125,3.91e-08
-0.12,4.8e-08
-0.115,5.19e-08
-0.11,5.75e-08
-0.105,6.7e-08
-0.1,7.72e-08
-0.095,8.72e-08
-0.09,1.019e-07
-0.085,1.129e-07
-0.08,1.306e-07
-0.075,1.452e-07
-0.07,1.635e-07
-0.065,1.866e-07
-0.06,2.048e-07
-0.055,2.34e-07
-0.05,2.65e-07
-0.045,2.91e-07
-0.04,3.26e-07
-0.035,3.56e-07
-0.03,3.91e-07
-0.025,4.34e-07
-0.02,4.7e-07
-0.015,5.09e-07
-0.01,5.52e-07
-0.005,5.95e-07
0.0,6.34e-07
0.005,6.71e-07
0.01,7.21e-07
0.015,7.48e-07
0.02,7.89e-07
0.025,8.26e-07
0.03,8.65e-07
0.035,8.95e-07
0.04,9.38e-07
0.045,9.66e-07
0.05,9.97e-07
0.055,1.026e-06
0.06,1.051e-06
0.065,1.072e-06
0.07,1.096e-06
0.075,1.12e-06
0.08,1.143e-06
0.085,1.161e-06
0.09,1.175e-06
0.095,1.185e-06
0.1,1.205e-06
0.105,1.211e-06
0.11,1.227e-06
0.115,1.234e-06
0.12,1.24e-06
0.125,1.248e-06
0.13,1.259e-06
0.135,1.263e-06
0.14,1.266e-06
0.145,1.27e-06
0.15,1.274e-06
0.155,1.274e-06
0.16,1.278e-06
0.165,1.278e-06
0.17,1.281e-06
0.175,1.283e-06
0.18,1.286e-06
0.185,1.281e-06
0.19,1.286e-06
0.195,1.288e-06
0.2,1.292e-06
0.205,1.291e-06
0.21,1.281e-06
0.215,1.292e-06
0.22,1.292e-06
0.225,1.29e-06
0.23,1.289e-06
0.235,1.29e-06
0.24,1.294e-06
0.245,1.293e-06
0.25,1.293e-06
0.255,1.294e-06
0.26,1.292e-06
0.265,1.288e-06
0.27,1.292e-06
0.275,1.295e-06
0.28,1.288e-06
0.285,1.294e-06
0.29,1.296e-06
0.295,1.29e-06
0.3,1.292e-06
0.305,1.293e-06
0.31,1.293e-06
0.315,1.286e-06
0.32,1.297e-06
0.325,1.292e-06
0.33,1.296e-06
0.335,1.296e-06
0.34,1.293e-06
0.345,1.295e-06
0.35,1.295e-06
0.355,1.298e-06
0.36,1.295e-06
0.365,1.293e-06
0.37,1.293e-06
0.375,1.299e-06
0.38,1.291e-06
0.385,1.294e-06
0.39,1.294e-06
0.395,1.294e-06
0.4,1.295e-06
0.405,1.293e-06
0.41,1.298e-06
0.415,1.294e-06
0.42,1.293e-06
0.425,1.297e-06
0.43,1.298e-06
0.435,1.29e-06
0.44,1.296e-06
0.445,1.298e-06
0.45,1.303e-06
0.455,1.292e-06
0.46,1.296e-06
0.465,1.303e-06
0.47,1.294e-06
0.475,1.295e-06
0.48,1.297e-06
0.485,1.294e-06
0.49,1.293e-06
0.495,1.296e-06
0.5,1.297e-06
