V_1, I_2
-1.0,0.0001798
-0.99,0.0001797
-0.98,0.0001797
-0.97,0.0001797
-0.96,0.0001797
-0.95,0.0001797
-0.94,0.0001797
-0.93,0.0001797
-0.92,0.0001797
-0.91,0.0001797
-0.9,0.0001797
-0.89,0.0001797
-0.88,0.0001797
-0.87,0.0001797
-0.86,0.0001797
-0.85,0.0001797
-0.84,0.0001797
-0.83,0.0001797
-0.82,0.0001797
-0.81,0.0001797
-0.8,0.0001797
-0.79,0.0001797
-0.78,0.0001797
-0.77,0.0001797
-0.76,0.0001796
-0.75,0.0001796
-0.74,0.0001796
-0.73,0.0001796
-0.72,0.0001796
-0.71,0.0001796
-0.7,0.0001795
-0.69,0.0001795
-0.68,0.0001794
-0.67,0.0001793
-0.66,0.0001792
-0.65,0.0001791
-0.64,0.0001789
-0.63,0.0001787
-0.62,0.0001785
-0.61,0.0001782
-0.6,0.0001779
-0.59,0.0001775
-0.58,0.0001771
-0.57,0.0001766
-0.56,0.0001761
-0.55,0.0001755
-0.54,0.0001749
-0.53,0.0001742
-0.52,0.0001734
-0.51,0.0001726
-0.5,0.0001718
-0.49,0.0001709
-0.48,0.00017
-0.47,0.0001691
-0.46,0.0001681
-0.45,0.000167
-0.44,0.0001659
-0.43,0.0001647
-0.42,0.0001635
-0.41,0.0001622
-0.4,0.0001609
-0.39,0.0001595
-0.38,0.0001581
-0.37,0.0001568
-0.36,0.0001554
-0.35,0.000154
-0.34,0.0001526
-0.33,0.0001511
-0.32,0.0001496
-0.31,0.000148
-0.3,0.0001463
-0.29,0.0001447
-0.28,0.000143
-0.27,0.0001413
-0.26,0.0001395
-0.25,0.0001378
-0.24,0.0001361
-0.23,0.0001343
-0.22,0.0001326
-0.21,0.0001308
-0.2,0.000129
-0.19,0.0001272
-0.18,0.0001254
-0.17,0.0001235
-0.16,0.0001216
-0.15,0.0001197
-0.14,0.0001178
-0.13,0.0001158
-0.12,0.0001139
-0.11,0.0001121
-0.1,0.0001101
-0.09,0.0001083
-0.08,0.0001063
-0.07,0.0001044
-0.06,0.0001025
-0.05,0.0001005
-0.04,9.84e-05
-0.03,9.64e-05
-0.02,9.43e-05
-0.01,9.23e-05
0.0,9.02e-05
0.01,8.83e-05
0.02,8.63e-05
0.03,8.44e-05
0.04,8.24e-05
0.05,8.05e-05
0.06,7.86e-05
0.07,7.66e-05
0.08,7.46e-05
0.09,7.26e-05
0.1,7.06e-05
0.11,6.86e-05
0.12,6.66e-05
0.13,6.47e-05
0.14,6.28e-05
0.15,6.09e-05
0.16,5.91e-05
0.17,5.73e-05
0.18,5.54e-05
0.19,5.36e-05
0.2,5.18e-05
0.21,4.99e-05
0.22,4.81e-05
0.23,4.62e-05
0.24,4.45e-05
0.25,4.27e-05
0.26,4.09e-05
0.27,3.93e-05
0.28,3.76e-05
0.29,3.6e-05
0.3,3.44e-05
0.31,3.28e-05
0.32,3.12e-05
0.33,2.96e-05
0.34,2.8e-05
0.35,2.65e-05
0.36,2.5e-05
0.37,2.35e-05
0.38,2.21e-05
0.39,2.07e-05
0.4,1.94e-05
0.41,1.82e-05
0.42,1.69e-05
0.43,1.57e-05
0.44,1.46e-05
0.45,1.35e-05
0.46,1.23e-05
0.47,1.12e-05
0.48,1.02e-05
0.49,9.13e-06
0.5,8.21e-06
0.51,7.33e-06
0.52,6.52e-06
0.53,5.78e-06
0.54,5.09e-06
0.55,4.45e-06
0.56,3.87e-06
0.57,3.33e-06
0.58,2.82e-06
0.59,2.38e-06
0.6,1.97e-06
0.61,1.62e-06
0.62,1.32e-06
0.63,1.06e-06
0.64,8.23e-07
0.65,6.53e-07
0.66,5.15e-07
0.67,3.95e-07
0.68,3.09e-07
0.69,2.35e-07
0.7,1.76e-07
0.71,1.35e-07
0.72,9.9e-08
0.73,7.06e-08
0.74,5.55e-08
0.75,4.08e-08
0.76,2.93e-08
0.77,2.21e-08
0.78,1.57e-08
0.79,9.7e-09
0.8,1.05e-08
0.81,8.1e-09
0.82,6.8e-09
0.83,1.5e-09
0.84,4.8e-09
0.85,1.8e-09
0.86,-4e-10
0.87,-1e-09
0.88,2.2e-09
0.89,4e-10
0.9,2.2e-09
0.91,2.5e-09
0.92,1.3e-09
0.93,-3e-10
0.94,-1e-09
0.95,-8e-10
0.96,-1e-10
0.97,3e-10
0.98,9e-10
0.99,1e-09
1.0,5e-10
