V_1, V
-0.5,1.838
-0.495,1.839
-0.49,1.839
-0.485,1.839
-0.48,1.839
-0.475,1.839
-0.47,1.839
-0.465,1.839
-0.46,1.839
-0.455,1.839
-0.45,1.839
-0.445,1.839
-0.44,1.839
-0.435,1.839
-0.43,1.839
-0.425,1.839
-0.42,1.839
-0.415,1.839
-0.41,1.839
-0.405,1.839
-0.4,1.839
-0.395,1.839
-0.39,1.839
-0.385,1.839
-0.38,1.839
-0.375,1.839
-0.37,1.839
-0.365,1.839
-0.36,1.839
-0.355,1.839
-0.35,1.839
-0.345,1.839
-0.34,1.839
-0.335,1.839
-0.33,1.839
-0.325,1.839
-0.32,1.839
-0.315,1.839
-0.31,1.839
-0.305,1.839
-0.3,1.839
-0.295,1.839
-0.29,1.839
-0.285,1.839
-0.28,1.839
-0.275,1.839
-0.27,1.839
-0.265,1.839
-0.26,1.839
-0.255,1.839
-0.25,1.839
-0.245,1.839
-0.24,1.839
-0.235,1.839
-0.23,1.839
-0.225,1.839
-0.22,1.839
-0.215,1.839
-0.21,1.839
-0.205,1.839
-0.2,1.839
-0.195,1.839
-0.19,1.839
-0.185,1.839
-0.18,1.839
-0.175,1.839
-0.17,1.839
-0.165,1.839
-0.16,1.839
-0.155,1.839
-0.15,1.84
-0.145,1.84
-0.14,1.84
-0.135,1.84
-0.13,1.84
-0.125,1.84
-0.12,1.84
-0.115,1.841
-0.11,1.841
-0.105,1.841
-0.1,1.841
-0.095,1.842
-0.09,1.842
-0.085,1.842
-0.08,1.843
-0.075,1.844
-0.07,1.844
-0.065,1.845
-0.06,1.845
-0.055,1.846
-0.05,1.847
-0.045,1.848
-0.04,1.85
-0.035,1.851
-0.03,1.852
-0.025,1.854
-0.02,1.855
-0.015,1.857
-0.01,1.859
-0.005,1.86
0.0,1.863
0.005,1.865
0.01,1.867
0.015,1.869
0.02,1.871
0.025,1.874
0.03,1.876
0.035,1.879
0.04,1.882
0.045,1.884
0.05,1.887
0.055,1.89
0.06,1.893
0.065,1.896
0.07,1.9
0.075,1.903
0.08,1.907
0.085,1.91
0.09,1.914
0.095,1.918
0.1,1.921
0.105,1.925
0.11,1.929
0.115,1.933
0.12,1.937
0.125,1.941
0.13,1.945
0.135,1.949
0.14,1.952
0.145,1.956
0.15,1.96
0.155,1.964
0.16,1.968
0.165,1.972
0.17,1.976
0.175,1.979
0.18,1.983
0.185,1.987
0.19,1.991
0.195,1.995
0.2,1.999
0.205,2.006
0.21,2.01
0.215,2.014
0.22,2.018
0.225,2.022
0.23,2.026
0.235,2.03
0.24,2.034
0.245,2.038
0.25,2.042
0.255,2.046
0.26,2.05
0.265,2.054
0.27,2.058
0.275,2.062
0.28,2.066
0.285,2.07
0.29,2.074
0.295,2.078
0.3,2.082
0.305,2.086
0.31,2.09
0.315,2.094
0.32,2.098
0.325,2.104
0.33,2.106
0.335,2.112
0.34,2.116
0.345,2.12
0.35,2.124
0.355,2.128
0.36,2.132
0.365,2.136
0.37,2.14
0.375,2.146
0.38,2.15
0.385,2.154
0.39,2.158
0.395,2.162
0.4,2.166
0.405,2.17
0.41,2.174
0.415,2.178
0.42,2.182
0.425,2.186
0.43,2.19
0.435,2.194
0.44,2.198
0.445,2.202
0.45,2.206
0.455,2.21
0.46,2.214
0.465,2.218
0.47,2.222
0.475,2.226
0.48,2.232
0.485,2.234
0.49,2.24
0.495,2.244
0.5,2.248
