V_1, V
-1.0,2.051
-0.99,2.126
-0.98,2.126
-0.97,2.128
-0.96,2.126
-0.95,2.128
-0.94,2.128
-0.93,2.128
-0.92,2.128
-0.91,2.128
-0.9,2.126
-0.89,2.128
-0.88,2.128
-0.87,2.128
-0.86,2.128
-0.85,2.128
-0.84,2.128
-0.83,2.128
-0.82,2.128
-0.81,2.128
-0.8,2.128
-0.79,2.128
-0.78,2.128
-0.77,2.128
-0.76,2.128
-0.75,2.128
-0.74,2.128
-0.73,2.128
-0.72,2.128
-0.71,2.128
-0.7,2.128
-0.69,2.128
-0.68,2.128
-0.67,2.128
-0.66,2.128
-0.65,2.128
-0.64,2.128
-0.63,2.128
-0.62,2.13
-0.61,2.13
-0.6,2.13
-0.59,2.13
-0.58,2.132
-0.57,2.132
-0.56,2.134
-0.55,2.134
-0.54,2.136
-0.53,2.136
-0.52,2.136
-0.51,2.138
-0.5,2.14
-0.49,2.14
-0.48,2.142
-0.47,2.144
-0.46,2.146
-0.45,2.146
-0.44,2.148
-0.43,2.15
-0.42,2.152
-0.41,2.154
-0.4,2.156
-0.39,2.158
-0.38,2.16
-0.37,2.164
-0.36,2.166
-0.35,2.168
-0.34,2.17
-0.33,2.172
-0.32,2.174
-0.31,2.178
-0.3,2.18
-0.29,2.182
-0.28,2.186
-0.27,2.188
-0.26,2.192
-0.25,2.194
-0.24,2.198
-0.23,2.2
-0.22,2.204
-0.21,2.206
-0.2,2.21
-0.19,2.212
-0.18,2.216
-0.17,2.22
-0.16,2.222
-0.15,2.226
-0.14,2.23
-0.13,2.234
-0.12,2.236
-0.11,2.24
-0.1,2.244
-0.09,2.248
-0.08,2.252
-0.07,2.256
-0.06,2.258
-0.05,2.262
-0.04,2.266
-0.03,2.272
-0.02,2.276
-0.01,2.28
0.0,2.284
0.01,2.288
0.02,2.292
0.03,2.296
0.04,2.3
0.05,2.304
0.06,2.308
0.07,2.314
0.08,2.318
0.09,2.322
0.1,2.328
0.11,2.332
0.12,2.336
0.13,2.342
0.14,2.346
0.15,2.352
0.16,2.356
0.17,2.36
0.18,2.366
0.19,2.37
0.2,2.376
0.21,2.38
0.22,2.386
0.23,2.392
0.24,2.396
0.25,2.402
0.26,2.408
0.27,2.412
0.28,2.418
0.29,2.424
0.3,2.428
0.31,2.434
0.32,2.44
0.33,2.446
0.34,2.452
0.35,2.458
0.36,2.464
0.37,2.47
0.38,2.476
0.39,2.482
0.4,2.488
0.41,2.494
0.42,2.502
0.43,2.506
0.44,2.514
0.45,2.52
0.46,2.526
0.47,2.534
0.48,2.54
0.49,2.548
0.5,2.554
0.51,2.562
0.52,2.57
0.53,2.576
0.54,2.582
0.55,2.59
0.56,2.598
0.57,2.604
0.58,2.612
0.59,2.62
0.6,2.628
0.61,2.636
0.62,2.644
0.63,2.652
0.64,2.66
0.65,2.668
0.66,2.676
0.67,2.684
0.68,2.692
0.69,2.7
0.7,2.708
0.71,2.716
0.72,2.726
0.73,2.734
0.74,2.742
0.75,2.75
0.76,2.76
0.77,2.768
0.78,2.776
0.79,2.784
0.8,2.792
0.81,2.8
0.82,2.808
0.83,2.816
0.84,2.826
0.85,2.834
0.86,2.842
0.87,2.852
0.88,2.86
0.89,2.868
0.9,2.876
0.91,2.886
0.92,2.894
0.93,2.902
0.94,2.91
0.95,2.918
0.96,2.926
0.97,2.934
0.98,2.944
0.99,2.952
1.0,2.96
