V1, Vout
0.0,0.001
0.025,0.001
0.05,0.001
0.075,0.001
0.1,0.001
0.125,0.001
0.15,0.001
0.175,0.001
0.2,0.001
0.225,0.001
0.25,0.001
0.275,0.001
0.3,0.001
0.325,0.001
0.35,0.001
0.375,0.001
0.4,0.001
0.425,0.001
0.45,0.001
0.475,0.002
0.5,0.002
0.525,0.002
0.55,0.003
0.575,0.004
0.6,0.006
0.625,0.009
0.65,0.012
0.675,0.016
0.7,0.02
0.725,0.026
0.75,0.032
0.775,0.039
0.8,0.046
0.825,0.054
0.85,0.063
0.875,0.072
0.9,0.082
0.925,0.092
0.95,0.103
0.975,0.114
1.0,0.126
1.025,0.138
1.05,0.15
1.075,0.163
1.1,0.176
1.125,0.19
1.15,0.204
1.175,0.218
1.2,0.233
1.225,0.248
1.25,0.263
1.275,0.279
1.3,0.295
1.325,0.312
1.35,0.329
1.375,0.346
1.4,0.363
1.425,0.382
1.45,0.4
1.475,0.419
1.5,0.439
1.525,0.459
1.55,0.48
1.575,0.501
1.6,0.523
1.625,0.545
1.65,0.567
1.675,0.591
1.7,0.616
1.725,0.642
1.75,0.668
1.775,0.696
1.8,0.726
1.825,0.758
1.85,0.793
1.875,0.832
1.9,0.877
1.925,0.933
1.95,1.021
1.975,1.5
2.0,2.958
2.025,4.106
2.05,4.395
2.075,4.108
2.1,4.57
2.125,4.108
2.15,4.67
2.175,4.108
2.2,4.74
2.225,4.108
2.25,4.795
2.275,4.108
2.3,4.84
2.325,4.108
2.35,4.88
2.375,4.108
2.4,4.915
2.425,4.108
2.45,4.945
2.475,4.108
2.5,4.965
2.525,4.108
2.55,4.99
2.575,4.108
2.6,5.005
2.625,4.108
2.65,5.02
2.675,4.108
2.7,5.025
2.725,4.108
2.75,5.035
2.775,4.108
2.8,5.035
2.825,4.108
2.85,5.035
2.875,4.108
2.9,5.035
2.925,4.108
2.95,5.035
2.975,4.108
3.0,5.035
3.025,4.108
3.05,5.035
3.075,4.108
3.1,5.035
3.125,4.108
3.15,5.035
3.175,4.108
3.2,5.035
3.225,4.108
3.25,5.035
3.275,4.108
3.3,5.035
3.325,4.108
3.35,5.035
3.375,4.108
3.4,5.035
3.425,4.108
3.45,5.035
3.475,4.108
3.5,5.035
3.525,4.108
3.55,5.035
3.575,4.108
3.6,5.035
3.625,4.108
3.65,5.035
3.675,4.108
3.7,5.035
3.725,4.108
3.75,5.035
3.775,4.108
3.8,5.035
3.825,4.108
3.85,5.035
3.875,4.108
3.9,5.035
3.925,4.108
3.95,5.035
3.975,4.108
4.0,5.035
4.025,4.108
4.05,5.035
4.075,4.108
4.1,5.035
4.125,4.108
4.15,5.035
4.175,4.108
4.2,5.035
4.225,4.108
4.25,5.035
4.275,4.108
4.3,5.035
4.325,4.108
4.35,5.035
4.375,4.108
4.4,5.035
4.425,4.108
4.45,5.035
4.475,4.108
4.5,5.035
4.525,4.108
4.55,5.035
4.575,4.108
4.6,5.035
4.625,4.108
4.65,5.035
4.675,4.108
4.7,5.035
4.725,4.108
4.75,5.035
4.775,4.108
4.8,5.035
4.825,4.108
4.85,5.035
4.875,4.108
4.9,5.035
4.925,4.108
4.95,5.035
4.975,4.108
5.0,5.035
