V1, Vout
-0.2,1.665
-0.196,1.668
-0.1925,1.672
-0.1885,1.675
-0.185,1.678
-0.181,1.682
-0.1775,1.685
-0.1735,1.688
-0.17,1.691
-0.166,1.695
-0.1625,1.698
-0.1585,1.701
-0.155,1.704
-0.151,1.708
-0.1475,1.711
-0.1435,1.714
-0.14,1.718
-0.136,1.721
-0.1325,1.724
-0.1285,1.728
-0.125,1.731
-0.121,1.735
-0.1175,1.739
-0.1135,1.742
-0.11,1.746
-0.106,1.75
-0.1025,1.753
-0.0985,1.758
-0.095,1.761
-0.091,1.765
-0.0875,1.769
-0.0835,1.773
-0.08,1.777
-0.076,1.781
-0.0725,1.785
-0.0685,1.79
-0.065,1.794
-0.061,1.799
-0.0575,1.803
-0.0535,1.808
-0.05,1.813
-0.046,1.818
-0.0425,1.823
-0.0385,1.83
-0.035,1.836
-0.031,1.843
-0.0275,1.85
-0.0235,1.859
-0.02,1.869
-0.016,1.882
-0.015,1.887
-0.015,1.887
-0.0145,1.889
-0.0145,1.889
-0.0145,1.889
-0.014,1.892
-0.014,1.892
-0.014,1.892
-0.014,1.892
-0.0135,1.894
-0.0135,1.894
-0.0135,1.894
-0.013,1.897
-0.013,1.897
-0.013,1.897
-0.0125,1.9
-0.0125,1.9
-0.0125,1.9
-0.0125,1.9
-0.012,1.903
-0.012,1.903
-0.012,1.903
-0.0115,1.906
-0.0115,1.906
-0.0115,1.906
-0.011,1.91
-0.011,1.91
-0.011,1.91
-0.011,1.91
-0.0105,1.914
-0.0105,1.914
-0.0105,1.914
-0.01,1.919
-0.01,1.919
-0.01,1.919
-0.0095,1.924
-0.0095,1.925
-0.0095,1.924
-0.0095,1.925
-0.009,1.931
-0.009,1.931
-0.009,1.931
-0.0085,1.939
-0.0085,1.939
-0.0085,1.939
-0.008,1.949
-0.008,1.949
-0.008,1.949
-0.008,1.95
-0.0075,1.964
-0.0075,1.964
-0.0075,1.964
-0.007,1.986
-0.007,1.985
-0.007,1.985
-0.0065,2.028
-0.0065,2.026
-0.0065,2.026
-0.0065,2.026
-0.006,2.086
-0.006,2.086
-0.006,2.088
-0.0055,2.176
-0.0055,2.172
-0.0055,2.172
-0.005,2.274
-0.005,2.276
-0.005,2.274
-0.0045,2.39
-0.0045,2.39
-0.0045,2.392
-0.0045,2.39
-0.004,2.504
-0.004,2.504
-0.004,2.502
-0.0035,2.624
-0.0035,2.618
-0.0035,2.62
-0.003,2.736
-0.003,2.738
-0.003,2.74
-0.003,2.736
-0.0025,2.858
-0.0025,2.858
-0.0025,2.858
-0.002,2.978
-0.002,2.98
-0.002,2.976
-0.0015,3.096
-0.0015,3.098
-0.0015,3.096
-0.0015,3.098
-0.001,3.214
-0.001,3.208
-0.001,3.212
-0.0005,3.324
-0.0005,3.326
-0.0005,3.328
0.0,3.452
0.0,3.454
0.0,3.45
0.0,3.454
0.0005,3.566
0.0005,3.564
0.0005,3.568
0.001,3.684
0.001,3.684
0.001,3.682
0.0015,3.792
0.0015,3.794
0.0015,3.794
0.0015,3.79
0.002,3.896
0.002,3.892
0.002,3.892
0.0025,3.99
0.0025,3.99
0.0025,3.99
0.003,4.082
0.003,4.082
0.003,4.084
0.003,4.086
0.0035,4.108
0.0035,4.108
0.0035,4.108
0.004,4.108
0.004,4.108
0.004,4.108
0.0045,4.108
0.0045,4.108
0.0045,4.108
0.0045,4.108
0.005,4.435
0.005,4.108
0.005,4.435
0.0055,4.108
0.0055,4.505
0.0055,4.108
0.006,4.57
0.006,4.108
0.006,4.57
0.0065,4.108
0.0065,4.63
0.0065,4.108
0.0065,4.63
0.007,4.108
0.007,4.685
0.007,4.108
0.0075,4.73
0.0075,4.108
0.0075,4.73
0.008,4.108
0.008,4.77
0.008,4.108
0.008,4.77
0.0085,4.108
0.0085,4.8
0.0085,4.108
0.009,4.825
0.009,4.108
0.009,4.825
0.0095,4.108
0.0095,4.84
0.0095,4.108
0.0095,4.84
0.01,4.108
0.01,4.855
0.01,4.108
0.0105,4.865
0.0105,4.108
0.0105,4.865
0.011,4.108
0.011,4.87
0.011,4.108
0.011,4.87
0.0115,4.108
0.0115,4.88
0.0115,4.108
0.012,4.885
0.012,4.108
0.012,4.885
0.0125,4.108
0.0125,4.89
0.0125,4.108
0.0125,4.89
0.013,4.108
0.013,4.895
0.013,4.108
0.0135,4.9
0.0135,4.108
0.0135,4.9
0.014,4.108
0.014,4.905
0.014,4.108
0.014,4.905
0.0145,4.108
0.0145,4.91
0.0145,4.108
0.015,4.91
0.015,4.108
0.016,4.915
0.018,4.108
0.0195,4.935
0.0215,4.108
0.0235,4.945
0.0255,4.108
0.027,4.955
0.029,4.108
0.031,4.965
0.0325,4.108
0.0345,4.97
0.0365,4.108
0.0385,4.975
0.04,4.108
0.042,4.98
0.044,4.108
0.0455,4.985
0.0475,4.108
0.0495,4.99
0.0515,4.108
0.053,4.99
0.055,4.108
0.057,4.995
0.0585,4.108
0.0605,5.0
0.0625,4.108
0.0645,5.0
0.066,4.108
0.068,5.005
0.07,4.108
0.072,5.005
0.0735,4.108
0.0755,5.005
0.0775,4.108
0.079,5.01
0.081,4.108
0.083,5.01
0.085,4.108
0.0865,5.015
0.0885,4.108
0.0905,5.015
0.092,4.108
0.094,5.015
0.096,4.108
0.098,5.015
0.0995,4.108
0.1015,5.02
0.1035,4.108
0.105,5.02
0.107,4.108
0.109,5.02
0.111,4.108
0.1125,5.02
0.1145,4.108
0.1165,5.02
0.118,4.108
0.12,5.025
0.122,4.108
0.124,5.025
0.1255,4.108
0.1275,5.025
0.1295,4.108
0.131,5.025
0.133,4.108
0.135,5.025
0.137,4.108
0.1385,5.025
0.1405,4.108
0.1425,5.03
0.144,4.108
0.146,5.03
0.148,4.108
0.15,5.03
0.1515,4.108
0.1535,5.03
0.1555,4.108
0.1575,5.03
0.159,4.108
0.161,5.03
0.163,4.108
0.1645,5.03
0.1665,4.108
0.1685,5.03
0.1705,4.108
0.172,5.03
0.174,4.108
0.176,5.03
0.1775,4.108
0.1795,5.03
0.1815,4.108
0.1835,5.03
0.185,4.108
0.187,5.03
0.189,4.108
0.1905,5.03
0.1925,4.108
0.1945,5.03
0.1965,4.108
0.198,5.03
0.2,4.108
