Vout, Iout
0.0,-0.00218
0.05,-0.00211
0.1,-0.00206
0.15,-0.002
0.2,-0.00195
0.25,-0.00189
0.3,-0.00183
0.35,-0.00178
0.4,-0.00173
0.45,-0.00169
0.5,-0.00164
0.55,-0.00158
0.6,-0.00153
0.65,-0.00146
0.7,-0.00141
0.75,-0.00137
0.8,-0.00135
0.85,-0.00132
0.9,-0.0013
0.95,-0.00126
1.0,-0.00121
1.05,-0.00116
1.1,-0.0011
1.15,-0.00105
1.2,-0.001
1.25,-0.001017
1.3,-0.000965
1.35,-0.000914
1.4,-0.000859
1.45,-0.000806
1.5,-0.000751
1.55,-0.000693
1.6,-0.000639
1.65,-0.000582
1.7,-0.00053
1.75,-0.000478
1.8,-0.000427
1.85,-0.000378
1.9,-0.000327
1.95,-0.000282
2.0,-0.000245
2.05,-0.000208
2.1,-0.000175
2.15,-0.000147
2.2,-0.000121
2.25,-0.0001036
2.3,-8.01e-05
2.35,-6.03e-05
2.4,-4.34e-05
2.45,-2.93e-05
2.5,-1.78e-05
2.55,-9.81e-06
2.6,-4.71e-06
2.65,-1.96e-06
2.7,-8.61e-07
2.75,-4.78e-07
2.8,-3.72e-07
2.85,-3.41e-07
2.9,-3.21e-07
2.95,-3.02e-07
3.0,-2.85e-07
3.05,-2.67e-07
3.1,-2.55e-07
3.15,-2.4e-07
3.2,-2.3e-07
3.25,-2.17e-07
3.3,-2.01e-07
3.35,-1.89e-07
3.4,-1.81e-07
3.45,-1.64e-07
3.5,-1.53e-07
3.55,-1.4e-07
3.6,-1.23e-07
3.65,-1.15e-07
3.7,-1.086e-07
3.75,-8.8e-08
3.8,-8.06e-08
3.85,-5.5e-08
3.9,-5.6e-08
3.95,-3.3e-08
4.0,-2.82e-08
4.05,-6e-09
4.1,-5e-10
4.15,2.3e-08
4.2,2.69e-08
4.25,5.6e-08
4.3,6.16e-08
4.35,9.6e-08
4.4,1.11e-07
4.45,1.32e-07
4.5,1.53e-07
4.55,1.72e-07
4.6,1.94e-07
4.65,2.15e-07
4.7,2.38e-07
4.75,2.7e-07
4.8,3.08e-07
4.85,3.88e-07
4.9,5.99e-07
4.95,1.119e-06
5.0,2.44e-06
