Vout, Iout
-0.5,5.54e-06
-0.49,5.5e-06
-0.48,5.49e-06
-0.47,5.49e-06
-0.46,5.48e-06
-0.45,5.48e-06
-0.44,5.47e-06
-0.43,5.47e-06
-0.42,5.47e-06
-0.41,5.47e-06
-0.4,5.47e-06
-0.39,5.47e-06
-0.38,5.47e-06
-0.37,5.47e-06
-0.36,5.47e-06
-0.35,5.46e-06
-0.34,5.47e-06
-0.33,5.46e-06
-0.32,5.46e-06
-0.31,5.46e-06
-0.3,5.46e-06
-0.29,5.46e-06
-0.28,5.46e-06
-0.27,5.46e-06
-0.26,5.45e-06
-0.25,5.45e-06
-0.24,5.45e-06
-0.23,5.43e-06
-0.22,5.42e-06
-0.21,5.39e-06
-0.2,5.37e-06
-0.19,5.33e-06
-0.18,5.29e-06
-0.17,5.22e-06
-0.16,5.14e-06
-0.15,5.04e-06
-0.14,4.91e-06
-0.13,4.75e-06
-0.12,4.57e-06
-0.11,4.34e-06
-0.1,4.08e-06
-0.09,3.78e-06
-0.08,3.44e-06
-0.07,3.07e-06
-0.06,2.67e-06
-0.05,2.25e-06
-0.04,1.79e-06
-0.03,1.32e-06
-0.02,8.27e-07
-0.01,3.31e-07
0.0,-1.79e-07
0.01,-7.03e-07
0.02,-1.216e-06
0.03,-1.717e-06
0.04,-2.2e-06
0.05,-2.66e-06
0.06,-3.1e-06
0.07,-3.5e-06
0.08,-3.86e-06
0.09,-4.19e-06
0.1,-4.49e-06
0.11,-4.74e-06
0.12,-4.96e-06
0.13,-5.15e-06
0.14,-5.3e-06
0.15,-5.42e-06
0.16,-5.52e-06
0.17,-5.6e-06
0.18,-5.65e-06
0.19,-5.7e-06
0.2,-5.74e-06
0.21,-5.76e-06
0.22,-5.78e-06
0.23,-5.8e-06
0.24,-5.81e-06
0.25,-5.82e-06
0.26,-5.83e-06
0.27,-5.83e-06
0.28,-5.83e-06
0.29,-5.83e-06
0.3,-5.84e-06
0.31,-5.84e-06
0.32,-5.84e-06
0.33,-5.84e-06
0.34,-5.85e-06
0.35,-5.84e-06
0.36,-5.85e-06
0.37,-5.85e-06
0.38,-5.85e-06
0.39,-5.85e-06
0.4,-5.85e-06
0.41,-5.85e-06
0.42,-5.85e-06
0.43,-5.85e-06
0.44,-5.85e-06
0.45,-5.86e-06
0.46,-5.86e-06
0.47,-5.86e-06
0.48,-5.86e-06
0.49,-5.86e-06
0.5,-5.86e-06
