V1, Vout
0.0,-0.163
0.0335,-0.141
0.0665,-0.132
0.1,-0.126
0.1335,-0.122
0.1665,-0.12
0.2,-0.118
0.2335,-0.117
0.2665,-0.116
0.3,-0.115
0.3335,-0.115
0.3665,-0.115
0.4,-0.105
0.4335,0.364
0.4665,0.464
0.5,0.505
0.5335,0.542
0.5665,0.578
0.6,0.613
0.6335,0.646
0.6665,0.68
0.7,0.715
0.7335,0.749
0.7665,0.781
0.8,0.815
0.8335,0.849
0.8665,0.882
0.9,0.915
0.9335,0.949
0.9665,0.983
1.0,1.016
1.0335,1.05
1.0665,1.083
1.1,1.117
1.1335,1.15
1.1665,1.183
1.2,1.217
1.2335,1.25
1.2665,1.283
1.3,1.316
1.3335,1.35
1.3665,1.382
1.4,1.416
1.4335,1.449
1.4665,1.482
1.5,1.515
1.5335,1.549
1.5665,1.582
1.6,1.616
1.6335,1.649
1.6665,1.681
1.7,1.715
1.7335,1.748
1.7665,1.781
1.8,1.814
1.8335,1.847
1.8665,1.879
1.9,1.912
1.9335,1.945
1.9665,1.978
2.0,2.07
2.033,2.052
2.067,2.086
2.1,2.118
2.133,2.152
2.167,2.186
2.2,2.218
2.233,2.252
2.267,2.286
2.3,2.318
2.333,2.352
2.367,2.386
2.4,2.418
2.433,2.452
2.467,2.486
2.5,2.52
2.533,2.552
2.567,2.586
2.6,2.618
2.633,2.652
2.667,2.686
2.7,2.718
2.733,2.752
2.767,2.784
2.8,2.818
2.833,2.85
2.867,2.884
2.9,2.918
2.933,2.95
2.967,2.984
3.0,3.018
3.033,3.05
3.067,3.084
3.1,3.118
3.133,3.15
3.167,3.186
3.2,3.218
3.233,3.25
3.267,3.284
3.3,3.316
3.333,3.35
3.367,3.384
3.4,3.416
3.433,3.45
3.467,3.482
3.5,3.516
3.533,3.548
3.567,3.582
3.6,3.614
3.633,3.646
3.667,3.68
3.7,3.712
3.733,3.746
3.767,3.778
3.8,3.81
3.833,3.844
3.867,3.876
3.9,3.91
3.933,3.942
3.967,3.976
4.0,4.008
4.0325,4.065
4.0675,4.095
4.1,4.13
4.1325,4.16
4.1675,4.195
4.2,4.23
4.2325,4.26
4.2675,4.295
4.3,4.325
4.3325,4.36
4.3675,4.395
4.4,4.425
4.4325,4.46
4.4675,4.49
4.5,4.525
4.5325,4.56
4.5675,4.595
4.6,4.63
4.6325,4.66
4.6675,4.695
4.7,4.73
4.7325,4.76
4.7675,4.8
4.8,4.83
4.8325,4.86
4.8675,4.895
4.9,4.92
4.9325,4.945
4.9675,4.97
5.0,4.99
