V1,Vout - Vin
0,-0.148
0.0335,-0.155
0.067,-0.174
0.1005,-0.196
0.134,-0.22
0.168,-0.245
0.2015,-0.272
0.235,-0.3
0.2685,-0.326
0.302,-0.352
0.3355,-0.386
0.369,-0.421
0.4025,-0.425
0.436,-0.02
0.47,0.002
0.5035,0.008
0.537,0.011
0.5705,0.013
0.604,0.014
0.6375,0.014
0.671,0.015
0.7045,0.015
0.7385,0.015
0.772,0.016
0.8055,0.015
0.839,0.015
0.8725,0.015
0.906,0.015
0.9395,0.015
0.973,0.015
1.0065,0.015
1.0405,0.015
1.074,0.015
1.1075,0.015
1.141,0.014
1.1745,0.014
1.208,0.014
1.2415,0.014
1.275,0.014
1.3085,0.014
1.3425,0.014
1.376,0.014
1.4095,0.014
1.443,0.013
1.4765,0.013
1.51,0.013
1.5435,0.013
1.577,0.013
1.6105,0.013
1.6445,0.013
1.678,0.013
1.7115,0.013
1.745,0.013
1.7785,0.012
1.812,0.012
1.8455,0.012
1.879,0.012
1.913,0.012
1.9465,0.012
1.98,0.012
2.013,0.012
2.047,0.012
2.081,0.012
2.114,0.012
2.148,0.011
2.181,0.011
2.215,0.011
2.248,0.011
2.282,0.011
2.315,0.011
2.349,0.011
2.383,0.011
2.416,0.011
2.45,0.01
2.483,0.01
2.517,0.01
2.55,0.01
2.584,0.01
2.617,0.01
2.651,0.01
2.685,0.01
2.718,0.009
2.752,0.009
2.785,0.009
2.819,0.009
2.852,0.009
2.886,0.009
2.919,0.009
2.953,0.009
2.987,0.008
3.02,0.008
3.054,0.008
3.087,0.008
3.121,0.008
3.154,0.008
3.188,0.008
3.221,0.007
3.255,0.007
3.289,0.007
3.322,0.007
3.356,0.007
3.389,0.007
3.423,0.007
3.456,0.006
3.49,0.006
3.523,0.006
3.557,0.006
3.591,0.006
3.624,0.006
3.658,0.006
3.691,0.006
3.725,0.005
3.758,0.005
3.792,0.005
3.826,0.005
3.859,0.005
3.893,0.005
3.926,0.004
3.96,0.004
3.993,0.004
4.0275,0.004
4.06,0.004
4.095,0.003
4.1275,0.003
4.16,0.003
4.195,0.003
4.2275,0.003
4.2625,0.002
4.295,0.002
4.33,0.002
4.3625,0.002
4.395,0.001
4.43,0.001
4.4625,0.001
4.4975,0.001
4.53,0
4.565,0
4.5975,0
4.63,0
4.665,-0.001
4.6975,-0.001
4.7325,-0.002
4.765,-0.002
4.7975,-0.003
4.8325,-0.004
4.865,-0.007
4.9,-0.012
4.9325,-0.019
4.9675,-0.032
5,-0.047
