Vdm,Output Voltage (V),Output Voltage (V)
-0.05,0.038,
-0.05,0.039,
-0.0495,0.039,
-0.0495,0.039,
-0.049,0.04,
-0.049,0.04,
-0.049,0.04,
-0.0485,0.04,
-0.0485,0.04,
-0.048,0.04,
-0.048,0.04,
-0.048,0.041,
-0.0475,0.041,
-0.0475,0.041,
-0.047,0.041,
-0.047,0.041,
-0.047,0.041,
-0.0465,0.042,
-0.0465,0.042,
-0.046,0.042,
-0.046,0.042,
-0.046,0.042,
-0.0455,0.043,
-0.0455,0.043,
-0.045,0.043,
-0.045,0.043,
-0.045,0.043,
-0.0445,0.044,
-0.0445,0.044,
-0.044,0.044,
-0.044,0.044,
-0.044,0.044,
-0.0435,0.045,
-0.0435,0.045,
-0.043,0.045,
-0.043,0.045,
-0.043,0.045,
-0.0425,0.046,
-0.0425,0.046,
-0.042,0.046,
-0.042,0.046,
-0.042,0.046,
-0.0415,0.047,
-0.0415,0.047,
-0.041,0.047,
-0.041,0.047,
-0.041,0.047,
-0.0405,0.048,
-0.0405,0.048,
-0.04,0.048,
-0.04,0.048,
-0.04,0.048,
-0.0395,0.049,
-0.0395,0.049,
-0.039,0.049,
-0.039,0.049,
-0.039,0.049,
-0.0385,0.05,
-0.0385,0.05,
-0.038,0.051,
-0.038,0.051,
-0.038,0.051,
-0.0375,0.051,
-0.0375,0.051,
-0.037,0.052,
-0.037,0.052,
-0.037,0.052,
-0.0365,0.053,
-0.0365,0.053,
-0.036,0.053,
-0.036,0.053,
-0.036,0.053,
-0.0355,0.054,
-0.0355,0.054,
-0.035,0.054,
-0.035,0.054,
-0.035,0.054,
-0.0345,0.055,
-0.0345,0.055,
-0.034,0.056,
-0.034,0.056,
-0.034,0.056,
-0.0335,0.056,
-0.0335,0.056,
-0.033,0.057,
-0.033,0.057,
-0.033,0.057,
-0.0325,0.058,
-0.0325,0.058,
-0.032,0.059,
-0.032,0.059,
-0.032,0.059,
-0.0315,0.06,
-0.0315,0.06,
-0.031,0.06,
-0.031,0.06,
-0.031,0.061,
-0.0305,0.061,
-0.0305,0.061,
-0.03,0.062,
-0.03,0.062,
-0.03,0.062,
-0.0295,0.063,
-0.0295,0.063,
-0.029,0.064,
-0.029,0.064,
-0.029,0.064,
-0.0285,0.065,
-0.0285,0.065,
-0.028,0.065,
-0.028,0.065,
-0.028,0.065,
-0.0275,0.067,
-0.0275,0.067,
-0.027,0.068,
-0.027,0.067,
-0.027,0.068,
-0.0265,0.068,
-0.0265,0.068,
-0.026,0.069,
-0.026,0.069,
-0.026,0.069,
-0.0255,0.071,
-0.0255,0.071,
-0.025,0.072,
-0.025,0.072,
-0.0245,0.073,
-0.0245,0.073,
-0.0245,0.073,
-0.024,0.074,
-0.024,0.074,
-0.0235,0.076,
-0.0235,0.076,
-0.0235,0.076,
-0.023,0.077,
-0.023,0.077,
-0.0225,0.078,
-0.0225,0.078,
-0.0225,0.078,
-0.022,0.08,
-0.022,0.08,
-0.0215,0.081,
-0.0215,0.081,
-0.0215,0.081,
-0.021,0.083,
-0.021,0.083,
-0.0205,0.084,
-0.0205,0.084,
-0.0205,0.084,
-0.02,0.086,
-0.02,0.086,
-0.0195,0.088,
-0.0195,0.088,
-0.0195,0.088,
-0.019,0.09,
-0.019,0.09,
-0.0185,0.093,
-0.0185,0.093,
-0.0185,0.093,
-0.018,0.095,
-0.018,0.095,
-0.0175,0.097,
