Vout, Iout
0.0,-4.54e-06
0.0085,-3.97e-06
0.0165,-3.51e-06
0.025,-3.08e-06
0.0335,-2.71e-06
0.0415,-2.42e-06
0.05,-2.15e-06
0.0585,-1.93e-06
0.067,-1.74e-06
0.075,-1.59e-06
0.0835,-1.47e-06
0.092,-1.37e-06
0.1,-1.29e-06
0.1085,-1.241e-06
0.117,-1.193e-06
0.125,-1.157e-06
0.1335,-1.129e-06
0.142,-1.107e-06
0.1505,-1.09e-06
0.1585,-1.076e-06
0.167,-1.066e-06
0.1755,-1.055e-06
0.1835,-1.048e-06
0.192,-1.04e-06
0.2005,-1.034e-06
0.2085,-1.029e-06
0.217,-1.024e-06
0.2255,-1.02e-06
0.2335,-1.016e-06
0.242,-1.012e-06
0.2505,-1.009e-06
0.259,-1.005e-06
0.267,-1.002e-06
0.2755,-9.99e-07
0.284,-9.96e-07
0.292,-9.94e-07
0.3005,-9.91e-07
0.309,-9.88e-07
0.317,-9.86e-07
0.3255,-9.82e-07
0.334,-9.8e-07
0.342,-9.77e-07
0.3505,-9.74e-07
0.359,-9.72e-07
0.3675,-9.7e-07
0.3755,-9.67e-07
0.384,-9.65e-07
0.3925,-9.61e-07
0.4005,-9.58e-07
0.409,-9.57e-07
0.4175,-9.55e-07
0.4255,-9.52e-07
0.434,-9.49e-07
0.4425,-9.47e-07
0.451,-9.45e-07
0.459,-9.42e-07
0.4675,-9.39e-07
0.476,-9.38e-07
0.484,-9.36e-07
0.4925,-9.33e-07
0.501,-9.3e-07
0.509,-9.27e-07
0.5175,-9.26e-07
0.526,-9.25e-07
0.534,-9.22e-07
0.5425,-9.19e-07
0.551,-9.18e-07
0.5595,-9.15e-07
0.5675,-9.12e-07
0.576,-9.1e-07
0.5845,-9.07e-07
0.5925,-9.05e-07
0.601,-9.04e-07
0.6095,-9.01e-07
0.6175,-8.99e-07
0.626,-8.97e-07
0.6345,-8.94e-07
0.6425,-8.93e-07
0.651,-8.9e-07
0.6595,-8.89e-07
0.668,-8.86e-07
0.676,-8.85e-07
0.6845,-8.81e-07
0.693,-8.79e-07
0.701,-8.78e-07
0.7095,-8.75e-07
0.718,-8.75e-07
0.726,-8.72e-07
0.7345,-8.69e-07
0.743,-8.68e-07
0.7515,-8.65e-07
0.7595,-8.64e-07
0.768,-8.61e-07
0.7765,-8.59e-07
0.7845,-8.57e-07
0.793,-8.57e-07
0.8015,-8.53e-07
0.8095,-8.51e-07
0.818,-8.48e-07
0.8265,-8.47e-07
0.8345,-8.44e-07
0.843,-8.43e-07
0.8515,-8.41e-07
0.86,-8.38e-07
0.868,-8.37e-07
0.8765,-8.35e-07
0.885,-8.33e-07
0.893,-8.31e-07
0.9015,-8.3e-07
0.91,-8.27e-07
0.918,-8.25e-07
0.9265,-8.23e-07
0.935,-8.2e-07
0.943,-8.19e-07
0.9515,-8.17e-07
0.96,-8.16e-07
0.9685,-8.11e-07
0.9765,-8.12e-07
0.985,-8.09e-07
0.9935,-8.07e-07
1.0015,-8.06e-07
1.01,-8.03e-07
1.0185,-8.03e-07
1.0265,-7.98e-07
1.035,-7.96e-07
1.0435,-7.95e-07
1.052,-7.94e-07
1.06,-7.92e-07
1.0685,-7.91e-07
1.077,-7.87e-07
