time	V(vin)	V(vout)
0.000000000000000e+000	1.000000e-001	1.140907e-001
1.000000000000000e-003	1.000000e-001	1.140907e-001
1.000000000000097e-003	1.000000e-001	1.140907e-001
1.000000000000292e-003	1.000000e-001	1.140907e-001
1.000000142857393e-003	1.071429e-001	1.140907e-001
1.000000285714494e-003	1.142857e-001	1.140907e-001
1.000000428571595e-003	1.214286e-001	1.140907e-001
1.000000571428696e-003	1.285714e-001	1.140908e-001
1.000000714285797e-003	1.357143e-001	1.140908e-001
1.000000857142899e-003	1.428571e-001	1.140908e-001
1.000001000000000e-003	1.500000e-001	1.140908e-001
1.000001014657806e-003	1.500000e-001	1.140908e-001
1.000001043973419e-003	1.500000e-001	1.140908e-001
1.000001219867093e-003	1.500000e-001	1.140908e-001
1.000001454391993e-003	1.500000e-001	1.140908e-001
1.000001923441792e-003	1.500000e-001	1.140908e-001
1.000002861541391e-003	1.500000e-001	1.140908e-001
1.000004737740588e-003	1.500000e-001	1.140908e-001
1.000008490138982e-003	1.500000e-001	1.140908e-001
1.000031004529349e-003	1.500000e-001	1.140911e-001
1.000061023716504e-003	1.500000e-001	1.140917e-001
1.000121062090814e-003	1.500000e-001	1.140934e-001
1.000214471736013e-003	1.500000e-001	1.140965e-001
1.233864597067042e-003	1.500000e-001	1.213653e-001
1.467514722398071e-003	1.500000e-001	1.278437e-001
1.701164847729100e-003	1.500000e-001	1.335316e-001
1.934814973060129e-003	1.500000e-001	1.384290e-001
2.168465098391158e-003	1.500000e-001	1.425359e-001
2.402115223722187e-003	1.500000e-001	1.458523e-001
2.635765349053216e-003	1.500000e-001	1.483783e-001
3.012439456196072e-003	1.500000e-001	1.516338e-001
3.389113563338929e-003	1.500000e-001	1.544148e-001
3.765787670481786e-003	1.500000e-001	1.567215e-001
4.142461777624643e-003	1.500000e-001	1.585537e-001
4.519135884767499e-003	1.500000e-001	1.599115e-001
4.895809991910356e-003	1.500000e-001	1.607949e-001
5.272484099053212e-003	1.500000e-001	1.612039e-001
7.250023161553209e-003	1.500000e-001	1.628814e-001
2.043361691155338e-002	1.500000e-001	1.634073e-001
2.100000100000000e-002	1.500000e-001	1.634073e-001
2.100000110000000e-002	1.450000e-001	1.634073e-001
2.100000130000000e-002	1.350000e-001	1.634073e-001
2.100000160000000e-002	1.200000e-001	1.634072e-001
2.100000200000000e-002	1.000000e-001	1.634072e-001
2.100000204000000e-002	1.000000e-001	1.634072e-001
2.100000212000000e-002	1.000000e-001	1.634072e-001
2.100000228000000e-002	1.000000e-001	1.634072e-001
2.100000260000000e-002	1.000000e-001	1.634072e-001
2.100000324000000e-002	1.000000e-001	1.634072e-001
2.100000451999999e-002	1.000000e-001	1.634072e-001
2.100000707999998e-002	1.000000e-001	1.634071e-001
2.100002243999992e-002	1.000000e-001	1.634070e-001
2.100004291999984e-002	1.000000e-001	1.634068e-001
2.100008387999967e-002	1.000000e-001	1.634060e-001
2.100016579999935e-002	1.000000e-001	1.634039e-001
2.100028924770430e-002	1.000000e-001	1.634004e-001
2.100145252091699e-002	1.000000e-001	1.633646e-001
2.128872616791538e-002	1.000000e-001	1.553980e-001
2.157599981491377e-002	1.000000e-001	1.483354e-001
2.186327346191216e-002	1.000000e-001	1.421767e-001
2.215054710891055e-002	1.000000e-001	1.369220e-001
2.243782075590895e-002	1.000000e-001	1.325713e-001
2.272509440290734e-002	1.000000e-001	1.291245e-001
2.301236804990573e-002	1.000000e-001	1.265818e-001
2.339532005883431e-002	1.000000e-001	1.238715e-001
2.377827206776290e-002	1.000000e-001	1.215551e-001
2.416122407669149e-002	1.000000e-001	1.196326e-001
2.454417608562007e-002	1.000000e-001	1.181040e-001
2.492712809454866e-002	1.000000e-001	1.169693e-001
2.531008010347724e-002	1.000000e-001	1.162285e-001
2.569303211240583e-002	1.000000e-001	1.158815e-001
2.608853992490584e-002	1.000000e-001	1.154800e-001
2.648404773740586e-002	1.000000e-001	1.151384e-001
2.687955554990587e-002	1.000000e-001	1.148566e-001
2.727506336240589e-002	1.000000e-001	1.146346e-001
2.767057117490590e-002	1.000000e-001	1.144724e-001
2.806607898740592e-002	1.000000e-001	1.143701e-001
2.846158679990593e-002	1.000000e-001	1.143275e-001
2.850553211240594e-002	1.000000e-001	1.143200e-001
4.098838572480418e-002	1.000000e-001	1.140907e-001
4.499501981245600e-002	1.000000e-001	1.140907e-001
4.500000000000000e-002	1.000000e-001	1.140907e-001
