time	V(vin)	V(vout)
0.000000000000000e+000	2.500000e+000	2.496137e+000
1.000000000000000e-003	2.500000e+000	2.496137e+000
1.000000094494956e-003	2.504725e+000	2.496137e+000
1.000000283484867e-003	2.514174e+000	2.496137e+000
1.000000622020178e-003	2.531101e+000	2.496137e+000
1.000001000000000e-003	2.550000e+000	2.496137e+000
1.000001037797982e-003	2.550000e+000	2.496137e+000
1.000001113393947e-003	2.550000e+000	2.496137e+000
1.000002171737449e-003	2.550000e+000	2.496137e+000
1.000003381272880e-003	2.550000e+000	2.496137e+000
1.000005800343742e-003	2.550000e+000	2.496138e+000
1.000010638485467e-003	2.550000e+000	2.496138e+000
1.000020314768916e-003	2.550000e+000	2.496140e+000
1.000039667335814e-003	2.550000e+000	2.496143e+000
1.000063326501641e-003	2.550000e+000	2.496148e+000
1.000101644074238e-003	2.550000e+000	2.496157e+000
1.044198631692974e-003	2.550000e+000	2.504982e+000
1.088295619311709e-003	2.550000e+000	2.512710e+000
1.132392606930445e-003	2.550000e+000	2.519341e+000
1.176489594549180e-003	2.550000e+000	2.524874e+000
1.220586582167915e-003	2.550000e+000	2.529311e+000
1.264683569786651e-003	2.550000e+000	2.532650e+000
1.308780557405386e-003	2.550000e+000	2.534891e+000
1.315616494905386e-003	2.550000e+000	2.535261e+000
1.366397744905385e-003	2.550000e+000	2.537445e+000
1.417178994905384e-003	2.550000e+000	2.539325e+000
1.467960244905383e-003	2.550000e+000	2.540901e+000
1.518741494905383e-003	2.550000e+000	2.542173e+000
1.569522744905382e-003	2.550000e+000	2.543142e+000
1.620303994905381e-003	2.550000e+000	2.543806e+000
1.671085244905380e-003	2.550000e+000	2.544167e+000
1.788272744905381e-003	2.550000e+000	2.544780e+000
1.905460244905382e-003	2.550000e+000	2.545274e+000
2.022647744905382e-003	2.550000e+000	2.545650e+000
2.139835244905383e-003	2.550000e+000	2.545907e+000
2.257022744905384e-003	2.550000e+000	2.546047e+000
2.374210244905385e-003	2.550000e+000	2.546068e+000
2.491397744905385e-003	2.550000e+000	2.545971e+000
3.366397744905400e-003	2.550000e+000	2.546001e+000
4.000001000000000e-003	2.550000e+000	2.546002e+000
4.000001056521421e-003	2.547174e+000	2.546002e+000
4.000001169564263e-003	2.541522e+000	2.546002e+000
4.000001547828628e-003	2.522609e+000	2.546001e+000
4.000002000000000e-003	2.500000e+000	2.546001e+000
4.000002017458666e-003	2.500000e+000	2.546001e+000
4.000002052375999e-003	2.500000e+000	2.546001e+000
4.000002541218660e-003	2.500000e+000	2.546001e+000
4.000003099895987e-003	2.500000e+000	2.546001e+000
4.000004217250640e-003	2.500000e+000	2.546001e+000
4.000006451959946e-003	2.500000e+000	2.546001e+000
4.000010921378559e-003	2.500000e+000	2.546001e+000
4.000019860215785e-003	2.500000e+000	2.546000e+000
4.000037737890237e-003	2.500000e+000	2.545996e+000
4.000061507070171e-003	2.500000e+000	2.545991e+000
4.000097947904269e-003	2.500000e+000	2.545982e+000
4.000156939519537e-003	2.500000e+000	2.545968e+000
4.000506014313298e-003	2.500000e+000	2.545886e+000
4.039219872363316e-003	2.500000e+000	2.537852e+000
4.077933730413335e-003	2.500000e+000	2.530753e+000
4.116647588463353e-003	2.500000e+000	2.524589e+000
4.155361446513371e-003	2.500000e+000	2.519360e+000
4.194075304563389e-003	2.500000e+000	2.515065e+000
4.232789162613407e-003	2.500000e+000	2.511706e+000
4.271503020663425e-003	2.500000e+000	2.509281e+000
4.318378020663423e-003	2.500000e+000	2.506760e+000
4.365253020663421e-003	2.500000e+000	2.504575e+000
4.412128020663418e-003	2.500000e+000	2.502727e+000
4.459003020663417e-003	2.500000e+000	2.501216e+000
4.505878020663414e-003	2.500000e+000	2.500041e+000
4.552753020663413e-003	2.500000e+000	2.499204e+000
4.599628020663410e-003	2.500000e+000	2.498703e+000
4.770526458163402e-003	2.500000e+000	2.497233e+000
4.934588958163394e-003	2.500000e+000	2.496821e+000
5.098651458163387e-003	2.500000e+000	2.496494e+000
5.262713958163379e-003	2.500000e+000	2.496253e+000
5.426776458163371e-003	2.500000e+000	2.496097e+000
5.590838958163364e-003	2.500000e+000	2.496026e+000
5.754901458163356e-003	2.500000e+000	2.496041e+000
5.918963958163348e-003	2.500000e+000	2.496141e+000
6.821307708163306e-003	2.500000e+000	2.496137e+000
6.999999458203757e-003	2.500000e+000	2.496137e+000
7.000000000000000e-003	2.500000e+000	2.496137e+000
