"Vin","I1","I2","I3","I4"
-5.0,0.000128,6.3e-05,3.15e-05,1.57e-05
-4.9,0.000125,6.18e-05,3.09e-05,1.54e-05
-4.8,0.000123,6.05e-05,3.02e-05,1.51e-05
-4.7,0.00012,5.93e-05,2.96e-05,1.48e-05
-4.6,0.000118,5.8e-05,2.9e-05,1.45e-05
-4.5,0.000115,5.68e-05,2.84e-05,1.42e-05
-4.4,0.000113,5.55e-05,2.77e-05,1.39e-05
-4.3,0.00011,5.42e-05,2.71e-05,1.35e-05
-4.2,0.000108,5.3e-05,2.65e-05,1.32e-05
-4.1,0.000105,5.17e-05,2.58e-05,1.29e-05
-4.0,0.000102,5.02e-05,2.51e-05,1.25e-05
-3.9,0.0001,4.9e-05,2.45e-05,1.22e-05
-3.8,9.54e-05,4.78e-05,2.39e-05,1.19e-05
-3.7,9.3e-05,4.65e-05,2.32e-05,1.16e-05
-3.6,9.05e-05,4.53e-05,2.26e-05,1.13e-05
-3.5,8.8e-05,4.4e-05,2.2e-05,1.1e-05
-3.4,8.55e-05,4.28e-05,2.14e-05,1.06e-05
-3.3,8.3e-05,4.16e-05,2.08e-05,1.03e-05
-3.2,8.05e-05,4.03e-05,2.01e-05,1e-05
-3.1,7.8e-05,3.9e-05,1.95e-05,9.58e-06
-3.0,7.55e-05,3.78e-05,1.89e-05,9.27e-06
-2.9,7.3e-05,3.65e-05,1.82e-05,8.96e-06
-2.8,7.05e-05,3.53e-05,1.76e-05,8.65e-06
-2.7,6.8e-05,3.4e-05,1.7e-05,8.34e-06
-2.6,6.55e-05,3.28e-05,1.64e-05,8.03e-06
-2.5,6.3e-05,3.15e-05,1.57e-05,7.72e-06
-2.4,6.04e-05,3.02e-05,1.51e-05,7.41e-06
-2.3,5.79e-05,2.9e-05,1.45e-05,7.1e-06
-2.2,5.54e-05,2.77e-05,1.39e-05,6.79e-06
-2.1,5.28e-05,2.64e-05,1.31e-05,6.46e-06
-2.0,5.03e-05,2.51e-05,1.25e-05,6.15e-06
-1.9,4.78e-05,2.39e-05,1.19e-05,5.85e-06
-1.8,4.54e-05,2.26e-05,1.13e-05,5.54e-06
-1.7,4.29e-05,2.14e-05,1.06e-05,5.23e-06
-1.6,4.04e-05,2.02e-05,1e-05,4.92e-06
-1.5,3.78e-05,1.89e-05,9.3e-06,4.61e-06
-1.4,3.53e-05,1.76e-05,8.67e-06,4.3e-06
-1.3,3.28e-05,1.64e-05,8.06e-06,3.99e-06
-1.2,3.03e-05,1.51e-05,7.43e-06,3.67e-06
-1.1,2.78e-05,1.39e-05,6.81e-06,3.36e-06
-1.0,2.53e-05,1.26e-05,6.19e-06,3.05e-06
-0.9,2.27e-05,1.13e-05,5.56e-06,2.74e-06
-0.8,2.02e-05,1.01e-05,4.93e-06,2.42e-06
-0.7,1.77e-05,8.69e-06,4.31e-06,2.11e-06
-0.6,1.52e-05,7.46e-06,3.69e-06,1.8e-06
-0.5,1.26e-05,6.2e-06,3.06e-06,1.49e-06
-0.4,1.01e-05,4.96e-06,2.44e-06,1.18e-06
-0.3,7.49e-06,3.71e-06,1.82e-06,8.56e-07
-0.2,4.99e-06,2.45e-06,1.18e-06,5.42e-07
-0.1,2.5e-06,1.21e-06,5.54e-07,2.29e-07
0.0,-6.8e-09,-4.72e-08,-6.86e-08,-7.85e-08
0.1,-5.83e-07,-3.44e-07,-1.989e-07,-1.446e-07
0.2,-4.95e-06,-2.52e-06,-1.323e-06,-7.1e-07
0.3,-7.44e-06,-3.75e-06,-1.945e-06,-1.022e-06
0.4,-9.92e-06,-4.99e-06,-2.54e-06,-1.334e-06
0.5,-1.245e-05,-6.27e-06,-3.17e-06,-1.652e-06
0.6,-1.497e-05,-7.53e-06,-3.8e-06,-1.966e-06
0.7,-1.746e-05,-8.78e-06,-4.43e-06,-2.26e-06
0.8,-1.991e-05,-1.001e-05,-5.04e-06,-2.56e-06
0.9,-2.26e-05,-1.125e-05,-5.66e-06,-2.87e-06
