"Iin","Iout"
-0.001,0.00067
-0.00098,0.000659
-0.00096,0.000645
-0.00094,0.000632
-0.00092,0.000619
-0.0009,0.000606
-0.00088,0.000592
-0.00086,0.000579
-0.00084,0.000565
-0.00082,0.000552
-0.0008,0.000539
-0.00078,0.000525
-0.00076,0.000511
-0.00074,0.000499
-0.00072,0.000484
-0.0007,0.000472
-0.00068,0.000458
-0.00066,0.000445
-0.00064,0.000432
-0.00062,0.000418
-0.0006,0.000405
-0.00058,0.000392
-0.00056,0.000378
-0.00054,0.000365
-0.00052,0.000351
-0.0005,0.000338
-0.00048,0.000325
-0.00046,0.000311
-0.00044,0.000298
-0.00042,0.000285
-0.0004,0.000272
-0.00038,0.000259
-0.00036,0.000245
-0.00034,0.000232
-0.00032,0.000219
-0.0003,0.000205
-0.00028,0.000192
-0.00026,0.000179
-0.00024,0.000165
-0.00022,0.000152
-0.0002,0.000135
-0.00018,0.000122
-0.00016,0.000108
-0.00014,9.38e-05
-0.00012,8.05e-05
-0.0001,6.72e-05
-8e-05,5.37e-05
-6e-05,4.04e-05
-4e-05,2.7e-05
-2e-05,1.34e-05
0.0,-8.98e-08
2e-05,-1.303e-05
4e-05,-2.65e-05
6e-05,-3.99e-05
8e-05,-5.32e-05
0.0001,-6.66e-05
0.00012,-7.99e-05
0.00014,-9.33e-05
0.00016,-0.0001066
0.00018,-0.0001199
0.0002,-0.0001311
0.00022,-0.0001445
0.00024,-0.0001579
0.00026,-0.0001713
0.00028,-0.0001847
0.0003,-0.0001981
0.00032,-0.000208
0.00034,-0.00022
0.00036,-0.000234
0.00038,-0.000247
0.0004,-0.00026
0.00042,-0.000274
0.00044,-0.000287
0.00046,-0.0003
0.00048,-0.000314
0.0005,-0.000327
0.00052,-0.000341
0.00054,-0.000354
0.00056,-0.000368
0.00058,-0.000381
0.0006,-0.000395
0.00062,-0.000408
0.00064,-0.000421
0.00066,-0.000435
0.00068,-0.000449
0.0007,-0.000461
0.00072,-0.000476
0.00074,-0.000488
0.00076,-0.000502
0.00078,-0.000515
0.0008,-0.000529
0.00082,-0.000542
0.00084,-0.000555
0.00086,-0.000568
0.00088,-0.000582
0.0009,-0.000595
0.00092,-0.000608
0.00094,-0.000621
0.00096,-0.000635
0.00098,-0.000648
0.001,-0.000662
