Vin,Iout,Iout Theoretical
-5,-0.0151,-0.017863523
-4.9,-0.0151,-0.017506252
-4.8,-0.0151,-0.017148982
-4.7,-0.01509,-0.016791711
-4.6,-0.01509,-0.016434441
-4.5,-0.01508,-0.01607717
-4.4,-0.01507,-0.0157199
-4.3,-0.01506,-0.01536263
-4.2,-0.01497,-0.015005359
-4.1,-0.01462,-0.014648089
-4,-0.01422,-0.014290818
-3.9,-0.01387,-0.013933548
-3.8,-0.01352,-0.013576277
-3.7,-0.01317,-0.013219007
-3.6,-0.01281,-0.012861736
-3.5,-0.01246,-0.012504466
-3.4,-0.01211,-0.012147195
-3.3,-0.01176,-0.011789925
-3.2,-0.0114,-0.011432655
-3.1,-0.01104,-0.011075384
-3,-0.01069,-0.010718114
-2.9,-0.01033,-0.010360843
-2.8,-0.00997,-0.010003573
-2.7,-0.00961,-0.009646302
-2.6,-0.00926,-0.009289032
-2.5,-0.00891,-0.008931761
-2.4,-0.00855,-0.008574491
-2.3,-0.00819,-0.00821722
-2.2,-0.00783,-0.00785995
-2.1,-0.00747,-0.00750268
-2,-0.00712,-0.007145409
-1.9,-0.00677,-0.006788139
-1.8,-0.00641,-0.006430868
-1.7,-0.00605,-0.006073598
-1.6,-0.0057,-0.005716327
-1.5,-0.00534,-0.005359057
-1.4,-0.00498,-0.005001786
-1.3,-0.00463,-0.004644516
-1.2,-0.00427,-0.004287245
-1.1,-0.00391,-0.003929975
-1,-0.00355,-0.003572705
-0.9,-0.00319,-0.003215434
-0.8,-0.00283,-0.002858164
-0.7,-0.00247,-0.002500893
-0.6,-0.00212,-0.002143623
-0.5,-0.00176,-0.001786352
-0.4,-0.0014,-0.001429082
-0.3,-0.00104,-0.001071811
-0.2,-0.000726,-0.000714541
-0.1,-0.000368,-0.00035727
0,-1.53E-05,0
0.1,0.000206,0.00035727
0.2,0.000703,0.000714541
0.3,0.00106,0.001071811
0.4,0.001417,0.001429082
0.5,0.001774,0.001786352
0.6,0.00219,0.002143623
0.7,0.00255,0.002500893
0.8,0.0029,0.002858164
0.9,0.00326,0.003215434
1,0.00362,0.003572705
1.1,0.00398,0.003929975
1.2,0.00434,0.004287245
1.3,0.0047,0.004644516
1.4,0.00505,0.005001786
1.5,0.00541,0.005359057
1.6,0.00576,0.005716327
1.7,0.00612,0.006073598
1.8,0.00647,0.006430868
1.9,0.00683,0.006788139
2,0.00718,0.007145409
2.1,0.00753,0.00750268
2.2,0.00789,0.00785995
2.3,0.00825,0.00821722
2.4,0.0086,0.008574491
2.5,0.00895,0.008931761
2.6,0.00931,0.009289032
2.7,0.00967,0.009646302
2.8,0.01003,0.010003573
2.9,0.01038,0.010360843
3,0.01074,0.010718114
3.1,0.0111,0.011075384
3.2,0.01146,0.011432655
3.3,0.01182,0.011789925
3.4,0.01217,0.012147195
3.5,0.01252,0.012504466
3.6,0.01288,0.012861736
3.7,0.01322,0.013219007
3.8,0.01358,0.013576277
3.9,0.01392,0.013933548
4,0.01427,0.014290818
4.1,0.01461,0.014648089
4.2,0.01496,0.015005359
4.3,0.01518,0.01536263
4.4,0.01519,0.0157199
4.5,0.01519,0.01607717
4.6,0.0152,0.016434441
4.7,0.0152,0.016791711
4.8,0.01521,0.017148982
4.9,0.01521,0.017506252
5,0.01521,0.017863523
