Vin,I1,I2,I3,I4,I1,I2,I3,I4
-5,0.000128,6.30E-05,3.15E-05,1.57E-05,-0.000128,-0.000063,-0.0000315,-0.0000157
-4.9,0.000125,6.18E-05,3.09E-05,1.54E-05,-0.000125,-0.0000618,-0.0000309,-0.0000154
-4.8,0.000123,6.05E-05,3.02E-05,1.51E-05,-0.000123,-0.0000605,-0.0000302,-0.0000151
-4.7,0.00012,5.93E-05,2.96E-05,1.48E-05,-0.00012,-0.0000593,-0.0000296,-0.0000148
-4.6,0.000118,5.80E-05,2.90E-05,1.45E-05,-0.000118,-0.000058,-0.000029,-0.0000145
-4.5,0.000115,5.68E-05,2.84E-05,1.42E-05,-0.000115,-0.0000568,-0.0000284,-0.0000142
-4.4,0.000113,5.55E-05,2.77E-05,1.39E-05,-0.000113,-0.0000555,-0.0000277,-0.0000139
-4.3,0.00011,5.42E-05,2.71E-05,1.35E-05,-0.00011,-0.0000542,-0.0000271,-0.0000135
-4.2,0.000108,5.30E-05,2.65E-05,1.32E-05,-0.000108,-0.000053,-0.0000265,-0.0000132
-4.1,0.000105,5.17E-05,2.58E-05,1.29E-05,-0.000105,-0.0000517,-0.0000258,-0.0000129
-4,0.000102,5.02E-05,2.51E-05,1.25E-05,-0.000102,-0.0000502,-0.0000251,-0.0000125
-3.9,0.0001,4.90E-05,2.45E-05,1.22E-05,-0.0001,-0.000049,-0.0000245,-0.0000122
-3.8,9.54E-05,4.78E-05,2.39E-05,1.19E-05,-0.0000954,-0.0000478,-0.0000239,-0.0000119
-3.7,9.30E-05,4.65E-05,2.32E-05,1.16E-05,-0.000093,-0.0000465,-0.0000232,-0.0000116
-3.6,9.05E-05,4.53E-05,2.26E-05,1.13E-05,-0.0000905,-0.0000453,-0.0000226,-0.0000113
-3.5,8.80E-05,4.40E-05,2.20E-05,1.10E-05,-0.000088,-0.000044,-0.000022,-0.000011
-3.4,8.55E-05,4.28E-05,2.14E-05,1.06E-05,-0.0000855,-0.0000428,-0.0000214,-0.0000106
-3.3,8.30E-05,4.16E-05,2.08E-05,1.03E-05,-0.000083,-0.0000416,-0.0000208,-0.0000103
-3.2,8.05E-05,4.03E-05,2.01E-05,1.00E-05,-0.0000805,-0.0000403,-0.0000201,-0.00001
-3.1,7.80E-05,3.90E-05,1.95E-05,9.58E-06,-0.000078,-0.000039,-0.0000195,-0.00000958
-3,7.55E-05,3.78E-05,1.89E-05,9.27E-06,-0.0000755,-0.0000378,-0.0000189,-0.00000927
-2.9,7.30E-05,3.65E-05,1.82E-05,8.96E-06,-0.000073,-0.0000365,-0.0000182,-0.00000896
-2.8,7.05E-05,3.53E-05,1.76E-05,8.65E-06,-0.0000705,-0.0000353,-0.0000176,-0.00000865
-2.7,6.80E-05,3.40E-05,1.70E-05,8.34E-06,-0.000068,-0.000034,-0.000017,-0.00000834
-2.6,6.55E-05,3.28E-05,1.64E-05,8.03E-06,-0.0000655,-0.0000328,-0.0000164,-0.00000803
-2.5,6.30E-05,3.15E-05,1.57E-05,7.72E-06,-0.000063,-0.0000315,-0.0000157,-0.00000772
-2.4,6.04E-05,3.02E-05,1.51E-05,7.41E-06,-0.0000604,-0.0000302,-0.0000151,-0.00000741
-2.3,5.79E-05,2.90E-05,1.45E-05,7.10E-06,-0.0000579,-0.000029,-0.0000145,-0.0000071
-2.2,5.54E-05,2.77E-05,1.39E-05,6.79E-06,-0.0000554,-0.0000277,-0.0000139,-0.00000679
-2.1,5.28E-05,2.64E-05,1.31E-05,6.46E-06,-0.0000528,-0.0000264,-0.0000131,-0.00000646
-2,5.03E-05,2.51E-05,1.25E-05,6.15E-06,-0.0000503,-0.0000251,-0.0000125,-0.00000615
-1.9,4.78E-05,2.39E-05,1.19E-05,5.85E-06,-0.0000478,-0.0000239,-0.0000119,-0.00000585
-1.8,4.54E-05,2.26E-05,1.13E-05,5.54E-06,-0.0000454,-0.0000226,-0.0000113,-0.00000554
-1.7,4.29E-05,2.14E-05,1.06E-05,5.23E-06,-0.0000429,-0.0000214,-0.0000106,-0.00000523
-1.6,4.04E-05,2.02E-05,1.00E-05,4.92E-06,-0.0000404,-0.0000202,-0.00001,-0.00000492
-1.5,3.78E-05,1.89E-05,9.30E-06,4.61E-06,-0.0000378,-0.0000189,-0.0000093,-0.00000461
-1.4,3.53E-05,1.76E-05,8.67E-06,4.30E-06,-0.0000353,-0.0000176,-0.00000867,-0.0000043
-1.3,3.28E-05,1.64E-05,8.06E-06,3.99E-06,-0.0000328,-0.0000164,-0.00000806,-0.00000399
-1.2,3.03E-05,1.51E-05,7.43E-06,3.67E-06,-0.0000303,-0.0000151,-0.00000743,-0.00000367
-1.1,2.78E-05,1.39E-05,6.81E-06,3.36E-06,-0.0000278,-0.0000139,-0.00000681,-0.00000336
-1,2.53E-05,1.26E-05,6.19E-06,3.05E-06,-0.0000253,-0.0000126,-0.00000619,-0.00000305
-0.9,2.27E-05,1.13E-05,5.56E-06,2.74E-06,-0.0000227,-0.0000113,-0.00000556,-0.00000274
-0.8,2.02E-05,1.01E-05,4.93E-06,2.42E-06,-0.0000202,-0.0000101,-0.00000493,-0.00000242
-0.7,1.77E-05,8.69E-06,4.31E-06,2.11E-06,-0.0000177,-0.00000869,-0.00000431,-0.00000211
-0.6,1.52E-05,7.46E-06,3.69E-06,1.80E-06,-0.0000152,-0.00000746,-0.00000369,-0.0000018
-0.5,1.26E-05,6.20E-06,3.06E-06,1.49E-06,-0.0000126,-0.0000062,-0.00000306,-0.00000149
-0.4,1.01E-05,4.96E-06,2.44E-06,1.18E-06,-0.0000101,-0.00000496,-0.00000244,-0.00000118
-0.3,7.49E-06,3.71E-06,1.82E-06,8.56E-07,-0.00000749,-0.00000371,-0.00000182,-0.000000856
-0.2,4.99E-06,2.45E-06,1.18E-06,5.42E-07,-0.00000499,-0.00000245,-0.00000118,-0.000000542
-0.1,2.50E-06,1.21E-06,5.54E-07,2.29E-07,-0.0000025,-0.00000121,-0.000000554,-0.000000229
