"Vin","Vout"
-5.0,-1.659
-4.9,-1.639
-4.8,-1.605
-4.7,-1.573
-4.6,-1.539
-4.5,-1.506
-4.4,-1.473
-4.3,-1.439
-4.2,-1.406
-4.1,-1.372
-4.0,-1.333
-3.9,-1.3
-3.8,-1.267
-3.7,-1.234
-3.6,-1.201
-3.5,-1.168
-3.4,-1.135
-3.3,-1.102
-3.2,-1.069
-3.1,-1.036
-3.0,-1.002
-2.9,-0.969
-2.8,-0.936
-2.7,-0.902
-2.6,-0.869
-2.5,-0.836
-2.4,-0.802
-2.3,-0.769
-2.2,-0.736
-2.1,-0.702
-2.0,-0.669
-1.9,-0.636
-1.8,-0.602
-1.7,-0.569
-1.6,-0.536
-1.5,-0.502
-1.4,-0.469
-1.3,-0.436
-1.2,-0.402
-1.1,-0.368
-1.0,-0.335
-0.9,-0.301
-0.8,-0.267
-0.7,-0.234
-0.6,-0.201
-0.5,-0.167
-0.4,-0.134
-0.3,-0.101
-0.2,-0.067
-0.1,-0.034
0.0,0.0
0.1,0.012
0.2,0.067
0.3,0.101
0.4,0.135
0.5,0.169
0.6,0.201
0.7,0.235
0.8,0.268
0.9,0.301
1.0,0.335
1.1,0.369
1.2,0.402
1.3,0.436
1.4,0.469
1.5,0.502
1.6,0.536
1.7,0.569
1.8,0.602
1.9,0.635
2.0,0.668
2.1,0.701
2.2,0.735
2.3,0.769
2.4,0.801
2.5,0.835
2.6,0.868
2.7,0.901
2.8,0.935
2.9,0.968
3.0,1.002
3.1,1.035
3.2,1.068
3.3,1.102
3.4,1.134
3.5,1.168
3.6,1.201
3.7,1.234
3.8,1.267
3.9,1.299
4.0,1.332
4.1,1.366
4.2,1.399
4.3,1.432
4.4,1.465
4.5,1.498
4.6,1.531
4.7,1.564
4.8,1.597
4.9,1.631
5.0,1.664
