I,V
1.00E-09,-0.01
1.17E-09,0.086
1.38E-09,0.212
1.62E-09,0.29
1.91E-09,0.299
2.24E-09,0.306
2.63E-09,0.313
3.09E-09,0.319
3.63E-09,0.325
4.27E-09,0.33
5.01E-09,0.335
5.89E-09,0.341
6.92E-09,0.346
8.13E-09,0.351
9.55E-09,0.355
1.12E-08,0.36
1.32E-08,0.364
1.55E-08,0.368
1.82E-08,0.373
2.14E-08,0.377
2.51E-08,0.381
2.95E-08,0.386
3.47E-08,0.39
4.07E-08,0.394
4.79E-08,0.399
5.62E-08,0.403
6.61E-08,0.407
7.76E-08,0.411
9.12E-08,0.415
1.07E-07,0.419
1.26E-07,0.424
1.48E-07,0.428
1.74E-07,0.432
2.04E-07,0.435
2.40E-07,0.44
2.82E-07,0.444
3.31E-07,0.448
3.89E-07,0.453
4.57E-07,0.457
5.37E-07,0.461
6.31E-07,0.465
7.41E-07,0.469
8.71E-07,0.474
1.02E-06,0.478
1.20E-06,0.482
1.41E-06,0.486
1.66E-06,0.491
1.95E-06,0.495
2.29E-06,0.498
2.69E-06,0.503
3.16E-06,0.507
3.72E-06,0.511
4.37E-06,0.515
5.13E-06,0.52
6.03E-06,0.524
7.08E-06,0.528
8.32E-06,0.532
9.77E-06,0.537
1.15E-05,0.541
1.35E-05,0.545
1.58E-05,0.549
1.86E-05,0.554
2.19E-05,0.557
2.57E-05,0.562
3.02E-05,0.566
3.55E-05,0.571
4.17E-05,0.575
4.90E-05,0.58
5.75E-05,0.584
6.76E-05,0.589
7.94E-05,0.594
9.33E-05,0.598
0.000109648,0.603
0.000128825,0.607
0.000151356,0.612
0.000177828,0.617
0.00020893,0.621
0.000245471,0.626
0.000288403,0.631
0.000338844,0.636
0.000398107,0.641
0.000467735,0.646
0.000549541,0.652
0.000645654,0.657
0.000758578,0.662
0.000891251,0.667
0.001047129,0.672
0.001230269,0.678
0.00144544,0.683
0.001698244,0.688
0.001995262,0.694
0.002344229,0.699
0.002754229,0.705
0.003235937,0.711
0.003801894,0.716
0.004466836,0.722
0.005248075,0.729
0.00616595,0.735
0.00724436,0.741
0.00851138,0.748
0.01,0.754
