"Vin","Iin","V"
0.0,-1e-10,-0.001
0.05,9.9e-09,0.049
0.1,1.35e-08,0.099
0.15,1.76e-08,0.149
0.2,1.89e-08,0.199
0.25,2.14e-08,0.249
0.3,2.13e-08,0.299
0.35,2.87e-08,0.349
0.4,4.6e-08,0.4
0.45,2.26e-07,0.449
0.5,1.488e-06,0.5
0.55,9.24e-06,0.548
0.6,4.19e-05,0.586
0.65,0.0001117,0.612
0.7,0.000209,0.627
0.75,0.000317,0.638
0.8,0.000433,0.646
0.85,0.000551,0.653
0.9,0.000676,0.658
0.95,0.000799,0.663
1.0,0.000928,0.667
1.05,0.001058,0.67
1.1,0.001188,0.674
1.15,0.00132,0.676
1.2,0.00145,0.679
1.25,0.001581,0.682
1.3,0.001713,0.684
1.35,0.001844,0.686
1.4,0.001976,0.688
1.45,0.00215,0.688
1.5,0.00228,0.69
1.55,0.00242,0.691
1.6,0.00255,0.693
1.65,0.00268,0.694
1.7,0.00282,0.696
1.75,0.00295,0.697
1.8,0.00308,0.698
1.85,0.00322,0.699
1.9,0.00335,0.7
1.95,0.00348,0.701
2.0,0.00362,0.703
2.05,0.00375,0.703
2.1,0.00388,0.704
2.15,0.00402,0.706
2.2,0.00416,0.707
2.25,0.00429,0.708
2.3,0.00443,0.708
2.35,0.00456,0.709
2.4,0.0047,0.71
2.45,0.00483,0.711
2.5,0.00497,0.712
2.55,0.0051,0.712
2.6,0.00524,0.713
2.65,0.00537,0.714
2.7,0.00551,0.715
2.75,0.00564,0.715
2.8,0.00578,0.716
2.85,0.00591,0.716
2.9,0.00605,0.717
2.95,0.00618,0.718
3.0,0.00632,0.719
3.05,0.00646,0.719
3.1,0.0066,0.72
3.15,0.00674,0.72
3.2,0.00687,0.721
3.25,0.00701,0.722
3.3,0.00714,0.722
3.35,0.00728,0.723
3.4,0.00741,0.723
3.45,0.00754,0.724
3.5,0.00768,0.724
3.55,0.00781,0.725
3.6,0.00795,0.725
3.65,0.00808,0.726
3.7,0.00822,0.726
3.75,0.00835,0.727
3.8,0.00849,0.728
3.85,0.00863,0.728
3.9,0.00876,0.728
3.95,0.00889,0.729
4.0,0.00903,0.729
4.05,0.0092,0.73
4.1,0.00933,0.73
4.15,0.00946,0.731
4.2,0.0096,0.731
4.25,0.00974,0.731
4.3,0.00987,0.732
4.35,0.01001,0.732
4.4,0.01015,0.733
4.45,0.01029,0.733
4.5,0.01042,0.734
4.55,0.01056,0.734
4.6,0.01069,0.735
4.65,0.01082,0.735
4.7,0.01096,0.735
4.75,0.01109,0.736
4.8,0.01122,0.736
4.85,0.01136,0.736
4.9,0.0115,0.737
4.95,0.01164,0.738
5.0,0.01178,0.738
