"Vin","Iin","V"
0.0,-3e-10,-0.001
0.03,2.9e-09,0.029
0.06,4e-09,0.059
0.09,4.6e-09,0.089
0.12,5.3e-09,0.119
0.15,6.3e-09,0.149
0.18,6.7e-09,0.179
0.21,7.7e-09,0.209
0.24,8.3e-09,0.239
0.27,8.4e-09,0.269
0.3,9.3e-09,0.299
0.33,1.09e-08,0.328
0.36,1.56e-08,0.359
0.39,2.86e-08,0.39
0.42,6.65e-08,0.42
0.45,1.826e-07,0.45
0.48,5.76e-07,0.479
0.51,1.761e-06,0.509
0.54,4.98e-06,0.536
0.57,1.182e-05,0.558
0.6,2.41e-05,0.575
0.63,4.03e-05,0.589
0.66,5.92e-05,0.599
0.69,7.99e-05,0.607
0.72,0.0001022,0.613
0.75,0.0001257,0.619
0.78,0.0001497,0.623
0.81,0.0001736,0.627
0.84,0.0001979,0.631
0.87,0.000227,0.633
0.9,0.000252,0.636
0.93,0.000277,0.638
0.96,0.000302,0.64
0.99,0.000328,0.643
1.02,0.000355,0.644
1.05,0.000382,0.646
1.08,0.000408,0.648
1.11,0.000435,0.65
1.14,0.000462,0.652
1.17,0.000489,0.653
1.2,0.000515,0.655
1.23,0.000542,0.656
1.26,0.000568,0.657
1.29,0.000595,0.658
1.32,0.000622,0.66
1.35,0.000649,0.661
1.38,0.000676,0.662
1.41,0.000703,0.663
1.44,0.00073,0.664
1.47,0.000757,0.665
1.5,0.000785,0.666
1.53,0.000812,0.667
1.56,0.00084,0.668
1.59,0.000867,0.668
1.62,0.000894,0.669
1.65,0.000921,0.67
1.68,0.000948,0.671
1.71,0.000975,0.672
1.74,0.001002,0.672
1.77,0.001029,0.673
1.8,0.001056,0.674
1.83,0.001083,0.674
1.86,0.00111,0.675
1.89,0.001138,0.676
1.92,0.001166,0.676
1.95,0.001192,0.677
1.98,0.001219,0.678
2.01,0.001243,0.678
2.04,0.001272,0.679
2.07,0.001299,0.679
2.1,0.001326,0.68
2.13,0.001354,0.68
2.16,0.001381,0.681
2.19,0.001408,0.682
2.22,0.001436,0.682
2.25,0.001464,0.683
2.28,0.001492,0.683
2.31,0.00152,0.684
2.34,0.001547,0.684
2.37,0.001574,0.685
2.4,0.001601,0.685
2.43,0.001628,0.685
2.46,0.001656,0.686
2.49,0.001683,0.686
2.52,0.001711,0.687
2.55,0.001738,0.687
2.58,0.001765,0.688
2.61,0.001793,0.688
2.64,0.00182,0.689
2.67,0.001847,0.689
2.7,0.001874,0.689
2.73,0.001901,0.69
2.76,0.001928,0.69
2.79,0.001956,0.691
2.82,0.001983,0.691
2.85,0.00205,0.69
2.88,0.00207,0.69
2.91,0.0021,0.691
2.94,0.00213,0.691
2.97,0.00216,0.691
3.0,0.00218,0.692
