"V","I"
-0.01,1e-09
0.086,1.17489755494e-09
0.212,1.3803842646e-09
0.29,1.62181009736e-09
0.299,1.90546071796e-09
0.306,2.23872113857e-09
0.313,2.6302679919e-09
0.319,3.09029543251e-09
0.325,3.6307805477e-09
0.33,4.26579518802e-09
0.335,5.01187233627e-09
0.341,5.88843655356e-09
0.346,6.91830970919e-09
0.351,8.12830516164e-09
0.355,9.54992586021e-09
0.36,1.1220184543e-08
0.364,1.31825673856e-08
0.368,1.54881661891e-08
0.373,1.81970085861e-08
0.377,2.1379620895e-08
0.381,2.51188643151e-08
0.386,2.95120922667e-08
0.39,3.46736850453e-08
0.394,4.07380277804e-08
0.399,4.78630092323e-08
0.403,5.6234132519e-08
0.407,6.60693448008e-08
0.411,7.76247116629e-08
0.415,9.12010839356e-08
0.419,1.07151930524e-07
0.424,1.25892541179e-07
0.428,1.47910838817e-07
0.432,1.73780082875e-07
0.435,2.04173794467e-07
0.44,2.39883291902e-07
0.444,2.81838293126e-07
0.448,3.31131121483e-07
0.453,3.89045144994e-07
0.457,4.57088189615e-07
0.461,5.3703179637e-07
0.465,6.3095734448e-07
0.469,7.41310241301e-07
0.474,8.70963589956e-07
0.478,1.02329299228e-06
0.482,1.20226443462e-06
0.486,1.41253754462e-06
0.491,1.65958690744e-06
0.495,1.94984459976e-06
0.498,2.29086765277e-06
0.503,2.69153480393e-06
0.507,3.16227766017e-06
0.511,3.71535229097e-06
0.515,4.3651583224e-06
0.52,5.12861383991e-06
0.524,6.02559586074e-06
0.528,7.07945784384e-06
0.532,8.31763771103e-06
0.537,9.77237220956e-06
0.541,1.1481536215e-05
0.545,1.34896288259e-05
0.549,1.58489319246e-05
0.554,1.86208713666e-05
0.557,2.18776162395e-05
0.562,2.57039578277e-05
0.566,3.0199517204e-05
0.571,3.54813389234e-05
0.575,4.1686938347e-05
0.58,4.89778819368e-05
0.584,5.75439937337e-05
0.589,6.76082975392e-05
0.594,7.94328234724e-05
0.598,9.33254300797e-05
0.603,0.000109647819614
0.607,0.000128824955169
0.612,0.000151356124844
0.617,0.000177827941004
0.621,0.000208929613085
0.626,0.000245470891569
0.631,0.000288403150313
0.636,0.000338844156139
0.641,0.000398107170553
0.646,0.000467735141287
0.652,0.000549540873858
0.657,0.000645654229035
0.662,0.000758577575029
0.667,0.000891250938134
0.672,0.00104712854805
0.678,0.00123026877081
0.683,0.00144543977075
0.688,0.00169824365246
0.694,0.00199526231497
0.699,0.00234422881532
0.705,0.00275422870334
0.711,0.0032359365693
0.716,0.00380189396321
0.722,0.00446683592151
0.729,0.0052480746025
0.735,0.00616595001861
0.741,0.00724435960075
0.748,0.00851138038202
0.754,0.01
