"Vin","Iin","V"
0.0,-1e-10,-0.001
0.05,1.01e-08,0.049
0.1,1.22e-08,0.099
0.15,1.52e-08,0.149
0.2,1.6e-08,0.199
0.25,2.04e-08,0.249
0.3,2.12e-08,0.299
0.35,2.89e-08,0.349
0.4,4.5e-08,0.399
0.45,2.07e-07,0.447
0.5,9.65e-07,0.489
0.55,2.76e-06,0.516
0.6,5.35e-06,0.533
0.65,8.41e-06,0.545
0.7,1.164e-05,0.554
0.75,1.508e-05,0.561
0.8,1.854e-05,0.566
0.85,2.25e-05,0.57
0.9,2.61e-05,0.574
0.95,2.97e-05,0.577
1.0,3.35e-05,0.58
1.05,3.73e-05,0.583
1.1,4.11e-05,0.586
1.15,4.49e-05,0.588
1.2,4.87e-05,0.59
1.25,5.25e-05,0.592
1.3,5.63e-05,0.594
1.35,6.01e-05,0.595
1.4,6.39e-05,0.597
1.45,6.78e-05,0.599
1.5,7.16e-05,0.6
1.55,7.56e-05,0.602
1.6,7.94e-05,0.603
1.65,8.32e-05,0.604
1.7,8.7e-05,0.605
1.75,9.09e-05,0.606
1.8,9.48e-05,0.607
1.85,9.86e-05,0.608
1.9,0.0001025,0.61
1.95,0.0001063,0.611
2.0,0.0001101,0.612
2.05,0.0001138,0.612
2.1,0.0001177,0.613
2.15,0.0001216,0.614
2.2,0.0001255,0.615
2.25,0.0001294,0.616
2.3,0.0001333,0.616
2.35,0.0001372,0.617
2.4,0.0001411,0.618
2.45,0.0001449,0.619
2.5,0.0001488,0.62
2.55,0.0001527,0.62
2.6,0.0001566,0.621
2.65,0.0001605,0.621
2.7,0.0001643,0.622
2.75,0.0001682,0.623
2.8,0.0001721,0.623
2.85,0.000176,0.624
2.9,0.0001798,0.625
2.95,0.0001837,0.625
3.0,0.0001876,0.626
3.05,0.0001915,0.626
3.1,0.0001955,0.627
3.15,0.0001993,0.627
3.2,0.000206,0.627
3.25,0.000209,0.627
3.3,0.000213,0.628
3.35,0.000217,0.628
3.4,0.000221,0.628
3.45,0.000225,0.629
3.5,0.000228,0.629
3.55,0.000232,0.63
3.6,0.000236,0.63
3.65,0.00024,0.631
3.7,0.000244,0.631
3.75,0.000248,0.632
3.8,0.000252,0.632
3.85,0.000256,0.632
3.9,0.00026,0.633
3.95,0.000263,0.633
4.0,0.000267,0.634
4.05,0.000272,0.634
4.1,0.000276,0.634
4.15,0.00028,0.635
4.2,0.000284,0.635
4.25,0.000287,0.636
4.3,0.000292,0.636
4.35,0.000295,0.636
4.4,0.000299,0.637
4.45,0.000303,0.637
4.5,0.000307,0.637
4.55,0.000311,0.637
4.6,0.000315,0.638
4.65,0.000319,0.638
4.7,0.000322,0.639
4.75,0.000326,0.639
4.8,0.00033,0.639
4.85,0.000334,0.639
4.9,0.000338,0.64
4.95,0.000342,0.64
5.0,0.000346,0.64
