"Vb","Ib","Ie"
0.4,2.048e-07,-5e-10
0.4031,6e-08,-1.035e-07
0.4062,4.2e-08,-1.156e-07
0.4093,4.2e-08,-1.32e-07
0.4124,4.4e-08,-1.48e-07
0.4155,4.8e-08,-1.655e-07
0.4186,5.2e-08,-1.849e-07
0.4217,5.9e-08,-2.12e-07
0.4248,6.7e-08,-2.42e-07
0.4279,7.3e-08,-2.72e-07
0.431,8.2e-08,-3.05e-07
0.4341,9e-08,-3.42e-07
0.4372,1.01e-07,-3.84e-07
0.4403,1.15e-07,-4.39e-07
0.4434,1.27e-07,-4.93e-07
0.4465,1.42e-07,-5.52e-07
0.4496,1.59e-07,-6.21e-07
0.4527,1.78e-07,-6.96e-07
0.4558,2.03e-07,-7.97e-07
0.4589,2.26e-07,-8.94e-07
0.462,2.54e-07,-1.003e-06
0.4651,2.84e-07,-1.126e-06
0.4682,3.18e-07,-1.263e-06
0.4713,3.62e-07,-1.443e-06
0.4744,4.05e-07,-1.617e-06
0.4775,4.52e-07,-1.81e-06
0.4806,5.18e-07,-2.03e-06
0.4837,5.8e-07,-2.28e-06
0.4868,6.63e-07,-2.6e-06
0.4899,7.42e-07,-2.93e-06
0.493,8.29e-07,-3.28e-06
0.4961,9.3e-07,-3.69e-06
0.4992,1.04e-06,-4.13e-06
0.5023,1.183e-06,-4.71e-06
0.5054,1.321e-06,-5.28e-06
0.5085,1.475e-06,-5.91e-06
0.5116,1.649e-06,-6.63e-06
0.5147,1.844e-06,-7.44e-06
0.5178,2.17e-06,-8.7e-06
0.5209,2.41e-06,-9.75e-06
0.524,2.69e-06,-1.093e-05
0.5271,3e-06,-1.222e-05
0.5302,3.34e-06,-1.371e-05
0.5333,3.78e-06,-1.56e-05
0.5364,4.2e-06,-1.743e-05
0.5395,4.66e-06,-1.947e-05
0.5426,5.3e-06,-2.24e-05
0.5457,5.89e-06,-2.51e-05
0.5488,6.65e-06,-2.85e-05
0.5519,7.37e-06,-3.19e-05
0.555,8.15e-06,-3.56e-05
0.5581,9.02e-06,-3.98e-05
0.5612,9.98e-06,-4.44e-05
0.5643,1.117e-05,-5.04e-05
0.5674,1.232e-05,-5.61e-05
0.5705,1.355e-05,-6.24e-05
0.5736,1.489e-05,-6.94e-05
0.5767,1.634e-05,-7.71e-05
0.5798,1.813e-05,-8.68e-05
0.5829,1.98e-05,-9.61e-05
0.586,2.24e-05,-0.0001087
0.5891,2.43e-05,-0.0001203
0.5922,2.65e-05,-0.0001331
0.5953,2.93e-05,-0.0001497
0.5984,3.18e-05,-0.0001653
0.6015,3.45e-05,-0.0001826
0.6046,3.81e-05,-0.000201
0.6077,4.14e-05,-0.000222
0.6108,4.55e-05,-0.00025
0.6139,4.92e-05,-0.000276
0.617,5.33e-05,-0.000305
0.6201,5.76e-05,-0.000336
0.6232,6.21e-05,-0.00037
0.6263,6.8e-05,-0.000414
0.6294,7.33e-05,-0.000456
0.6325,7.89e-05,-0.0005
0.6356,8.49e-05,-0.00055
0.6387,9.15e-05,-0.000604
0.6418,9.97e-05,-0.000675
0.6449,0.0001073,-0.000741
0.648,0.0001154,-0.000813
0.6511,0.000124,-0.000891
0.6542,0.000133,-0.000975
0.6573,0.0001446,-0.001084
0.6604,0.000155,-0.001184
0.6635,0.0001661,-0.001293
0.6666,0.0001782,-0.001412
0.6697,0.0001908,-0.001541
0.6728,0.000212,-0.001736
0.6759,0.000226,-0.001892
0.679,0.000247,-0.00208
0.6821,0.000265,-0.00227
0.6852,0.000284,-0.00247
0.6883,0.000308,-0.00274
0.6914,0.00033,-0.00298
0.6945,0.000354,-0.00324
0.6976,0.000379,-0.00353
0.7007,0.000407,-0.00384
0.7038,0.000442,-0.00422
0.7069,0.000474,-0.00458
0.71,0.000508,-0.00496
