"Vb", "Ib", "Ic"
0.4,2.048e-07,-2.053e-07
0.4031,6e-08,-1.635e-07
0.4062,4.2e-08,-1.576e-07
0.4093,4.2e-08,-1.74e-07
0.4124,4.4e-08,-1.92e-07
0.4155,4.8e-08,-2.135e-07
0.4186,5.2e-08,-2.369e-07
0.4217,5.9e-08,-2.71e-07
0.4248,6.7e-08,-3.09e-07
0.4279,7.3e-08,-3.45e-07
0.431,8.2e-08,-3.87e-07
0.4341,9e-08,-4.32e-07
0.4372,1.01e-07,-4.85e-07
0.4403,1.15e-07,-5.54e-07
0.4434,1.27e-07,-6.2e-07
0.4465,1.42e-07,-6.94e-07
0.4496,1.59e-07,-7.8e-07
0.4527,1.78e-07,-8.74e-07
0.4558,2.03e-07,-1e-06
0.4589,2.26e-07,-1.12e-06
0.462,2.54e-07,-1.257e-06
0.4651,2.84e-07,-1.41e-06
0.4682,3.18e-07,-1.581e-06
0.4713,3.62e-07,-1.805e-06
0.4744,4.05e-07,-2.022e-06
0.4775,4.52e-07,-2.262e-06
0.4806,5.18e-07,-2.548e-06
0.4837,5.8e-07,-2.86e-06
0.4868,6.63e-07,-3.263e-06
0.4899,7.42e-07,-3.672e-06
0.493,8.29e-07,-4.109e-06
0.4961,9.3e-07,-4.62e-06
0.4992,1.04e-06,-5.17e-06
0.5023,1.183e-06,-5.893e-06
0.5054,1.321e-06,-6.601e-06
0.5085,1.475e-06,-7.385e-06
0.5116,1.649e-06,-8.279e-06
0.5147,1.844e-06,-9.284e-06
0.5178,2.17e-06,-1.087e-05
0.5209,2.41e-06,-1.216e-05
0.524,2.69e-06,-1.362e-05
0.5271,3e-06,-1.522e-05
0.5302,3.34e-06,-1.705e-05
0.5333,3.78e-06,-1.938e-05
0.5364,4.2e-06,-2.163e-05
0.5395,4.66e-06,-2.413e-05
0.5426,5.3e-06,-2.77e-05
0.5457,5.89e-06,-3.099e-05
0.5488,6.65e-06,-3.515e-05
0.5519,7.37e-06,-3.927e-05
0.555,8.15e-06,-4.375e-05
0.5581,9.02e-06,-4.882e-05
0.5612,9.98e-06,-5.438e-05
0.5643,1.117e-05,-6.157e-05
0.5674,1.232e-05,-6.842e-05
0.5705,1.355e-05,-7.595e-05
0.5736,1.489e-05,-8.429e-05
0.5767,1.634e-05,-9.344e-05
0.5798,1.813e-05,-0.00010493
0.5829,1.98e-05,-0.0001159
0.586,2.24e-05,-0.0001311
0.5891,2.43e-05,-0.0001446
0.5922,2.65e-05,-0.0001596
0.5953,2.93e-05,-0.000179
0.5984,3.18e-05,-0.0001971
0.6015,3.45e-05,-0.0002171
0.6046,3.81e-05,-0.0002391
0.6077,4.14e-05,-0.0002634
0.6108,4.55e-05,-0.0002955
0.6139,4.92e-05,-0.0003252
0.617,5.33e-05,-0.0003583
0.6201,5.76e-05,-0.0003936
0.6232,6.21e-05,-0.0004321
0.6263,6.8e-05,-0.000482
0.6294,7.33e-05,-0.0005293
0.6325,7.89e-05,-0.0005789
0.6356,8.49e-05,-0.0006349
0.6387,9.15e-05,-0.0006955
0.6418,9.97e-05,-0.0007747
0.6449,0.0001073,-0.0008483
0.648,0.0001154,-0.0009284
0.6511,0.000124,-0.001015
0.6542,0.000133,-0.001108
0.6573,0.0001446,-0.0012286
0.6604,0.000155,-0.001339
0.6635,0.0001661,-0.0014591
0.6666,0.0001782,-0.0015902
0.6697,0.0001908,-0.0017318
0.6728,0.000212,-0.001948
0.6759,0.000226,-0.002118
0.679,0.000247,-0.002327
0.6821,0.000265,-0.002535
0.6852,0.000284,-0.002754
0.6883,0.000308,-0.003048
0.6914,0.00033,-0.00331
0.6945,0.000354,-0.003594
0.6976,0.000379,-0.003909
0.7007,0.000407,-0.004247
0.7038,0.000442,-0.004662
0.7069,0.000474,-0.005054
0.71,0.000508,-0.005468
