Vb,Ib,Ie,Ic
0,-9.00E-10,-7.00E-10,2.00E-10
0.05,9.30E-09,-7.00E-10,-1.00E-08
0.1,1.11E-08,-9.00E-10,-1.20E-08
0.15,1.73E-08,-1.00E-09,-1.83E-08
0.2,2.18E-08,-5.00E-10,-2.23E-08
0.25,2.61E-08,-8.00E-10,-2.69E-08
0.3,3.04E-08,-2.10E-09,-3.25E-08
0.35,3.50E-08,-1.09E-08,-4.59E-08
0.4,5.42E-08,-7.21E-08,-1.26E-07
0.45,1.38E-07,-4.91E-07,-6.29E-07
0.5,8.48E-07,-3.30E-06,-4.15E-06
0.55,2.06E-06,-1.78E-05,-1.98E-05
0.6,1.41E-05,-6.46E-05,-7.87E-05
0.65,2.83E-05,-0.0001418,-1.70E-04
0.7,4.41E-05,-0.000236,-2.80E-04
0.75,5.96E-05,-0.000341,-4.01E-04
0.8,7.54E-05,-0.000454,-5.29E-04
0.85,9.10E-05,-0.000572,-6.63E-04
0.9,0.0001064,-0.000692,-7.98E-04
0.95,0.0001217,-0.000815,-9.37E-04
1,0.0001373,-0.000941,-1.08E-03
1.05,0.0001529,-0.001069,-1.22E-03
1.1,0.0001684,-0.001197,-1.37E-03
1.15,0.0001838,-0.001326,-1.51E-03
1.2,0.0001991,-0.001454,-1.65E-03
1.25,0.000217,-0.001586,-1.80E-03
1.3,0.000232,-0.001717,-1.95E-03
1.35,0.000247,-0.001845,-2.09E-03
1.4,0.000263,-0.001976,-2.24E-03
1.45,0.000281,-0.00209,-2.37E-03
1.5,0.000296,-0.00222,-2.52E-03
1.55,0.000313,-0.00236,-2.67E-03
1.6,0.000329,-0.00249,-2.82E-03
1.65,0.000345,-0.00262,-2.97E-03
1.7,0.000361,-0.00275,-3.11E-03
1.75,0.000377,-0.00288,-3.26E-03
1.8,0.000394,-0.00302,-3.41E-03
1.85,0.00041,-0.00315,-3.56E-03
1.9,0.000426,-0.00328,-3.71E-03
1.95,0.000442,-0.00341,-3.85E-03
2,0.000459,-0.00354,-4.00E-03
2.05,0.000475,-0.00368,-4.16E-03
2.1,0.000492,-0.00381,-4.30E-03
2.15,0.000509,-0.00395,-4.46E-03
2.2,0.000526,-0.00408,-4.61E-03
2.25,0.000543,-0.00422,-4.76E-03
2.3,0.00056,-0.00436,-4.92E-03
2.35,0.000577,-0.00449,-5.07E-03
2.4,0.000594,-0.00462,-5.21E-03
2.45,0.000611,-0.00476,-5.37E-03
2.5,0.000628,-0.00489,-5.52E-03
2.55,0.000646,-0.00502,-5.67E-03
2.6,0.000663,-0.00516,-5.82E-03
2.65,0.00068,-0.00529,-5.97E-03
2.7,0.000698,-0.00543,-6.13E-03
2.75,0.000715,-0.00557,-6.29E-03
2.8,0.000733,-0.0057,-6.43E-03
2.85,0.000751,-0.00584,-6.59E-03
2.9,0.000768,-0.00597,-6.74E-03
2.95,0.000786,-0.0061,-6.89E-03
3,0.000804,-0.00624,-7.04E-03
3.05,0.000822,-0.00638,-7.20E-03
3.1,0.000841,-0.00652,-7.36E-03
3.15,0.000858,-0.00665,-7.51E-03
3.2,0.000876,-0.00679,-7.67E-03
3.25,0.000895,-0.00693,-7.83E-03
3.3,0.000913,-0.00706,-7.97E-03
3.35,0.000932,-0.0072,-8.13E-03
3.4,0.00095,-0.00733,-8.28E-03
3.45,0.000967,-0.00746,-8.43E-03
3.5,0.000986,-0.0076,-8.59E-03
3.55,0.001005,-0.00773,-8.74E-03
3.6,0.001024,-0.00787,-8.89E-03
3.65,0.001042,-0.008,-9.04E-03
3.7,0.001061,-0.00814,-9.20E-03
3.75,0.00108,-0.00827,-9.35E-03
3.8,0.001099,-0.00841,-9.51E-03
3.85,0.001118,-0.00854,-9.66E-03
3.9,0.001137,-0.00867,-9.81E-03
3.95,0.001156,-0.0088,-9.96E-03
4,0.001175,-0.00894,-1.01E-02
4.05,0.001195,-0.00908,-1.03E-02
4.1,0.001215,-0.00921,-1.04E-02
4.15,0.001235,-0.00935,-1.06E-02
4.2,0.001255,-0.00949,-1.07E-02
4.25,0.001275,-0.00962,-1.09E-02
4.3,0.001295,-0.00976,-1.11E-02
4.35,0.001315,-0.00989,-1.12E-02
4.4,0.001335,-0.01003,-1.14E-02
4.45,0.001356,-0.01016,-1.15E-02
4.5,0.001376,-0.0103,-1.17E-02
4.55,0.001397,-0.01043,-1.18E-02
4.6,0.001418,-0.01057,-1.20E-02
4.65,0.001439,-0.0107,-1.21E-02
4.7,0.001461,-0.01084,-1.23E-02
4.75,0.001482,-0.01097,-1.25E-02
4.8,0.001503,-0.01111,-1.26E-02
4.85,0.001525,-0.01125,-1.28E-02
4.9,0.001548,-0.01139,-1.29E-02
4.95,0.00157,-0.01153,-1.31E-02
5,0.001593,-0.01166,-1.33E-02
