"Vin","Iin","V"
0.0,0.0,-0.001
0.03,3.1e-09,0.029
0.06,3.7e-09,0.059
0.09,4.5e-09,0.089
0.12,5.6e-09,0.119
0.15,6.1e-09,0.149
0.18,6.7e-09,0.179
0.21,7.1e-09,0.209
0.24,8e-09,0.239
0.27,8.9e-09,0.269
0.3,1e-08,0.299
0.33,1.15e-08,0.328
0.36,1.57e-08,0.359
0.39,2.93e-08,0.389
0.42,6.71e-08,0.419
0.45,1.757e-07,0.448
0.48,4.83e-07,0.474
0.51,1.132e-06,0.497
0.54,2.18e-06,0.514
0.57,3.53e-06,0.526
0.6,5.15e-06,0.536
0.63,6.94e-06,0.544
0.66,8.81e-06,0.55
0.69,1.074e-05,0.555
0.72,1.276e-05,0.56
0.75,1.484e-05,0.564
0.78,1.693e-05,0.567
0.81,1.899e-05,0.57
0.84,2.15e-05,0.572
0.87,2.37e-05,0.574
0.9,2.59e-05,0.577
0.93,2.8e-05,0.579
0.96,3.02e-05,0.581
0.99,3.25e-05,0.583
1.02,3.48e-05,0.584
1.05,3.7e-05,0.586
1.08,3.93e-05,0.588
1.11,4.16e-05,0.589
1.14,4.39e-05,0.59
1.17,4.62e-05,0.592
1.2,4.84e-05,0.593
1.23,5.07e-05,0.594
1.26,5.3e-05,0.595
1.29,5.53e-05,0.596
1.32,5.76e-05,0.598
1.35,5.98e-05,0.599
1.38,6.21e-05,0.6
1.41,6.45e-05,0.6
1.44,6.68e-05,0.602
1.47,6.9e-05,0.602
1.5,7.14e-05,0.603
1.53,7.38e-05,0.604
1.56,7.61e-05,0.605
1.59,7.84e-05,0.606
1.62,8.07e-05,0.606
1.65,8.3e-05,0.607
1.68,8.53e-05,0.608
1.71,8.75e-05,0.609
1.74,8.98e-05,0.609
1.77,9.22e-05,0.61
1.8,9.45e-05,0.611
1.83,9.68e-05,0.611
1.86,9.91e-05,0.612
1.89,0.0001014,0.612
1.92,0.0001038,0.613
1.95,0.000106,0.614
1.98,0.0001083,0.614
2.01,0.0001104,0.615
2.04,0.0001128,0.615
2.07,0.0001151,0.616
2.1,0.0001175,0.616
2.13,0.0001198,0.617
2.16,0.0001221,0.617
2.19,0.0001245,0.618
2.22,0.0001268,0.618
2.25,0.0001291,0.619
2.28,0.0001315,0.62
2.31,0.0001339,0.62
2.34,0.0001362,0.62
2.37,0.0001385,0.621
2.4,0.0001408,0.621
2.43,0.0001431,0.622
2.46,0.0001455,0.622
2.49,0.0001478,0.622
2.52,0.0001501,0.623
2.55,0.0001525,0.623
2.58,0.0001548,0.624
2.61,0.0001571,0.624
2.64,0.0001594,0.624
2.67,0.0001617,0.625
2.7,0.000164,0.625
2.73,0.0001664,0.626
2.76,0.0001688,0.626
2.79,0.0001711,0.626
2.82,0.0001734,0.627
2.85,0.0001757,0.627
2.88,0.000178,0.627
2.91,0.0001803,0.628
2.94,0.0001826,0.628
2.97,0.000185,0.628
3.0,0.0001873,0.629
