"Vb","Ve"
0.0,0.002
0.05,0.002
0.1,0.002
0.15,0.002
0.2,0.002
0.25,0.002
0.3,0.002
0.35,0.002
0.4,0.003
0.45,0.006
0.5,0.019
0.55,0.045
0.6,0.08
0.65,0.119
0.7,0.161
0.75,0.204
0.8,0.249
0.85,0.294
0.9,0.34
0.95,0.386
1.0,0.434
1.05,0.482
1.1,0.529
1.15,0.577
1.2,0.624
1.25,0.672
1.3,0.72
1.35,0.768
1.4,0.817
1.45,0.865
1.5,0.913
1.55,0.962
1.6,1.01
1.65,1.059
1.7,1.107
1.75,1.155
1.8,1.205
1.85,1.253
1.9,1.301
1.95,1.349
2.0,1.397
2.05,1.445
2.1,1.494
2.15,1.543
2.2,1.592
2.25,1.642
2.3,1.691
2.35,1.739
2.4,1.787
2.45,1.835
2.5,1.884
2.55,1.934
2.6,1.982
2.65,2.042
2.7,2.09
2.75,2.138
2.8,2.188
2.85,2.238
2.9,2.286
2.95,2.336
3.0,2.386
3.05,2.438
3.1,2.486
3.15,2.536
3.2,2.584
3.25,2.634
3.3,2.684
3.35,2.734
3.4,2.782
3.45,2.83
3.5,2.88
3.55,2.93
3.6,2.978
3.65,3.028
3.7,3.076
3.75,3.126
3.8,3.174
3.85,3.224
3.9,3.272
3.95,3.318
4.0,3.368
4.05,3.418
4.1,3.468
4.15,3.518
4.2,3.566
4.25,3.616
4.3,3.664
4.35,3.714
4.4,3.762
4.45,3.81
4.5,3.86
4.55,3.908
4.6,3.958
4.65,4.006
4.7,4.054
4.75,4.102
4.8,4.116
4.85,4.116
4.9,4.116
4.95,4.116
5.0,4.116
