"Vb","Ve"
0.0,5.025
0.05,4.116
0.1,5.025
0.15,4.116
0.2,5.025
0.25,4.116
0.3,5.025
0.35,5.025
0.4,4.116
0.45,5.03
0.5,4.116
0.55,5.0
0.6,4.116
0.65,4.94
0.7,4.116
0.75,4.875
0.8,4.116
0.85,4.81
0.9,4.116
0.95,4.74
1.0,4.116
1.05,4.67
1.1,4.116
1.15,4.6
1.2,4.116
1.25,4.525
1.3,4.116
1.35,4.455
1.4,4.116
1.45,4.116
1.5,4.116
1.55,4.116
1.6,4.116
1.65,4.116
1.7,4.116
1.75,4.116
1.8,4.102
1.85,4.064
1.9,4.028
1.95,3.992
2.0,3.958
2.05,3.92
2.1,3.884
2.15,3.846
2.2,3.808
2.25,3.77
2.3,3.732
2.35,3.696
2.4,3.658
2.45,3.622
2.5,3.584
2.55,3.546
2.6,3.508
2.65,3.472
2.7,3.436
2.75,3.398
2.8,3.36
2.85,3.322
2.9,3.286
2.95,3.25
3.0,3.212
3.05,3.172
3.1,3.136
3.15,3.1
3.2,3.064
3.25,3.026
3.3,2.99
3.35,2.954
3.4,2.922
3.45,2.906
3.5,2.922
3.55,2.954
3.6,2.994
3.65,3.034
3.7,3.076
3.75,3.12
3.8,3.164
3.85,3.21
3.9,3.254
3.95,3.3
4.0,3.346
4.05,3.394
4.1,3.44
4.15,3.488
4.2,3.536
4.25,3.582
4.3,3.63
4.35,3.676
4.4,3.724
4.45,3.772
4.5,3.818
4.55,3.868
4.6,3.914
4.65,3.962
4.7,4.01
4.75,4.056
4.8,4.104
4.85,4.116
4.9,4.116
4.95,4.116
5.0,4.116
