,Emitter Currents,,,,,,Collector Currents,,,
Vb,Run 1,Run 2,Run 3,Run 4,,Vb,Run 1,Run 2,Run 3,Run 4
0,-4.00E-10,-6.00E-10,-7.00E-10,-5.00E-10,,0,-1.20E-09,-1.20E-09,-9.00E-10,-1.00E-09
0.05,-7.00E-10,-5.00E-10,-8.00E-10,-5.00E-10,,0.05,9.90E-09,9.20E-09,1.11E-08,8.70E-09
0.1,-5.00E-10,-4.00E-10,-7.00E-10,-7.00E-10,,0.1,1.40E-08,1.18E-08,1.26E-08,1.19E-08
0.15,-6.00E-10,-9.00E-10,-4.00E-10,-9.00E-10,,0.15,1.88E-08,1.53E-08,1.35E-08,1.60E-08
0.2,-1.30E-09,-1.20E-09,-7.00E-10,-1.40E-09,,0.2,2.52E-08,1.71E-08,1.65E-08,1.96E-08
0.25,-5.10E-09,-5.70E-09,-6.00E-10,-5.20E-09,,0.25,2.89E-08,2.01E-08,1.92E-08,2.17E-08
0.3,-3.25E-08,-3.32E-08,-4.00E-10,-3.21E-08,,0.3,3.24E-08,2.35E-08,2.07E-08,2.30E-08
0.35,-2.05E-07,-2.05E-07,-6.00E-10,-2.05E-07,,0.35,3.55E-08,2.71E-08,2.48E-08,2.32E-08
0.4,-1.46E-06,-1.50E-06,-6.00E-10,-1.44E-06,,0.4,2.34E-08,1.52E-08,2.54E-08,1.46E-08
0.45,-9.81E-06,-1.01E-05,-7.00E-10,-9.70E-06,,0.45,3.24E-08,2.50E-08,2.76E-08,2.33E-08
0.5,-6.79E-05,-6.96E-05,-5.00E-10,-6.72E-05,,0.5,9.53E-08,8.80E-08,3.34E-08,8.60E-08
0.55,-0.000471,-0.00046,-6.00E-10,-0.0041,,0.55,5.31E-07,5.62E-07,3.68E-08,2.06E-06
0.6,-0.0045,-0.00416,-6.00E-10,-0.01088,,0.6,2.06E-06,2.06E-06,3.61E-08,7.24E-05
0.65,-0.01071,-0.01229,-1.00E-09,-0.01274,,0.65,6.50E-05,8.05E-05,3.45E-08,8.47E-05
0.7,-0.01407,-0.01436,-6.00E-10,-0.01483,,0.7,7.76E-05,9.28E-05,3.86E-08,9.58E-05
0.75,-0.02036,-0.01772,-9.00E-10,-0.01794,,0.75,8.95E-05,0.0001033,3.67E-08,0.0001025
0.8,-0.02036,-0.02036,-7.00E-10,-0.02036,,0.8,8.89E-05,0.0001134,4.23E-08,0.000117
0.85,-0.02036,-0.02036,-6.00E-10,-0.02036,,0.85,8.84E-05,0.0001129,4.21E-08,0.0001172
0.9,-0.02036,-0.02036,-8.00E-10,-0.02036,,0.9,8.78E-05,0.0001121,4.24E-08,0.0001167
0.95,-0.02036,-0.02036,-7.00E-10,-0.02036,,0.95,8.72E-05,0.0001113,4.50E-08,0.0001158
1,-0.02036,-0.02036,-6.00E-10,-0.02036,,1,8.65E-05,0.0001102,5.11E-08,0.0001146
1.05,-0.02036,-0.02036,-7.00E-10,-0.02036,,1.05,8.57E-05,0.0001091,5.67E-08,0.0001133
1.1,-0.02036,-0.02036,-6.00E-10,-0.02036,,1.1,8.48E-05,0.0001078,5.45E-08,0.0001119
1.15,-0.02036,-0.02036,-5.00E-10,-0.02036,,1.15,8.38E-05,0.0001064,6.04E-08,0.0001104
1.2,-0.02036,-0.02036,-6.00E-10,-0.02036,,1.2,8.27E-05,0.000105,6.21E-08,0.0001087
1.25,-0.02036,-0.02036,-5.00E-10,-0.02036,,1.25,8.16E-05,0.0001034,7.03E-08,0.0001071
1.3,-0.02036,-0.02036,-7.00E-10,-0.02036,,1.3,8.04E-05,0.0001017,6.47E-08,0.0001052
1.35,-0.02036,-0.02036,-4.00E-10,-0.02036,,1.35,7.91E-05,0.0001,6.30E-08,0.0001034
1.4,-0.02036,-0.02036,-8.00E-10,-0.02036,,1.4,7.78E-05,9.82E-05,7.05E-08,0.0001014
1.45,-0.02036,-0.02036,-6.00E-10,-0.02036,,1.45,7.65E-05,9.63E-05,6.60E-08,9.94E-05
1.5,-0.02036,-0.02036,-5.00E-10,-0.02036,,1.5,7.53E-05,9.44E-05,8.20E-08,9.74E-05
1.55,-0.02036,-0.02036,-9.00E-10,-0.02036,,1.55,7.41E-05,9.25E-05,8.65E-08,9.54E-05
1.6,-0.02036,-0.02036,-8.00E-10,-0.02036,,1.6,7.29E-05,9.07E-05,8.28E-08,9.34E-05
1.65,-0.02036,-0.02036,-4.00E-10,-0.02036,,1.65,7.19E-05,8.89E-05,8.86E-08,9.15E-05
1.7,-0.02036,-0.02036,-7.00E-10,-0.02036,,1.7,7.09E-05,8.72E-05,8.25E-08,8.97E-05
1.75,-0.02036,-0.02036,-6.00E-10,-0.02036,,1.75,6.99E-05,8.56E-05,8.50E-08,8.80E-05
1.8,-0.02036,-0.02036,-4.00E-10,-0.02036,,1.8,6.90E-05,8.40E-05,9.77E-08,8.64E-05
1.85,-0.02036,-0.02036,-7.00E-10,-0.02036,,1.85,6.81E-05,8.25E-05,8.72E-08,8.48E-05
1.9,-0.02036,-0.02036,-6.00E-10,-0.02036,,1.9,6.73E-05,8.11E-05,9.95E-08,8.32E-05
1.95,-0.02036,-0.02036,-4.00E-10,-0.02036,,1.95,6.65E-05,7.97E-05,1.07E-07,8.17E-05
2,-0.02036,-0.02036,-6.00E-10,-0.02036,,2,6.57E-05,7.84E-05,9.78E-08,8.03E-05
2.05,-0.02036,-0.02036,-7.00E-10,-0.02036,,2.05,6.49E-05,7.70E-05,1.38E-07,7.89E-05
2.1,-0.02036,-0.02036,-8.00E-10,-0.02036,,2.1,6.42E-05,7.57E-05,1.42E-07,7.76E-05
2.15,-0.02036,-0.02036,-8.00E-10,-0.02036,,2.15,6.35E-05,7.45E-05,1.47E-07,7.63E-05
2.2,-0.02036,-0.02036,-8.00E-10,-0.02036,,2.2,6.28E-05,7.33E-05,1.47E-07,7.51E-05
2.25,-0.02036,-0.02036,-6.00E-10,-0.02036,,2.25,6.22E-05,7.22E-05,1.49E-07,7.39E-05
2.3,-0.02036,-0.02036,-9.00E-10,-0.02036,,2.3,6.16E-05,7.11E-05,1.53E-07,7.28E-05
2.35,-0.02036,-0.02036,-5.00E-10,-0.02036,,2.35,6.11E-05,7.01E-05,1.49E-07,7.17E-05
2.4,-0.02036,-0.02036,-7.00E-10,-0.02036,,2.4,6.05E-05,6.91E-05,1.53E-07,7.07E-05
2.45,-0.02036,-0.02036,-5.00E-10,-0.02036,,2.45,6.00E-05,6.81E-05,1.56E-07,6.97E-05
2.5,-0.02036,-0.02036,-6.00E-10,-0.02036,,2.5,5.94E-05,6.72E-05,1.61E-07,6.87E-05
2.55,-0.02036,-0.02036,-7.00E-10,-0.02036,,2.55,5.89E-05,6.63E-05,1.67E-07,6.78E-05
2.6,-0.02036,-0.02036,-7.00E-10,-0.02036,,2.6,5.85E-05,6.55E-05,1.65E-07,6.69E-05
2.65,-0.02036,-0.02036,-6.00E-10,-0.02036,,2.65,5.80E-05,6.46E-05,1.73E-07,6.61E-05
2.7,-0.02036,-0.02036,-6.00E-10,-0.02036,,2.7,5.76E-05,6.38E-05,1.67E-07,6.53E-05
2.75,-0.02036,-0.02036,-6.00E-10,-0.02036,,2.75,5.71E-05,6.31E-05,1.76E-07,6.44E-05
2.8,-0.02036,-0.02036,-8.00E-10,-0.02036,,2.8,5.67E-05,6.23E-05,1.81E-07,6.37E-05
2.85,-0.02036,-0.02036,-4.00E-10,-0.02036,,2.85,5.63E-05,6.17E-05,1.74E-07,6.29E-05
2.9,-0.02036,-0.02036,-4.00E-10,-0.02036,,2.9,5.59E-05,6.10E-05,1.75E-07,6.22E-05
2.95,-0.02036,-0.02036,-9.00E-10,-0.02036,,2.95,5.56E-05,6.04E-05,1.78E-07,6.16E-05
3,-0.02036,-0.02036,-6.00E-10,-0.02036,,3,5.52E-05,5.97E-05,1.88E-07,6.09E-05
3.05,-0.02036,-0.02036,-5.00E-10,-0.02036,,3.05,5.48E-05,5.91E-05,1.94E-07,6.03E-05
3.1,-0.02036,-0.02036,-4.00E-10,-0.02036,,3.1,5.45E-05,5.85E-05,1.93E-07,5.97E-05
3.15,-0.02036,-0.02036,-4.00E-10,-0.02036,,3.15,5.41E-05,5.80E-05,1.88E-07,5.91E-05
3.2,-0.02036,-0.02036,-4.00E-10,-0.02036,,3.2,5.38E-05,5.74E-05,1.90E-07,5.85E-05
3.25,-0.02036,-0.02036,-8.00E-10,-0.02036,,3.25,5.34E-05,5.69E-05,1.96E-07,5.80E-05
3.3,-0.02036,-0.02036,-8.00E-10,-0.02036,,3.3,5.31E-05,5.64E-05,1.95E-07,5.74E-05
3.35,-0.02036,-0.02036,-4.00E-10,-0.02036,,3.35,5.28E-05,5.59E-05,2.01E-07,5.69E-05
3.4,-0.02036,-0.02036,-6.00E-10,-0.02036,,3.4,5.24E-05,5.54E-05,1.98E-07,5.64E-05
3.45,-0.02036,-0.02036,-6.00E-10,-0.02036,,3.45,5.21E-05,5.49E-05,1.98E-07,5.58E-05
3.5,-0.02036,-0.02036,-6.00E-10,-0.02036,,3.5,5.18E-05,5.44E-05,2.01E-07,5.53E-05
3.55,-0.02036,-0.02036,-7.00E-10,-0.02036,,3.55,5.15E-05,5.39E-05,2.03E-07,5.48E-05
