Run 1
Vb, Ib, Ie, Ic
0.0,-7e-10,-4e-10,3e-10
0.05,1.01e-08,-5e-10,-1.06e-08
0.1,1.48e-08,-5e-10,-1.53e-08
0.15,2.03e-08,-3e-10,-2.06e-08
0.2,2.97e-08,-5e-10,-3.02e-08
0.25,3.65e-08,-5e-10,-3.7e-08
0.3,4.3e-08,-4e-10,-4.34e-08
0.35,4.83e-08,-5e-10,-4.88e-08
0.4,5.27e-08,-6e-10,-5.33e-08
0.45,5.73e-08,-5e-10,-5.78e-08
0.5,6.37e-08,-5e-10,-6.42e-08
0.55,7.06e-08,-4e-10,-7.1e-08
0.6,7e-08,-4e-10,-7.04e-08
0.65,6.84e-08,-5e-10,-6.89e-08
0.7,6.27e-08,-5e-10,-6.32e-08
0.75,6.14e-08,-5e-10,-6.19e-08
0.8,6.65e-08,-5e-10,-6.7e-08
0.85,6.78e-08,-4e-10,-6.82e-08
0.9,6.94e-08,-5e-10,-6.99e-08
0.95,7.02e-08,-3e-10,-7.05e-08
1.0,4.2e-08,-6e-10,-4.26e-08
1.05,4.4e-08,-4e-10,-4.44e-08
1.1,4.4e-08,-5e-10,-4.45e-08
1.15,4.3e-08,-5e-10,-4.35e-08
1.2,4.5e-08,-4e-10,-4.54e-08
1.25,4.5e-08,-7e-10,-4.57e-08
1.3,4.6e-08,-3e-10,-4.63e-08
1.35,4.8e-08,-5e-10,-4.85e-08
1.4,4.8e-08,-5e-10,-4.85e-08
1.45,4.6e-08,-7e-10,-4.67e-08
1.5,4.8e-08,-4e-10,-4.84e-08
1.55,4.9e-08,-5e-10,-4.95e-08
1.6,4.8e-08,-6e-10,-4.86e-08
1.65,5.2e-08,-6e-10,-5.26e-08
1.7,5e-08,-3e-10,-5.03e-08
1.75,4.9e-08,-7e-10,-4.97e-08
1.8,5e-08,-5e-10,-5.05e-08
1.85,5e-08,-6e-10,-5.06e-08
1.9,5.3e-08,-6e-10,-5.36e-08
1.95,5.2e-08,-6e-10,-5.26e-08
2.0,5.2e-08,-4e-10,-5.24e-08
2.05,5.2e-08,-4e-10,-5.24e-08
2.1,5.2e-08,-5e-10,-5.25e-08
2.15,5.5e-08,-5e-10,-5.55e-08
2.2,5.3e-08,-6e-10,-5.36e-08
2.25,5.3e-08,-5e-10,-5.35e-08
2.3,5.6e-08,-4e-10,-5.64e-08
2.35,5.5e-08,-4e-10,-5.54e-08
2.4,5.5e-08,-5e-10,-5.55e-08
2.45,5.8e-08,-5e-10,-5.85e-08
2.5,5.7e-08,-5e-10,-5.75e-08
2.55,5.5e-08,-6e-10,-5.56e-08
2.6,5.6e-08,-5e-10,-5.65e-08
2.65,6e-08,-4e-10,-6.04e-08
2.7,5.7e-08,-6e-10,-5.76e-08
2.75,5.8e-08,-5e-10,-5.85e-08
2.8,6e-08,-5e-10,-6.05e-08
2.85,5.9e-08,-5e-10,-5.95e-08
2.9,6.1e-08,-6e-10,-6.16e-08
2.95,5.7e-08,-5e-10,-5.75e-08
3.0,6e-08,-7e-10,-6.07e-08
3.05,6.1e-08,-4e-10,-6.14e-08
3.1,6e-08,-6e-10,-6.06e-08
3.15,6.2e-08,-5e-10,-6.25e-08
3.2,6.2e-08,-5e-10,-6.25e-08
3.25,6.4e-08,-6e-10,-6.46e-08
3.3,6.1e-08,-5e-10,-6.15e-08
3.35,5.6e-08,-5e-10,-5.65e-08
3.4,6.2e-08,-5e-10,-6.25e-08
3.45,6.2e-08,-5e-10,-6.25e-08
3.5,6.3e-08,-6e-10,-6.36e-08
3.55,6.6e-08,-6e-10,-6.66e-08
3.6,6.7e-08,-6e-10,-6.76e-08
3.65,6e-08,-7e-10,-6.07e-08
3.7,6.5e-08,-5e-10,-6.55e-08
3.75,6.8e-08,-5e-10,-6.85e-08
3.8,6.6e-08,-6e-10,-6.66e-08
3.85,6.4e-08,-5e-10,-6.45e-08
3.9,6.4e-08,-5e-10,-6.45e-08
3.95,6.4e-08,-6e-10,-6.46e-08
4.0,6.4e-08,-6e-10,-6.46e-08
4.05,6.8e-08,-5e-10,-6.85e-08
4.1,7.2e-08,-5e-10,-7.25e-08
4.15,7e-08,-6e-10,-7.06e-08
4.2,6.6e-08,-4e-10,-6.64e-08
4.25,7.2e-08,-5e-10,-7.25e-08
4.3,7.2e-08,-7e-10,-7.27e-08
4.35,6.5e-08,-7e-10,-6.57e-08
4.4,7.1e-08,-6e-10,-7.16e-08
4.45,7.5e-08,-5e-10,-7.55e-08
4.5,7.2e-08,-6e-10,-7.26e-08
4.55,6.6e-08,-6e-10,-6.66e-08
4.6,7.4e-08,-5e-10,-7.45e-08
4.65,7.1e-08,-5e-10,-7.15e-08
4.7,6.7e-08,-6e-10,-6.76e-08
4.75,7.6e-08,-5e-10,-7.65e-08
4.8,7e-08,-5e-10,-7.05e-08
4.85,7.2e-08,-6e-10,-7.26e-08
4.9,7.6e-08,-6e-10,-7.66e-08
4.95,6.7e-08,-5e-10,-6.75e-08
5.0,7.8e-08,-7e-10,-7.87e-08
Run 2
Vb, Ib, Ie, Ic
0.0,-3.7e-09,-6e-10,3.1e-09
0.05,9.4e-09,-4e-10,-9.8e-09
0.1,1.23e-08,-5e-10,-1.28e-08
0.15,1.54e-08,-5e-10,-1.59e-08
0.2,1.74e-08,-4e-10,-1.78e-08
0.25,1.95e-08,-6e-10,-2.01e-08
0.3,2.21e-08,-8e-10,-2.29e-08
0.35,2.31e-08,-2e-10,-2.33e-08
0.4,2.62e-08,-4e-10,-2.66e-08
0.45,2.84e-08,-5e-10,-2.89e-08
0.5,3.08e-08,-4e-10,-3.12e-08
0.55,3.32e-08,-6e-10,-3.38e-08
0.6,3.46e-08,-8e-10,-3.54e-08
0.65,3.52e-08,-4e-10,-3.56e-08
0.7,3.6e-08,-1e-09,-3.7e-08
0.75,3.59e-08,-5e-10,-3.64e-08
0.8,4e-08,-8e-10,-4.08e-08
0.85,4.29e-08,-1e-09,-4.39e-08
0.9,4.22e-08,-5e-10,-4.27e-08
0.95,4.48e-08,-6e-10,-4.54e-08
1.0,5.26e-08,-5e-10,-5.31e-08
1.05,5.05e-08,-8e-10,-5.13e-08
1.1,5.09e-08,-3e-10,-5.12e-08
1.15,5.56e-08,-5e-10,-5.61e-08
1.2,5.36e-08,-5e-10,-5.41e-08
1.25,6.57e-08,-5e-10,-6.62e-08
1.3,7.5e-08,-5e-10,-7.55e-08
1.35,6.75e-08,-4e-10,-6.79e-08
1.4,7.05e-08,-1.1e-09,-7.16e-08
1.45,6.39e-08,-6e-10,-6.45e-08
1.5,7.79e-08,-6e-10,-7.85e-08
1.55,8.26e-08,-5e-10,-8.31e-08
1.6,8.05e-08,-1e-09,-8.15e-08
1.65,8.68e-08,-8e-10,-8.76e-08
1.7,9.06e-08,-6e-10,-9.12e-08
1.75,9.98e-08,-7e-10,-1.005e-07
1.8,1.097e-07,-8e-10,-1.105e-07
1.85,1.05e-07,-3e-10,-1.053e-07
1.9,1.151e-07,-4e-10,-1.155e-07
