Run 1,,,,,,Run 2,,,,,,Run 3,,,,,,Run 4,,,,
Vb, Ib1,Ie, Ie,Ic1,,Vb, Ib2, Ie,Ie,Ic2,,Vb, Ib3, Ie,Ie,Ic3,,Vb, Ib4, Ie,Ie,Ic4
0,-1.90E-09,1.00E-10,-1.00E-10,2.00E-09,,0,-8.00E-10,-3.00E-10,3.00E-10,1.10E-09,,0,-7.00E-10,-4.00E-10,4.00E-10,1.10E-09,,0,-1.10E-09,-1.00E-09,1.00E-09,2.10E-09
0.05,8.80E-09,2.00E-10,-2.00E-10,-8.60E-09,,0.05,8.90E-09,-5.00E-10,5.00E-10,-8.40E-09,,0.05,1.02E-08,-7.00E-10,7.00E-10,-9.50E-09,,0.05,8.90E-09,-4.00E-10,4.00E-10,-8.50E-09
0.1,1.11E-08,-1.00E-10,1.00E-10,-1.12E-08,,0.1,1.11E-08,-5.00E-10,5.00E-10,-1.06E-08,,0.1,1.38E-08,-4.00E-10,4.00E-10,-1.34E-08,,0.1,1.11E-08,-7.00E-10,7.00E-10,-1.04E-08
0.15,1.28E-08,3.00E-10,-3.00E-10,-1.25E-08,,0.15,1.41E-08,-4.00E-10,4.00E-10,-1.37E-08,,0.15,1.62E-08,-6.00E-10,6.00E-10,-1.56E-08,,0.15,1.50E-08,-7.00E-10,7.00E-10,-1.43E-08
0.2,1.53E-08,5.00E-10,-5.00E-10,-1.48E-08,,0.2,1.56E-08,-7.00E-10,7.00E-10,-1.49E-08,,0.2,1.87E-08,-5.00E-10,5.00E-10,-1.82E-08,,0.2,1.91E-08,-1.00E-09,1.00E-09,-1.81E-08
0.25,1.93E-08,2.30E-09,-2.30E-09,-1.70E-08,,0.25,1.96E-08,-2.60E-09,2.60E-09,-1.70E-08,,0.25,2.18E-08,-2.50E-09,2.50E-09,-1.93E-08,,0.25,2.09E-08,-2.70E-09,2.70E-09,-1.82E-08
0.3,2.53E-08,1.56E-08,-1.56E-08,-9.70E-09,,0.3,2.38E-08,-1.56E-08,1.56E-08,-8.20E-09,,0.3,2.51E-08,-1.54E-08,1.54E-08,-9.70E-09,,0.3,2.38E-08,-1.54E-08,1.54E-08,-8.40E-09
0.35,2.64E-08,1.06E-07,-1.06E-07,7.96E-08,,0.35,2.72E-08,-1.04E-07,1.04E-07,7.66E-08,,0.35,2.72E-08,-1.02E-07,1.02E-07,7.46E-08,,0.35,2.65E-08,-1.03E-07,1.03E-07,7.69E-08
0.4,1.32E-08,7.38E-07,-7.38E-07,7.25E-07,,0.4,1.36E-08,-7.20E-07,7.20E-07,7.06E-07,,0.4,1.39E-08,-7.07E-07,7.07E-07,6.93E-07,,0.4,1.41E-08,-7.18E-07,7.18E-07,7.04E-07
0.45,2.08E-08,5.02E-06,-5.02E-06,5.00E-06,,0.45,2.12E-08,-4.90E-06,4.90E-06,4.88E-06,,0.45,2.10E-08,-4.82E-06,4.82E-06,4.80E-06,,0.45,2.13E-08,-4.89E-06,4.89E-06,4.87E-06
0.5,9.49E-08,2.04E-05,-2.04E-05,2.03E-05,,0.5,9.18E-08,-2.04E-05,2.04E-05,2.03E-05,,0.5,9.07E-08,-2.04E-05,2.04E-05,2.03E-05,,0.5,9.18E-08,-2.04E-05,2.04E-05,2.03E-05
0.55,2.05E-07,2.35E-04,-0.000235,2.35E-04,,0.55,2.05E-07,-0.00023,2.30E-04,2.30E-04,,0.55,2.05E-07,-0.000227,2.27E-04,2.27E-04,,0.55,2.05E-07,-0.00023,2.30E-04,2.30E-04
0.6,3.02E-06,1.70E-03,-0.001697,1.69E-03,,0.6,2.97E-06,-0.001667,1.67E-03,1.66E-03,,0.6,2.94E-06,-0.001649,1.65E-03,1.65E-03,,0.6,2.97E-06,-0.001666,1.67E-03,1.66E-03
0.65,1.88E-05,1.05E-02,-0.01054,1.05E-02,,0.65,1.85E-05,-0.01038,1.04E-02,1.04E-02,,0.65,1.84E-05,-0.0103,1.03E-02,1.03E-02,,0.65,1.86E-05,-0.01041,1.04E-02,1.04E-02
0.7,5.20E-05,2.04E-02,-0.02036,2.03E-02,,0.7,5.22E-05,-0.02036,2.04E-02,2.03E-02,,0.7,5.24E-05,-0.02036,2.04E-02,2.03E-02,,0.7,5.23E-05,-0.02036,2.04E-02,2.03E-02
0.75,5.22E-05,2.04E-02,-0.02036,2.03E-02,,0.75,5.24E-05,-0.02036,2.04E-02,2.03E-02,,0.75,5.26E-05,-0.02036,2.04E-02,2.03E-02,,0.75,5.26E-05,-0.02036,2.04E-02,2.03E-02
0.8,5.24E-05,2.04E-02,-0.02036,2.03E-02,,0.8,5.26E-05,-0.02036,2.04E-02,2.03E-02,,0.8,5.28E-05,-0.02036,2.04E-02,2.03E-02,,0.8,5.28E-05,-0.02036,2.04E-02,2.03E-02
0.85,5.27E-05,2.04E-02,-0.02036,2.03E-02,,0.85,5.29E-05,-0.02036,2.04E-02,2.03E-02,,0.85,5.31E-05,-0.02036,2.04E-02,2.03E-02,,0.85,5.31E-05,-0.02036,2.04E-02,2.03E-02
0.9,5.30E-05,2.04E-02,-0.02036,2.03E-02,,0.9,5.32E-05,-0.02036,2.04E-02,2.03E-02,,0.9,5.34E-05,-0.02036,2.04E-02,2.03E-02,,0.9,5.33E-05,-0.02036,2.04E-02,2.03E-02
0.95,5.32E-05,2.04E-02,-0.02036,2.03E-02,,0.95,5.34E-05,-0.02036,2.04E-02,2.03E-02,,0.95,5.37E-05,-0.02036,2.04E-02,2.03E-02,,0.95,5.36E-05,-0.02036,2.04E-02,2.03E-02
1,5.35E-05,2.04E-02,-0.02036,2.03E-02,,1,5.37E-05,-0.02036,2.04E-02,2.03E-02,,1,5.39E-05,-0.02036,2.04E-02,2.03E-02,,1,5.39E-05,-0.02036,2.04E-02,2.03E-02
1.05,5.38E-05,2.04E-02,-0.02036,2.03E-02,,1.05,5.40E-05,-0.02036,2.04E-02,2.03E-02,,1.05,5.42E-05,-0.02036,2.04E-02,2.03E-02,,1.05,5.42E-05,-0.02036,2.04E-02,2.03E-02
1.1,5.41E-05,2.04E-02,-0.02036,2.03E-02,,1.1,5.43E-05,-0.02036,2.04E-02,2.03E-02,,1.1,5.45E-05,-0.02036,2.04E-02,2.03E-02,,1.1,5.45E-05,-0.02036,2.04E-02,2.03E-02
1.15,5.44E-05,2.04E-02,-0.02036,2.03E-02,,1.15,5.46E-05,-0.02036,2.04E-02,2.03E-02,,1.15,5.48E-05,-0.02036,2.04E-02,2.03E-02,,1.15,5.48E-05,-0.02036,2.04E-02,2.03E-02
1.2,5.47E-05,2.04E-02,-0.02036,2.03E-02,,1.2,5.49E-05,-0.02036,2.04E-02,2.03E-02,,1.2,5.51E-05,-0.02036,2.04E-02,2.03E-02,,1.2,5.51E-05,-0.02036,2.04E-02,2.03E-02
1.25,5.50E-05,2.04E-02,-0.02036,2.03E-02,,1.25,5.52E-05,-0.02036,2.04E-02,2.03E-02,,1.25,5.54E-05,-0.02036,2.04E-02,2.03E-02,,1.25,5.54E-05,-0.02036,2.04E-02,2.03E-02
1.3,5.53E-05,2.04E-02,-0.02036,2.03E-02,,1.3,5.55E-05,-0.02036,2.04E-02,2.03E-02,,1.3,5.57E-05,-0.02036,2.04E-02,2.03E-02,,1.3,5.57E-05,-0.02036,2.04E-02,2.03E-02
1.35,5.56E-05,2.04E-02,-0.02036,2.03E-02,,1.35,5.58E-05,-0.02036,2.04E-02,2.03E-02,,1.35,5.60E-05,-0.02036,2.04E-02,2.03E-02,,1.35,5.60E-05,-0.02036,2.04E-02,2.03E-02
1.4,5.60E-05,2.04E-02,-0.02036,2.03E-02,,1.4,5.61E-05,-0.02036,2.04E-02,2.03E-02,,1.4,5.64E-05,-0.02036,2.04E-02,2.03E-02,,1.4,5.63E-05,-0.02036,2.04E-02,2.03E-02
1.45,5.63E-05,2.04E-02,-0.02036,2.03E-02,,1.45,5.65E-05,-0.02036,2.04E-02,2.03E-02,,1.45,5.67E-05,-0.02036,2.04E-02,2.03E-02,,1.45,5.66E-05,-0.02036,2.04E-02,2.03E-02
1.5,5.66E-05,2.04E-02,-0.02036,2.03E-02,,1.5,5.68E-05,-0.02036,2.04E-02,2.03E-02,,1.5,5.70E-05,-0.02036,2.04E-02,2.03E-02,,1.5,5.70E-05,-0.02036,2.04E-02,2.03E-02
1.55,5.69E-05,2.04E-02,-0.02036,2.03E-02,,1.55,5.71E-05,-0.02036,2.04E-02,2.03E-02,,1.55,5.73E-05,-0.02036,2.04E-02,2.03E-02,,1.55,5.73E-05,-0.02036,2.04E-02,2.03E-02
1.6,5.72E-05,2.04E-02,-0.02036,2.03E-02,,1.6,5.74E-05,-0.02036,2.04E-02,2.03E-02,,1.6,5.76E-05,-0.02036,2.04E-02,2.03E-02,,1.6,5.76E-05,-0.02036,2.04E-02,2.03E-02
1.65,5.76E-05,2.04E-02,-0.02036,2.03E-02,,1.65,5.77E-05,-0.02036,2.04E-02,2.03E-02,,1.65,5.80E-05,-0.02036,2.04E-02,2.03E-02,,1.65,5.79E-05,-0.02036,2.04E-02,2.03E-02
1.7,5.79E-05,2.04E-02,-0.02036,2.03E-02,,1.7,5.81E-05,-0.02036,2.04E-02,2.03E-02,,1.7,5.83E-05,-0.02036,2.04E-02,2.03E-02,,1.7,5.82E-05,-0.02036,2.04E-02,2.03E-02
1.75,5.82E-05,2.04E-02,-0.02036,2.03E-02,,1.75,5.84E-05,-0.02036,2.04E-02,2.03E-02,,1.75,5.86E-05,-0.02036,2.04E-02,2.03E-02,,1.75,5.85E-05,-0.02036,2.04E-02,2.03E-02
1.8,5.85E-05,2.04E-02,-0.02036,2.03E-02,,1.8,5.87E-05,-0.02036,2.04E-02,2.03E-02,,1.8,5.89E-05,-0.02036,2.04E-02,2.03E-02,,1.8,5.89E-05,-0.02036,2.04E-02,2.03E-02
