Ix1, Iz1,Iz1,,Ix2, Iz2,Iz2,,Ix3, Iz3,Iz3
1.00E-09,-4.00E-10,4.00E-10,,1.00E-09,-8.00E-10,8.00E-10,,1.00E-09,-4.00E-10,4.00E-10
1.15E-09,-7.00E-10,7.00E-10,,1.15E-09,-5.00E-10,5.00E-10,,1.15E-09,-5.00E-10,5.00E-10
1.40E-09,-4.00E-10,4.00E-10,,1.40E-09,-5.00E-10,5.00E-10,,1.40E-09,-5.00E-10,5.00E-10
1.60E-09,-3.00E-10,3.00E-10,,1.60E-09,-5.00E-10,5.00E-10,,1.60E-09,-8.00E-10,8.00E-10
1.90E-09,-4.00E-10,4.00E-10,,1.90E-09,-6.00E-10,6.00E-10,,1.90E-09,-3.00E-10,3.00E-10
2.25E-09,-8.00E-10,8.00E-10,,2.25E-09,-3.00E-10,3.00E-10,,2.25E-09,-5.00E-10,5.00E-10
2.65E-09,-6.00E-10,6.00E-10,,2.65E-09,-6.00E-10,6.00E-10,,2.65E-09,-7.00E-10,7.00E-10
3.10E-09,-1.60E-09,1.60E-09,,3.10E-09,-5.00E-10,5.00E-10,,3.10E-09,-3.00E-10,3.00E-10
3.65E-09,-4.48E-08,4.48E-08,,3.65E-09,-5.00E-10,5.00E-10,,3.65E-09,-3.00E-10,3.00E-10
4.25E-09,-7.05E-08,7.05E-08,,4.25E-09,-6.00E-10,6.00E-10,,4.25E-09,-7.00E-10,7.00E-10
5.00E-09,-8.08E-08,8.08E-08,,5.00E-09,-4.00E-10,4.00E-10,,5.00E-09,-6.00E-10,6.00E-10
5.90E-09,-9.20E-08,9.20E-08,,5.90E-09,-7.00E-10,7.00E-10,,5.90E-09,-3.00E-10,3.00E-10
6.90E-09,-1.03E-07,1.03E-07,,6.90E-09,-4.00E-10,4.00E-10,,6.90E-09,-7.00E-10,7.00E-10
8.15E-09,-1.14E-07,1.14E-07,,8.15E-09,-6.00E-10,6.00E-10,,8.15E-09,-4.00E-10,4.00E-10
