Sweeping current Ix for 3 values of Iy
Trial 1 for input current Ix
Ix, Iz
1e-09,8.56e-06
1.15e-09,8.35e-06
1.4e-09,6.67e-06
1.6e-09,6.1e-06
1.9e-09,4.49e-06
2.25e-09,2.73e-06
2.65e-09,3.65e-06
3.1e-09,9.6e-07
3.65e-09,-1.616e-07
4.25e-09,-1.098e-07
5e-09,-6.76e-08
5.9e-09,-4.25e-07
6.9e-09,-2.04e-07
8.15e-09,-1.559e-07
9.55e-09,-1.504e-07
1.12e-08,-9.92e-08
1.32e-08,-8.68e-08
1.55e-08,-1.021e-07
1.82e-08,-1.439e-07
2.14e-08,-1.838e-07
2.51e-08,-1.624e-07
2.95e-08,-7.4e-08
3.465e-08,-6.72e-08
4.075e-08,-2.045e-07
4.785e-08,-1.23e-07
5.625e-08,-1.55e-07
6.605e-08,-1.905e-07
7.76e-08,-1.446e-07
9.12e-08,-1.343e-07
1.0715e-07,-1.365e-07
1.259e-07,-7.57e-08
1.479e-07,-2.14e-08
1.738e-07,-1.75e-08
2.04e-07,-2.82e-08
2.4e-07,-3.27e-08
2.82e-07,-4.63e-08
3.31e-07,-4.93e-08
3.89e-07,-4.67e-08
4.57e-07,-4.03e-08
5.37e-07,-2.54e-08
6.31e-07,-6.6e-09
7.415e-07,-2.68e-08
8.71e-07,-2.17e-08
1.0235e-06,-1.29e-08
1.2025e-06,-1.72e-08
1.4125e-06,-1.83e-08
1.6595e-06,-1.21e-08
1.95e-06,-1.35e-08
2.29e-06,-1.38e-08
2.69e-06,-1.12e-08
3.16e-06,-1.26e-08
3.715e-06,-1e-08
4.365e-06,-8.7e-09
5.13e-06,-1.35e-08
6.025e-06,-1.26e-08
7.08e-06,-1.3e-08
8.32e-06,-1.57e-08
9.77e-06,-9.8e-09
1.148e-05,-1.35e-08
1.349e-05,-1.64e-08
1.585e-05,-9.9e-09
1.862e-05,-2.9e-09
2.19e-05,4.5e-09
2.57e-05,-1.04e-08
3.02e-05,-1.43e-08
3.55e-05,-1.33e-08
4.17e-05,-3.8e-09
4.9e-05,-6.4e-09
5.755e-05,-4.1e-09
6.76e-05,-1.12e-08
7.945e-05,-7.6e-09
9.335e-05,-2.08e-08
0.00010965,-2.14e-08
0.0001288,-1.68e-08
0.00015135,-6.9e-09
0.00017785,-4.5e-09
0.000209,-7.7e-09
0.0002455,-1.8e-09
0.0002885,7.1e-09
0.000339,5.9e-09
0.000398,5e-10
0.0004675,-6.3e-09
0.0005495,-7.4e-09
0.0006455,-7.6e-09
0.0007585,-1.34e-08
0.0008915,-1.39e-08
0.001047,-7.2e-09
0.0012305,-4.1e-09
0.0014455,2.8e-09
0.001698,9e-10
0.0019955,3.4e-09
0.002345,-1.2e-09
0.002755,-9e-09
0.003235,-8.3e-09
0.0038,-3.4e-09
0.004465,-1.5e-09
0.00525,1.2e-09
0.006165,1e-10
0.007245,-2.4e-09
0.00851,-3.6e-09
0.01,-5.8e-09
Trial 2 for input current Ix
Ix, Iz
1e-09,-5.6e-09
1.15e-09,-1.07e-08
1.4e-09,-1.34e-08
1.6e-09,-1.31e-08
1.9e-09,-1.27e-08
2.25e-09,-6.5e-09
2.65e-09,-6.3e-09
3.1e-09,-6.5e-09
3.65e-09,-2.2e-09
4.25e-09,-3.9e-09
5e-09,-1.67e-08
5.9e-09,-2.08e-08
6.9e-09,-1.26e-08
8.15e-09,-3.07e-08
